Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,10,0.6075324000557885
0.0,0,15,0.4201187000144273
90.0,0,20,0.42454449995420873
90.0,0,5,0.41894430003594607
90.0,0,5,0.44639890000689775
0.0,0,0,0.4615237000398338
90.0,2,35,0.534485699958168
90.0,2,5,0.4189713998930529
90.0,2,5,0.4297110999468714
90.0,2,40,0.5715544999111444
0.0,0,30,0.6970915000420064
0.0,0,25,0.49023819994181395
90.0,0,20,0.5233787000179291
0.0,2,20,0.6129087000153959
0.0,0,5,0.5072871999582276
0.0,0,35,0.791725100018084
0.0,2,15,0.47857849998399615
90.0,0,0,0.543085900018923
0.0,0,20,0.5868983999826014
0.0,0,30,0.5588297999929637
0.0,2,25,0.4828651000279933
90.0,0,25,0.6471608000574633
0.0,2,15,0.5971453000092879
90.0,2,35,0.5908551999600604
0.0,2,40,0.811762599973008
0.0,0,10,0.5720517999725416
0.0,2,25,0.5921718999743462
90.0,0,40,0.513852100004442
90.0,2,20,0.6415219999616966
90.0,0,10,0.43896309996489435
0.0,0,5,0.5183244000654668
90.0,0,20,0.5018879999406636
0.0,0,30,0.5477735999738798
0.0,2,25,0.48799910000525415
0.0,0,25,0.4916382000083104
90.0,2,25,0.6092741000466049
0.0,0,5,0.5364386999281123
90.0,0,20,0.6180060000624508
90.0,0,20,0.4342454000143334
0.0,2,10,0.4354396000271663
0.0,0,10,0.4845037000486627
0.0,2,10,0.4815190000226721
90.0,0,40,0.5089314000215381
90.0,2,20,0.44790150003973395
90.0,0,25,0.4121043999912217
0.0,0,40,1.076886700000614
0.0,2,15,0.5552750000497326
90.0,2,5,0.5702926000813022
0.0,2,20,0.45103120000567287
0.0,2,25,0.47919300000648946
90.0,2,5,0.5053044999949634
0.0,0,25,0.4893591000000015
0.0,0,30,0.5590562999714166
90.0,0,5,0.40228809998370707
90.0,2,35,0.4857775999698788
0.0,2,0,0.6514202000107616
0.0,0,0,0.4303390000713989
90.0,0,10,0.46771280001848936
0.0,2,30,0.6218173000961542
90.0,2,40,0.5141688999719918
90.0,2,15,0.451824999996461
90.0,0,15,0.4851111000170931
0.0,0,0,0.608623499982059
0.0,2,0,0.3959150000009686
0.0,2,25,0.5374743000138551
0.0,2,35,0.4773711001034826
90.0,2,15,0.5907874000258744
90.0,0,10,0.666105099953711
0.0,2,35,0.8180656000040472
0.0,0,30,0.5356848000083119
0.0,2,40,0.5507144000148401
0.0,2,0,0.574929800000973
0.0,0,30,0.712121200049296
0.0,0,40,0.5113584999926388
0.0,0,20,0.49191629991400987
0.0,2,40,0.5780767999822274
0.0,2,5,0.49451699992641807
90.0,2,15,0.5968035999685526
90.0,0,40,0.5342882999684662
0.0,0,40,0.6729967000428587
90.0,0,25,0.5581594000104815
90.0,2,30,0.5090602999553084
90.0,0,5,0.4073688000207767
90.0,2,20,0.4566822999622673
90.0,0,15,0.4356952999951318
90.0,2,5,0.49974920006934553
0.0,2,40,0.6909583000233397
90.0,0,20,0.5982652000384405
90.0,2,10,0.46114699996542186
90.0,2,40,0.4060849000234157
90.0,0,10,0.4292403000872582
0.0,2,20,0.48505990009289235
90.0,0,15,0.41967299999669194
0.0,2,30,0.6235128999687731
90.0,2,25,0.4939136999892071
0.0,2,25,0.7682075999910012
0.0,2,10,0.472402699990198
90.0,0,30,0.390794700011611
0.0,0,35,0.535735199926421
90.0,0,35,0.5073378999950364
90.0,2,35,0.4196322000352666
90.0,2,30,0.45434129994828254
0.0,2,5,0.48612870008219033
0.0,2,30,0.6739271999103948
90.0,2,0,0.5024944000178948
90.0,0,35,0.49629889999050647
90.0,0,35,0.42983860010281205
0.0,2,15,0.5039580999873579
0.0,2,10,0.3755638999864459
0.0,2,10,0.41388559993356466
90.0,0,35,0.5240891000721604
90.0,0,15,0.5351697000442073
90.0,0,0,0.5137434999924153
90.0,0,40,0.542723200051114
90.0,0,40,0.4576682999031618
90.0,2,20,0.5800396000267938
90.0,0,0,0.48726819991134107
0.0,0,10,0.4939505000365898
90.0,2,35,0.9678688000421971
0.0,2,25,0.6209578999551013
90.0,0,25,0.44910490000620484
90.0,2,0,0.4798417999409139
0.0,0,35,0.4834252999862656
90.0,2,15,0.5436966000124812
0.0,2,0,0.4431635000510141
90.0,2,5,0.5355534000555053
90.0,0,15,0.4885987000307068
90.0,2,30,0.3976574999978766
90.0,0,15,0.34925319999456406
90.0,0,15,0.40316400001756847
0.0,2,35,0.6017147999955341
0.0,0,10,0.47433509991969913
0.0,2,10,0.4081333000212908
0.0,2,10,0.39934480004012585
0.0,0,40,0.36999729997478426
90.0,0,5,0.7211176001001149
0.0,2,40,0.6773400999372825
0.0,0,0,0.5043308000313118
90.0,0,15,0.4131694999523461
90.0,0,0,0.3960052999900654
0.0,2,20,0.5875373999588192
0.0,2,20,0.4157818000530824
0.0,2,40,0.5451570999575779
90.0,0,0,0.48876749991904944
0.0,2,30,0.5643645999953151
90.0,2,15,0.5210826999973506
90.0,2,30,0.4560345000354573
0.0,2,35,0.5561638999497518
90.0,0,0,0.39703720004763454
0.0,0,35,0.6218913999618962
0.0,0,35,0.6480154000455514
0.0,2,0,0.4034098999109119
0.0,0,35,0.6166109000332654
90.0,0,25,0.49237720004748553
0.0,2,40,0.5263620000332594
90.0,0,30,0.40265519998501986
0.0,2,0,0.5187183999223635
0.0,2,10,0.543632399989292
90.0,0,25,0.5518278999952599
90.0,0,5,0.4398549000034109
0.0,0,40,0.5198377999477088
90.0,2,5,0.6422055000439286
90.0,2,15,0.49577499995939434
0.0,2,0,0.47648189996834844
90.0,0,20,0.4696017000824213
0.0,2,35,0.6330086999805644
0.0,2,25,0.5207146999891847
0.0,0,30,0.5259242000756785
0.0,0,10,0.5315837999805808
0.0,0,15,0.5596230000955984
90.0,2,0,0.48746550001669675
0.0,0,30,0.5232967999763787
0.0,0,10,0.5618962000589818
0.0,0,5,0.47133349999785423
90.0,2,5,0.4853761999402195
90.0,0,20,0.5841253000544384
0.0,2,30,0.6102792000165209
0.0,0,25,0.5446634000400081
90.0,2,20,0.5100170000223443
90.0,2,30,0.4527515999507159
