Face,Direction,Eccentricity,Reaction Time (s)
7,2,20,0.2796416
7,2,5,0.2569969
7,2,25,0.2419773
7,2,15,0.2194314
7,2,35,0.1810753
7,2,5,0.2434464
7,2,25,0.215088
7,2,25,0.0226277
7,2,35,0.2622143
7,2,10,0.2133823
7,2,10,0.2412947
7,2,15,0.2827216
7,2,20,0.2312685
7,2,5,0.2630618
7,2,40,0.1860825
7,2,35,0.235821
7,2,35,0.2584547
7,2,15,0.2864221
7,2,0,0.2360066
7,2,0,0.2906276
7,2,10,0.2672858
7,2,20,0.2849627
7,2,20,0.2954863
7,2,0,0.2903192
7,2,0,0.2302201
7,2,30,0.2661585
7,2,20,0.2645057
7,2,20,0.2389442
7,2,15,0.214264
7,2,30,0.2552471
7,2,30,0.2312024
7,2,5,0.1779245
7,2,25,0.2260635
7,2,40,0.3206475
7,2,35,0.2670228
7,2,40,0.4394319
7,2,5,0.3115854
7,2,25,0.2354384
7,2,25,0.2357398
7,2,10,0.2738318
7,2,35,0.2209815
7,2,40,0.2408929
7,2,15,0.2510154
7,2,40,0.2331281
7,2,5,0.237579
7,2,0,0.3247572
7,2,20,0.2541037
7,2,30,0.2519739
7,2,30,0.3144638
7,2,40,0.3229978
7,2,15,0.3915374
7,2,30,0.279112
7,2,25,0.2560945
7,2,40,0.2042498
7,2,35,0.2306586
7,2,10,0.1997472
7,2,15,0.0701004
7,2,30,0.1968767
7,2,0,0.2256951
7,2,30,0.2009323
7,2,15,0.1896868
7,2,30,0.2085514
7,2,5,0.2649768
7,2,30,0.2346467
7,2,35,0.2623546
7,2,35,0.2665865
7,2,25,0.050269
7,2,0,0.3737112
7,2,40,0.2618158
7,2,15,0.2036457
7,2,10,0.233904
7,2,0,0.253854
7,2,5,0.2414488
7,2,5,0.2142842
7,2,40,0.2671301
7,2,15,0.1984409
7,2,10,0.2092366
7,2,10,0.214338
7,2,0,0.1614997
7,2,5,0.3319183
7,2,25,0.2402146
7,2,25,0.2452711
7,2,20,0.2703048
7,2,10,0.2989832
7,2,0,0.2446054
7,2,10,0.2775131
7,2,20,0.2065151
7,2,40,0.8304514
7,2,35,0.2452812
7,2,20,0.4335211
7,0,25,0.23820060002617538
7,0,5,0.22100879997015
7,0,40,0.21834510006010532
7,0,15,0.2551345999818295
7,0,20,0.2317405000794679
7,0,10,0.24454640015028417
7,0,30,0.22855979995802045
7,0,20,0.27512150001712143
7,0,10,0.23124139988794923
7,0,10,0.2296965999994427
7,0,40,0.2676733999978751
7,0,25,0.21278860000893474
7,0,5,0.24768630019389093
7,0,0,0.017858600011095405
7,0,35,0.3032135998364538
7,0,15,0.2554935999214649
7,0,10,0.2547771001700312
7,0,35,0.27374309999868274
7,0,40,0.2775727000553161
7,0,30,0.2461542000528425
7,0,25,0.2966528001707047
7,0,25,0.27065329998731613
7,0,5,0.30691689997911453
7,0,40,0.2535902000963688
7,0,10,0.24563409993425012
7,0,5,0.24041560012847185
7,0,30,0.3172166000586003
7,0,35,0.24911769991740584
7,0,20,0.27133280015550554
7,0,25,0.2362981999758631
7,0,20,0.26172509999014437
7,0,40,0.22818289999850094
7,0,20,0.2812510000076145
7,0,0,0.20574990008026361
7,0,40,0.23914860002696514
7,0,15,0.2294593001715839
7,0,10,0.2452199999243021
7,0,25,0.24265890009701252
7,0,0,0.2572230000514537
7,0,30,0.37877779989503324
7,0,30,0.2558362998533994
7,0,15,0.21454160008579493
7,0,0,0.22708069998770952
7,0,0,0.2532826999668032
7,0,0,0.18543440010398626
7,0,40,0.24714430002495646
7,0,40,0.2626183000393212
7,0,35,0.23366589983925223
7,0,30,0.40985519997775555
7,0,25,0.24230389995500445
7,0,5,0.1973989000543952
7,0,5,0.6700433997903019
7,0,5,0.20071409991942346
7,0,40,0.22435429994948208
7,0,30,0.23651159997098148
7,0,30,0.16503640008158982
7,0,15,0.1825723999645561
7,0,35,0.046692200005054474
7,0,5,0.40858799987472594
7,0,20,0.27208050014451146
7,0,35,0.305673599941656
7,0,25,0.3123327998910099
7,0,0,0.28824449982494116
7,0,0,0.2756290000397712
7,0,30,1.0402659000828862
7,0,20,1.222984000109136
7,0,25,0.1985376998782158
7,0,35,0.2033138999249786
7,0,20,0.25226769992150366
7,0,35,0.21757899993099272
7,0,10,0.14403899991884828
7,0,20,0.1762604999821633
7,0,15,0.18540469999425113
7,0,40,0.21216049999929965
7,0,10,0.19503729999996722
7,0,15,0.2203607999254018
7,0,35,0.25675490009598434
7,0,25,0.2972154999151826
7,0,10,0.1421765999402851
7,0,0,0.23859020019881427
7,0,5,0.24300249991938472
7,0,15,0.1325654999818653
7,0,10,0.19626350002363324
7,0,20,0.24693660018965602
7,0,5,0.26924200006760657
7,0,15,0.2269619998987764
7,0,0,0.234706100076437
7,0,30,0.2226116000674665
7,0,35,0.2539738998748362
7,0,15,0.2420234999153763
