Face,Direction,Eccentricity,Reaction Time (s)
1,0,30,0.8536406001076102
1,0,35,0.8799286000430584
3,0,10,0.4532731999643147
3,0,5,0.4904549000784755
1,0,15,0.6430999001022428
1,0,15,0.6936614001169801
3,0,40,1.4087722999975085
3,0,10,0.4740189998410642
1,0,35,1.2010812999214977
1,0,20,0.5199832001235336
3,0,15,0.6178183001466095
1,0,5,0.4901594999246299
3,0,35,0.5772997997701168
1,0,30,0.8549504999537021
3,0,30,0.5946295000612736
1,0,10,0.4406511001288891
1,0,25,0.6624725998844951
3,0,5,0.4832715999800712
1,0,40,0.4884081999771297
1,0,15,0.6525984001345932
3,0,20,0.48627790017053485
1,0,40,0.7318880001548678
3,0,20,0.5692241000942886
1,0,25,0.523843300063163
1,0,10,0.54977190005593
1,0,35,0.5909794999752194
1,0,5,0.7024010000750422
3,0,5,0.4879791000857949
1,0,15,0.527950800023973
1,0,10,0.4653032999485731
3,0,0,0.48822639998979867
3,0,20,0.5962896998971701
3,0,40,0.6052029000129551
3,0,25,0.6777536999434233
1,0,20,0.5530377000104636
1,0,5,0.5857196999713778
1,0,35,0.8983342000283301
1,0,25,0.6774993999861181
3,0,0,0.43216100009158254
3,0,0,0.42165579996071756
1,0,25,0.49445330002345145
3,0,25,0.5455686999484897
1,0,0,0.45778640010394156
1,0,0,0.33470169990323484
1,0,5,0.3600669000297785
1,0,10,0.5842724000103772
1,0,25,0.5225096000358462
1,0,40,0.591246500145644
1,0,15,0.5318664000369608
3,0,0,0.5782272000797093
1,0,20,0.4552031001076102
3,0,10,0.4420515999663621
3,0,20,0.631222500000149
3,0,10,0.47205760003998876
3,0,35,1.462993900058791
1,0,15,0.6779453000053763
1,0,15,0.5058842999860644
3,0,30,0.628805800108239
3,0,15,0.5444533000700176
1,0,30,0.645530299982056
3,0,30,0.7002469999715686
1,0,0,0.6358752001542598
3,0,30,0.6645216001197696
3,0,0,0.5462380999233574
3,0,5,0.5001856000162661
3,0,10,0.5508465999737382
1,0,20,0.4790452001616359
3,0,25,0.5992525999899954
1,0,40,1.2647798999678344
1,0,35,0.7507892998401076
3,0,35,1.558812500210479
1,0,0,0.5990489998366684
1,0,5,0.43573959986679256
3,0,20,0.5534586000721902
1,0,30,0.953118999954313
1,0,40,1.440142499981448
1,0,35,0.7937474001664668
3,0,40,0.9806113999802619
3,0,20,0.6075142999179661
1,0,5,0.5653409000951797
1,0,25,0.6772078999783844
1,0,15,0.5168415999505669
3,0,10,0.5045061998534948
3,0,0,0.4268378000706434
3,0,30,0.4857520000077784
1,0,35,0.5137006000149995
3,0,25,0.4627303001470864
3,0,40,0.9096721999812871
1,0,30,0.6929884999990463
3,0,40,0.6248386998195201
1,2,10,0.4845972000621259
1,2,0,0.5451209000311792
1,2,10,0.5142097000498325
1,2,5,0.409276399994269
3,2,35,0.5894768999423832
1,2,30,0.6987970999907702
1,2,35,0.6763752000406384
1,2,10,0.5331908001098782
3,2,40,0.5794171998277307
3,2,0,0.5649854999501258
1,2,25,0.6795194000005722
1,2,30,0.548812499968335
3,2,15,0.4035585999954492
3,2,5,0.4344029000494629
3,2,20,0.530654100002721
3,2,20,0.42944320011883974
3,2,5,0.3559491999913007
1,2,35,0.44716709991917014
3,2,10,0.6818723999895155
3,2,20,0.52268570009619
1,2,35,0.4736756000202149
3,2,35,1.4753453000448644
3,2,40,0.8247902998700738
1,2,40,1.2585030999034643
1,2,25,0.573670000070706
3,2,0,0.3900786000303924
1,2,40,0.4724292999599129
3,2,5,0.38076009997166693
1,2,30,0.3010061997920275
3,2,5,0.3706384999677539
3,2,15,0.7909800000488758
3,2,20,0.7183901998214424
1,2,0,0.3351012000348419
3,2,25,0.4430392999202013
1,2,10,0.5043736998923123
1,2,30,1.0607262998819351
3,2,30,0.7590494998730719
3,2,20,0.5602692000102252
1,2,0,0.5735498999711126
3,2,0,0.5045503000728786
3,2,20,0.5373036998789757
3,2,10,0.6210443000309169
1,2,25,0.4726569000631571
1,2,15,0.3989834999665618
3,2,10,0.5474640000611544
1,2,40,0.5638917000032961
3,2,15,0.5388527999166399
1,2,20,0.7699033999815583
1,2,35,0.7427272999193519
1,2,25,0.538034199969843
3,2,15,0.469111799960956
3,2,30,1.0990139001514763
3,2,20,0.6811338001862168
1,2,5,0.5242606000974774
1,2,10,0.4859345001168549
3,2,40,1.3148490998428315
1,2,25,0.6403371000196785
1,2,40,0.7642453999724239
1,2,5,0.39242710010148585
3,2,5,0.44361059996299446
1,2,0,0.31149819982238114
3,2,10,0.5147514999844134
3,2,25,0.5871490000281483
3,2,30,0.7060643001459539
3,2,20,0.439982500160113
3,2,15,0.5004558998625726
3,2,40,1.2286016000434756
3,2,15,0.5914119000080973
3,2,25,0.4940859000198543
1,2,30,0.6003271001391113
1,2,5,0.5867362001445144
3,2,15,0.6010349001735449
1,2,25,0.8695223000831902
3,2,15,0.7239512000232935
1,2,40,0.6259514999110252
1,2,35,0.543509199982509
3,2,25,0.4319728999398649
1,2,5,0.513756699860096
3,2,30,0.5739651001058519
1,2,0,0.4822823000140488
3,2,35,0.5982556000817567
1,2,0,0.3203732999972999
3,2,15,0.5973535999655724
1,2,35,0.5810132999904454
3,2,20,0.5909837000072002
1,2,0,0.5628531000111252
3,2,30,1.1945897999685258
1,2,10,0.5740072999615222
3,2,35,0.5060217999853194
3,2,40,1.0616808000486344
