Letter,Direction,Eccentricity,Reaction Time (s)
P,0,30,0.34280839998973534
E,0,20,0.3648815000196919
P,0,0,0.38455710001289845
P,0,40,0.4865904999896884
E,0,10,0.4068912999937311
E,0,0,0.36967129999538884
P,0,10,0.3777952999807894
P,0,0,0.4407457999768667
E,0,30,0.361441700020805
P,0,10,0.4349369000410661
P,0,20,0.4111630999832414
P,0,30,0.400739100005012
P,0,40,0.41660390002653
E,0,0,0.3749499000259675
P,0,40,0.3543593999929726
P,0,40,0.41669839998940006
P,0,20,0.5476717000128701
P,0,30,0.3745708999922499
E,0,30,0.4135586000047624
E,0,10,0.3008084000321105
E,0,20,0.30397020000964403
P,0,30,0.48026159999426454
P,0,40,0.3954012999893166
E,0,20,0.36622389999683946
P,0,10,0.33003529999405146
E,0,20,0.5915447000297718
P,0,20,0.40500309999333695
E,0,10,0.284873399999924
E,0,40,0.5469893999979831
E,0,0,0.3701496999710798
E,0,0,0.2731472000014037
P,0,40,0.335729899990838
E,0,30,0.4118628000142053
P,0,0,0.36677700001746416
E,0,20,0.556679500034079
E,0,30,0.5085836999933235
P,0,10,0.421255299996119
E,0,10,0.452373499982059
P,0,30,0.49399310001172125
E,0,10,0.3725263999658637
E,0,30,0.37823030003346503
E,0,40,0.5081165000447072
P,0,0,0.47604759997921064
P,0,10,0.4907196999993175
P,0,40,0.40802590001840144
E,0,40,0.4775995999807492
P,0,20,0.38466759998118505
E,0,0,0.4011958999908529
P,0,20,0.3588031000108458
P,0,0,0.3563121000188403
E,0,30,0.3104717000387609
P,0,30,0.4895740000065416
P,0,20,0.4001977000152692
E,0,0,0.3295778000028804
E,0,0,0.39477770001394674
E,0,40,0.5078373999567702
P,0,10,0.35002149996580556
P,0,30,0.29338100005406886
P,0,10,0.3318666000268422
P,0,40,0.3935685000033118
E,0,40,0.49349700001766905
E,0,20,0.3716226000105962
P,0,20,0.45229119999567047
E,0,40,0.4622008000151254
E,0,30,0.49883940001018345
P,0,30,0.6099585000192747
E,0,30,0.44269910000730306
P,0,0,0.4059144000057131
P,0,20,0.3550544999889098
P,0,30,0.3764007000136189
P,0,0,0.4303504000417888
P,0,10,0.44522809999762103
E,0,30,0.3571816000039689
P,0,30,0.3946671999874525
P,0,10,0.3415767000406049
P,0,10,0.3795192999532446
E,0,20,0.42481840000255033
E,0,0,0.43873120000353083
P,0,40,0.44925080001121387
E,0,10,0.6235745000303723
E,0,30,0.3796487000072375
P,0,20,0.43939199997112155
P,0,20,0.41753390000667423
E,0,20,0.44678230001591146
P,0,10,0.39401180000277236
E,0,0,0.5896682000020519
E,0,20,0.5539855000097305
P,0,0,0.5572224000352435
E,0,10,0.42924679996212944
E,0,20,0.394807500008028
E,0,0,0.3218739000149071
E,0,10,0.5483551000361331
P,0,0,0.39681589999236166
P,0,40,0.36834169999929145
P,0,10,0.3021898999577388
P,0,40,0.41682589997071773
E,0,40,0.5125220000045374
P,0,40,0.3794505000114441
E,0,40,0.49707119999220595
P,0,0,0.6395757000427693
P,0,0,0.4253096000174992
E,0,30,0.29116459999931976
E,0,0,0.3615194000303745
P,0,20,0.3077167000155896
P,0,20,0.310871199995745
E,0,30,0.3790090000256896
P,0,40,0.46846619999269024
E,0,0,0.30817979999119416
E,0,40,0.4228364999871701
P,0,0,0.4278006999520585
P,0,40,0.473281099984888
P,0,10,0.4266121999826282
P,0,10,0.37820959999226034
P,0,0,0.4091310999938287
P,0,30,0.3022526000277139
P,0,30,0.39557049999712035
P,0,0,0.43028159998357296
E,0,40,0.3346890999819152
P,0,30,0.5780520000262186
E,0,20,0.322929700021632
P,0,30,0.4545104000135325
E,0,40,0.48872750002192333
P,0,30,0.404608000011649
E,0,40,0.5130423000082374
E,0,40,0.3980560000054538
E,0,0,0.34978140000021085
P,0,20,0.34279439999954775
P,0,30,0.5092532000271603
P,0,20,0.49198449996765703
E,0,0,0.3337557000340894
E,0,40,0.47265820001484826
E,0,30,0.44949769997037947
P,0,0,0.418545099964831
P,0,10,0.411653799994383
P,0,40,0.3734024000004865
P,0,0,0.4633155000046827
E,0,10,0.38796480000019073
P,0,10,0.38955570000689477
P,0,10,0.2931933000218123
P,0,10,0.4882227999623865
P,0,30,0.3398081000195816
P,0,20,0.38115149998338893
P,0,10,0.34154059999855235
E,0,10,0.3379928999929689
