Letter,Direction,Eccentricity,Reaction Time (s)
E,2,20,0.6711407999998755
E,2,10,0.45362010000008013
P,2,30,0.5327320000001237
E,2,40,0.8214375000000018
E,2,0,0.41752679999990505
E,2,10,0.3361709000000701
P,2,10,0.5105438999999024
E,2,40,0.6173742999999376
B,2,20,0.5721720000001369
E,2,0,0.5116268000001583
P,2,30,0.5150284999999712
P,2,0,0.4353054000000611
P,2,30,0.5324072000000797
B,2,40,0.5055892999998832
E,2,20,0.5369124000001193
B,2,0,0.47071660000005977
B,2,20,0.449011100000007
E,2,40,0.5782710000000861
P,2,10,0.5949988999998368
E,2,30,0.5320842000000994
E,2,30,0.7368860999999924
P,2,0,0.473195700000133
P,2,10,0.5016546000001654
P,2,40,0.5950281000000359
P,2,0,0.455159999999978
E,2,10,0.41807440000002316
E,2,30,0.4305888999999752
B,2,0,0.517068399999971
B,2,10,0.3857612999997855
P,2,40,0.43612080000002607
E,2,30,0.5292097999999896
B,2,40,0.4212769999999182
P,2,40,0.590266100000008
P,2,30,0.47101880000013807
B,2,20,0.4380705000000944
B,2,10,0.4604913000000579
E,2,20,0.8724609000000783
B,2,40,0.9252390999999989
P,2,30,0.5130308999998761
P,2,40,0.5333596000000398
E,2,20,0.5100351999999475
P,2,10,0.5161786999999549
P,2,10,0.4436417000001711
P,2,0,0.4410339000000931
P,2,0,0.40787120000004506
B,2,20,0.6258034999998472
P,2,20,0.51632329999984
P,2,0,0.4563803999999436
B,2,20,0.6071698999999171
E,2,30,0.37796469999989313
B,2,30,0.6008397000000514
P,2,0,0.47916699999996126
B,2,20,0.6591295999999147
P,2,30,0.5195392000000538
P,2,10,0.4405119000000468
B,2,10,0.5483702999999878
P,2,40,0.49965080000015405
B,2,40,0.6483406999998351
E,2,20,0.520481000000018
B,2,30,0.5210092999998324
P,2,10,0.449035399999957
B,2,0,0.4283949999999095
P,2,30,0.5100007000000915
E,2,20,0.6290071999999327
P,2,30,0.5347775000000183
P,2,30,0.49365609999995286
P,2,0,0.4843631999999616
B,2,10,0.43927300000018477
B,2,20,0.5870232999998279
P,2,40,0.6665798999999879
B,2,10,0.47784490000003643
B,2,10,0.5891199000000142
E,2,30,0.6679939999999078
P,2,10,0.4740929999998116
E,2,0,0.41876840000008997
P,2,20,0.548887299999933
E,2,0,0.5362292000002071
P,2,20,0.4536300999998275
B,2,10,0.5403880999999728
P,2,20,0.4650304000001597
B,2,40,0.6467421999998351
E,2,40,0.5975583000001734
E,2,0,0.5557105999998839
P,2,30,0.5498235000000022
B,2,0,0.49373949999994693
B,2,30,0.5376773000000412
P,2,0,0.4757137999999941
E,2,20,0.5028945999999905
B,2,40,0.6669349999999667
P,2,0,0.4537069000000429
B,2,20,0.7570822000000135
P,2,20,0.5026418999998441
E,2,0,0.5161951000000045
B,2,40,0.6395800000000236
P,2,30,0.5806359000000612
E,2,40,0.5552847999999813
E,2,40,0.5433734000000641
B,2,10,0.7659768999999415
P,2,40,0.8683581000000231
E,2,10,0.512024399999973
E,0,0,0.3674753000000237
E,0,20,0.4742831000000933
B,0,30,0.5334434000001238
E,0,20,0.4889543000001595
P,0,10,0.45484209999995073
P,0,10,0.3772285000000011
B,0,10,0.4909092000000328
E,0,40,0.5155431999999109
B,0,40,0.6119209999999384
B,0,40,0.6687219000000368
E,0,30,0.5118146000002071
E,0,20,0.429106400000137
B,0,40,0.3923193999999057
B,0,40,0.4525765999999294
P,0,20,0.4706489000000147
E,0,0,0.32479800000010073
E,0,20,0.3703476000000592
P,0,30,0.4991863000000194
B,0,40,0.4349231000001055
B,0,30,0.6961076000000048
B,0,10,0.40644139999994877
E,0,10,0.4449904000000515
B,0,40,0.4772376999999324
E,0,30,0.5778646999999637
P,0,10,0.6215996000000814
E,0,40,0.8896706000000449
P,0,10,0.5357487999999648
B,0,40,0.6260205000000951
P,0,0,0.5098593999998684
E,0,10,0.4294654000000264
B,0,20,0.5399821999999403
P,0,0,0.49810279999996965
E,0,0,0.3632923000000119
P,0,0,0.4823039999998855
P,0,30,0.5344079000001329
E,0,0,0.3691787000000204
P,0,10,0.5336681999999655
E,0,0,0.41409780000003593
P,0,30,0.4504974999999831
B,0,40,0.4430497999999261
P,0,30,0.4922843000001649
P,0,30,0.35157619999995404
B,0,20,0.4741687999999158
B,0,30,0.5300064999998995
E,0,20,0.5859259999999722
P,0,0,0.47511280000003353
B,0,20,0.4930348000000322
B,0,20,0.43084810000004836
E,0,10,0.5164446999999655
B,0,0,0.4859228999998777
