Letter,Direction,Eccentricity,Reaction Time (s)
P,0,10,0.5685065999999779
P,0,20,0.41730680000000575
B,0,10,0.438412699999958
P,0,30,0.4852227999999741
P,0,10,0.4615969999999834
P,0,40,0.6665507999999818
E,0,20,0.6023008999999888
B,0,30,0.48689439999998285
E,0,40,0.6675795000000448
B,0,0,0.4566714000000047
E,0,20,0.5358127999999738
P,0,40,0.5521280000000388
B,0,20,0.5209315000000174
E,0,20,0.6045409000000177
P,0,20,0.5412589000000025
E,0,30,0.4755091999999763
B,0,0,0.42315480000002026
P,0,10,0.6234192000000576
B,0,10,0.5081354999999803
P,0,0,0.5469160999999758
P,0,0,0.4528826000000663
E,0,40,0.6945335999999998
P,0,20,0.5092706000000362
B,0,40,0.31368669999994836
E,0,30,0.4376915000000281
B,0,40,0.4771845000000212
E,0,10,0.4093179000000191
E,0,30,0.5213666999999305
P,0,0,0.48752349999995204
P,0,20,0.47819110000000364
E,0,20,0.6063546999999971
B,0,10,0.7443802000000233
B,0,10,0.6828989999999067
E,0,40,0.5093236999999817
B,0,30,0.5348998999999139
E,0,20,0.5164165999999568
P,0,30,0.6583421999999928
P,0,10,0.48958490000006805
P,0,30,0.5178059999999505
E,0,40,0.5874565999999959
E,0,30,0.4283776999999418
E,0,0,0.34932230000003983
P,0,0,0.3392999999999802
B,0,40,0.6982953000000407
B,0,0,0.5947896000000128
B,0,30,0.46917180000002645
P,0,40,0.6068842000000814
B,0,10,0.5856806000000461
P,0,0,0.49808680000001004
B,0,0,0.5367087999999285
E,0,20,0.49616920000005393
B,0,40,0.5597300999999106
P,0,20,0.43061660000000757
B,0,0,0.5202472000000853
E,0,0,0.4394804999999451
B,0,30,0.42438589999994747
P,0,40,0.4979746999999861
P,0,20,0.5449009999999817
B,0,20,0.5735424999999168
P,0,40,0.5789876999999706
B,0,10,0.502194099999997
E,0,30,0.5727919000000838
B,0,0,0.6029254999999694
P,0,40,0.5193047000000206
P,0,20,0.4668887000000268
P,0,20,0.4776570999999876
P,0,10,0.42718279999996867
P,0,0,0.46086560000003374
B,0,10,0.47609590000001845
B,0,20,0.5503142999999682
P,0,10,0.41240770000001703
B,0,0,0.41234480000002804
E,0,40,0.6140553000000182
P,0,20,0.444715599999995
E,0,0,0.4552186000000802
B,0,0,0.46294220000004316
B,0,40,0.5410504000000174
E,0,0,0.5092615999999452
E,0,40,0.7368430999999873
P,0,10,0.4581219000000374
P,0,30,0.38520309999989877
E,0,0,0.4301472999999305
P,0,30,0.5162943999999925
E,0,30,0.5306603999999879
B,0,30,0.6171306999999615
E,0,30,0.4975940999999011
E,0,0,0.43227860000001783
P,0,10,0.4474460999999792
B,0,20,0.48419910000006894
E,0,30,0.5068268999999646
P,0,30,0.516177999999968
B,0,20,0.66246179999996
E,0,40,0.5236753000000363
E,0,30,0.44681900000000496
P,0,40,0.49264019999998254
B,0,10,0.49196119999999155
P,0,40,0.6370648999999275
B,0,10,0.5234950000000254
P,0,10,0.39061470000001464
P,0,10,0.48661170000002585
E,2,20,0.36814640000000054
B,2,40,0.5480632000000014
E,2,10,0.47072479999997086
P,2,20,0.4813076000000365
E,2,30,0.5487664999999424
E,2,30,0.5300995000000057
E,2,30,0.37311639999995805
B,2,30,0.5677646000000323
B,2,40,0.6068077999999559
B,2,30,0.5453605000000152
E,2,40,0.7249747000000752
E,2,0,0.5328904000000421
P,2,30,0.691991200000075
B,2,40,0.5970844999999372
E,2,10,0.49755500000003394
E,2,30,0.6333049999999503
E,2,20,0.41881929999999556
B,2,0,0.5511942000000545
B,2,0,0.38816829999996116
P,2,20,0.4873036000000184
E,2,40,0.5091165000000046
B,2,20,0.5321514999999408
E,2,0,0.47993610000003173
P,2,0,0.6276780000000599
P,2,10,0.496038100000078
B,2,40,0.6753682000000936
P,2,40,0.6516741000000366
E,2,20,0.4416943999999603
B,2,0,0.5138273999999683
E,2,0,0.534126199999946
E,2,0,0.3519995999999992
B,2,10,0.46286220000001776
P,2,0,0.46914010000000417
B,2,40,0.48216899999999896
P,2,30,0.4595451000000139
E,2,10,0.7672210000000632
P,2,20,0.4803404000000455
P,2,30,0.48461139999994884
E,2,10,0.5144237000000658
B,2,20,0.58264029999998
P,2,20,0.6931163000000424
P,2,0,0.39081210000006195
E,2,10,0.5344503000000032
P,2,10,0.45290970000007746
B,2,10,0.5111717999999428
B,2,20,0.6887795000000096
P,2,30,0.555501100000015
B,2,10,0.5660830000000487
E,2,40,0.6766638999999941
P,2,40,0.6042308999999477
E,2,40,0.49296499999991283
B,2,20,0.5187720000000127
E,2,0,0.5722008999999844
E,2,0,0.4117866999999933
B,2,30,0.6096459000000323
P,2,30,0.540030999999999
