Letter,Direction,Eccentricity,Reaction Time (s)
E,0,10,0.5186077000107616
E,0,10,0.4541750999924261
B,0,30,0.45107799998368137
P,0,40,0.6122927000105847
E,0,30,0.5092523999919649
E,0,20,0.4639729000045918
B,0,40,0.6680305000045337
P,0,40,0.5881733999995049
E,0,40,1.0888715999899432
E,0,0,0.44702970000798814
E,0,40,0.6501975999854039
P,0,30,0.5887521000113338
E,0,0,0.45528579998062924
P,0,0,0.521081899991259
P,0,0,0.4110309000243433
E,0,20,0.42060360001050867
P,0,20,0.4171478000062052
B,0,0,0.430524700001115
P,0,30,0.49779570000828244
E,0,20,0.4871473999810405
E,0,0,0.4684079999860842
E,0,10,0.5532476999796927
E,0,0,0.4091502999945078
E,0,10,0.45789560000412166
P,0,10,0.5651745999930426
P,0,20,0.48154609999619424
E,0,0,0.4438138999976218
E,0,10,0.40755730000091717
P,0,20,0.5157903999788687
P,0,10,0.523832200007746
E,0,10,0.44489579999935813
P,0,20,0.4938765999977477
E,0,10,0.4416670999780763
B,0,10,0.6499997999926563
E,0,20,0.5804651000071317
E,0,0,0.43160129999159835
B,0,30,0.773985999985598
P,0,30,0.6494313000002876
E,0,20,0.6618860999878962
E,0,40,0.919893599988427
B,0,40,0.6007386999845039
E,0,20,0.5636640999873634
E,0,30,0.6923314000014216
B,0,40,0.9470512999978382
B,0,40,0.8622280000126921
B,0,30,0.8672858000209089
P,0,0,0.563265999982832
P,0,40,0.6725998999900185
B,0,30,0.9124735000077635
P,0,30,0.7214653000119142
P,2,0,0.6274299000215251
B,2,30,0.5676735000160988
P,2,0,0.4937190000200644
P,2,0,0.43852910000714473
E,2,30,0.5027503999881446
P,2,0,0.4638236000027973
B,2,20,0.35762299998896196
E,2,40,0.5526533999945968
E,2,20,0.46758280001813546
P,2,10,0.4973628000007011
P,2,20,0.3940770000044722
P,2,10,0.38202190000447445
P,2,30,0.46532389998901635
P,2,10,0.38449349999427795
P,2,0,0.3852912000147626
E,2,30,0.5139907000120729
E,2,10,0.5076846999872942
P,2,20,0.5061700000078417
B,2,40,0.5659898000012618
B,2,30,0.5674106999940705
P,2,20,0.5338111000019126
E,2,40,0.8217232000024524
B,2,0,0.5624075999949127
B,2,20,0.5068265000008978
P,2,20,0.4676313999807462
P,2,40,0.7882251999981236
E,2,40,0.672958999988623
P,2,30,0.5387325000192504
P,2,20,0.493466099986108
B,2,10,0.47208830001181923
E,2,40,0.7651850999973249
B,2,10,0.4364400000195019
P,2,10,0.43647829999099486
P,2,20,0.4733295999758411
P,2,30,0.5740045999991708
E,2,20,0.7240952999854926
P,2,10,0.4692268999933731
E,2,30,0.724557299981825
P,2,40,1.0704582000034861
P,2,30,0.6584838000126183
E,2,40,0.8270277999981772
B,2,30,0.6108175000117626
P,2,10,0.6024863999919035
P,2,0,0.6315268999896944
E,2,0,0.4424482999893371
B,2,40,0.9655307999928482
B,2,10,0.5252876000013202
B,2,0,0.4562737999949604
E,2,40,0.86493569999584
B,2,0,0.5129327999893576
