Letter,Direction,Eccentricity,Reaction Time (s)
P,0,10,0.748180855
P,0,10,0.477571507
E,2,0,0.602671276
P,0,10,0.490045897
P,2,30,0.615329019
P,2,40,0.534494159
P,0,40,0.52402936
P,2,30,0.459221997
P,2,30,0.484146606
P,0,0,0.556104145
B,2,20,0.575197091
B,0,0,0.55180939
B,2,20,0.495315173
B,2,10,0.479017203
P,0,10,0.541720649
E,0,40,0.691978593
E,0,0,0.605325897
B,0,0,0.64338829
P,0,20,0.657574629
P,2,30,0.451366379
B,0,20,0.41211676
P,0,30,0.563168599
E,2,0,0.63162451
B,0,30,0.616590591
B,0,40,0.630454837
E,2,30,0.423972541
P,2,0,0.632816763
P,2,40,0.878210052
P,0,10,0.501448667
P,0,30,0.497239669
P,0,10,0.50238941
P,2,40,0.488200543
E,0,30,0.568075012
P,2,20,0.5632622
B,2,20,0.690408197
P,2,40,0.700392262
P,0,20,0.426575443
P,0,30,0.469912661
P,0,10,0.554480688
B,2,40,0.470264745
P,0,30,0.510993541
P,2,0,0.437560145
P,0,40,0.423733255
E,0,20,0.481688283
B,2,10,0.573802737
B,0,40,0.368121734
B,2,10,0.410851312
B,2,40,0.540736424
B,2,10,0.364310182
B,0,40,0.415101337
E,2,0,0.380097396
P,0,20,0.497641099
E,0,20,0.409445042
P,0,30,0.442026646
B,2,20,0.477561462
P,2,10,0.487548136
E,0,20,0.590156642
E,2,40,0.455201885
E,0,0,0.475892031
E,2,10,0.561602359
E,0,0,0.48042001
P,0,0,0.603746536
P,0,20,0.420908247
P,0,40,0.659616528
P,2,30,0.618702947
P,0,20,0.42171981
P,2,30,0.372934599
P,2,20,0.551639847
E,0,0,0.513403119
P,2,20,0.39400732
B,2,40,0.512265859
P,2,0,0.476946752
E,0,10,0.532879541
E,2,20,0.610305928
B,0,30,0.50197056
B,2,10,0.403619194
B,2,20,0.391820766
B,2,30,0.393244442
E,2,0,0.548571411
P,0,40,0.489526428
B,0,20,0.507698747
E,2,20,0.427695953
E,0,0,0.355146382
E,2,0,0.369028621
P,2,10,0.542174985
B,0,40,0.816482537
B,0,10,0.433062352
E,0,10,0.595676905
B,2,10,0.40908319
B,2,0,0.438728567
B,0,30,0.605764048
P,2,30,0.798023764
B,0,40,0.562258714
P,2,40,0.615298852
B,2,30,0.498228411
P,2,0,0.491683389
B,0,30,0.555304408
E,0,0,0.596450538
B,2,40,0.480821927
B,2,10,0.387965841
