Letter,Direction,Eccentricity,Reaction Time (s)
E,0,40,0.537751793
E,0,30,0.423886212
E,0,40,0.426109494
B,0,30,0.583232199
E,0,0,0.472406367
P,0,0,0.450703339
P,0,0,0.427761918
E,0,10,0.434171284
P,2,30,0.56944022
P,0,20,0.407595894
B,2,0,0.536423741
B,0,10,0.401831611
P,0,0,0.575887564
E,2,20,0.395820135
B,0,10,0.4579924
B,0,40,0.436541276
P,2,40,0.655056498
E,0,20,0.568174347
E,0,10,0.500323393
B,0,10,0.645209746
B,2,10,0.423805132
E,0,10,0.609893856
E,2,0,0.426879415
P,2,0,0.444707306
P,2,40,0.506545011
B,2,30,0.7695989
E,0,10,0.53652391
P,0,0,0.393735322
E,0,0,0.407549407
E,2,20,0.460430346
E,0,30,0.415147599
P,2,30,0.575491341
E,2,10,0.424029262
P,2,10,0.376987169
B,0,30,0.509736618
E,2,0,0.45959693
B,0,30,0.587069051
P,2,0,0.430189331
E,0,20,0.47285334
E,2,40,0.455683816
E,2,40,0.626207439
P,2,20,0.435272445
B,0,10,0.575199851
E,0,20,0.492765095
E,2,10,0.397693955
P,2,0,0.445596345
E,2,30,0.394918283
P,2,20,0.579377581
E,2,40,0.587756892
E,2,30,0.40160606
P,0,20,0.372165348
P,2,40,0.525904463
E,0,40,0.460482594
B,0,20,0.498782466
E,0,20,0.420896141
E,0,10,0.384176224
P,2,0,0.392578491
P,2,0,0.402869891
E,0,30,0.483755778
B,2,30,0.554463611
E,0,40,0.502195783
E,2,40,0.497394611
B,0,30,0.65393844
E,2,10,0.484214639
B,2,30,0.502885597
B,2,20,0.52731449
B,0,40,0.447960123
B,2,40,0.4658515
E,2,10,0.540219706
P,2,10,0.456335992
P,2,20,0.546780709
B,0,40,0.573705937
B,2,10,0.460016835
B,0,10,0.351821443
E,2,40,0.44825121
P,0,0,0.500174352
E,2,20,0.513711066
E,0,40,0.486963693
B,2,10,0.643200581
P,0,30,0.587725507
E,2,0,0.402061212
E,2,0,0.466890434
E,2,20,0.56936318
B,0,20,0.584911331
B,0,30,0.668982946
P,2,20,0.634340075
P,2,30,0.53866509
P,0,40,0.460217343
E,0,30,0.56187817
B,0,0,0.539403872
B,2,40,0.592600438
P,2,10,0.504354738
P,0,20,0.401613227
B,2,30,0.629336919
P,2,20,0.67904445
B,2,30,0.597805063
B,0,0,0.507613851
E,0,40,0.413036044
E,0,20,0.584233961
B,0,0,0.558412351
