Letter,Direction,Eccentricity,Reaction Time (s)
P,2,10,0.479169498
P,0,20,0.457253747
E,2,30,0.444181695
E,0,40,0.534916715
E,2,20,0.659718225
P,2,0,0.413017351
P,0,20,0.432312444
P,2,20,0.457409865
P,0,20,0.425895882
P,0,10,0.436897732
E,2,40,0.526428466
E,0,10,0.409713804
P,2,30,0.538102226
P,0,20,0.34716118
P,2,10,0.399540974
P,0,30,0.395563962
P,2,10,0.318552977
P,2,30,0.37491321
E,2,0,0.401953202
E,0,10,0.392142642
E,2,10,0.46068019
P,2,20,0.489929771
P,2,20,0.427057465
P,2,20,0.407094433
E,2,0,0.401333566
E,2,0,0.499326186
P,0,10,0.410696391
E,2,20,0.52612634
P,0,20,0.385290633
P,2,40,0.386256005
P,2,10,0.325023081
P,0,20,0.371612708
P,0,0,0.346331201
E,2,40,0.451054294
P,0,30,0.354987456
E,0,40,0.438966707
E,2,10,0.405673452
P,2,40,0.469546302
P,2,40,0.412244174
E,0,10,0.37180562
P,0,30,0.414275646
E,0,40,0.529280029
P,2,0,0.450073566
P,2,10,0.432854769
E,0,10,0.396848197
E,0,30,0.401173951
P,0,40,0.479909129
P,2,30,0.470775968
E,2,30,0.486236197
E,2,20,0.369824273
E,2,30,0.379163698
E,0,0,0.396236974
E,2,0,0.350907104
P,0,30,0.349345143
E,0,20,0.458992092
E,2,10,0.442470446
P,0,20,0.506073218
E,2,20,0.378773652
E,0,30,0.39915071
E,0,30,0.372172857
P,0,40,0.500450901
E,2,30,0.494958651
P,0,30,0.364344113
P,0,0,0.428832983
E,0,0,0.435146129
P,2,20,0.405533389
P,0,30,0.336024718
P,2,0,0.427884996
E,0,0,0.384330648
P,0,40,0.40876116
E,2,30,0.525885632
P,0,40,0.383692119
E,0,30,0.42463837
P,2,30,0.397718337
P,0,10,0.410538304
P,2,10,0.41108017
E,0,10,0.388517888
E,0,10,0.321925066
E,0,10,0.32856777
P,2,0,0.402022056
E,0,0,0.406581793
E,2,0,0.464356485
P,0,0,0.392423183
E,0,0,0.354570385
E,2,40,0.46027112
P,0,20,0.37513824
P,0,0,0.372629944
P,0,0,0.365838829
E,2,40,0.421024275
E,0,20,0.57339822
P,2,40,0.347075026
P,2,40,0.552304015
E,2,10,0.407343304
E,2,0,0.391156259
E,0,40,0.378487822
E,2,30,0.415600207
P,2,40,0.386074244
E,0,40,0.359047995
P,2,20,0.433070783
E,0,40,0.465560538
