Letter,Direction,Eccentricity,Reaction Time (s)
E,0,40,0.3556716000312008
E,0,20,0.26353500003460795
E,0,40,0.21729539998341352
E,0,0,0.023940899991430342
E,0,0,0.2820411999709904
E,0,0,0.3025428999681026
E,0,0,0.32400680001592264
E,0,30,0.30753500002902
E,0,10,0.2727702999836765
E,0,40,0.27821659995242953
E,0,10,0.23822479997761548
E,0,20,0.32643640000605956
E,0,10,0.33205939998151734
E,0,20,0.33862609998323023
E,0,40,0.29024040000513196
E,0,0,0.3823829999892041
E,0,10,0.3191592000075616
E,0,0,0.3091128999949433
E,0,20,0.3131456000264734
E,0,30,0.3656471000285819
E,0,30,0.33850620000157505
E,0,30,0.3412380999652669
E,0,10,0.3050725000211969
E,0,20,0.30983679997734725
E,0,30,0.22289969999110326
E,0,20,0.30765859998064116
E,0,20,0.30251459998544306
E,0,10,0.31627280003158376
E,0,0,0.3377856999868527
E,0,20,0.32156760001089424
E,0,30,0.3841573999961838
E,0,10,0.3439924999838695
E,0,20,0.30895729997428134
E,0,20,0.38849919999483973
E,0,40,0.36631620000116527
E,0,10,0.2752840999746695
E,0,40,0.2583602000377141
E,0,30,0.2658299999893643
E,0,40,0.28176850004820153
E,0,0,0.2643491000053473
E,0,30,0.25116859999252483
E,0,0,0.41090560000156984
E,0,10,0.2596559000085108
E,0,40,0.33132160000968724
E,0,0,0.28640600002836436
E,0,30,0.3327764999703504
E,0,40,0.3730959999957122
E,0,40,0.3319266000180505
E,0,10,0.36039899999741465
E,0,30,0.10002600000007078
E,2,0,0.3928928999812342
E,2,40,0.33548899996094406
E,2,40,0.23074099997757003
E,2,40,0.23526560002937913
E,2,10,0.19996530003845692
E,2,0,0.35260839998954907
E,2,30,0.34450499998638406
E,2,40,0.429781400016509
E,2,30,0.5754266000003554
E,2,0,0.29223059996729717
E,2,30,0.34574040002189577
E,2,20,0.2697714999667369
E,2,0,0.3045505000045523
E,2,40,0.31525159999728203
E,2,0,0.286924599960912
E,2,30,0.28778469999087974
E,2,10,0.252480499970261
E,2,20,0.27702470001531765
E,2,10,0.28361290000611916
E,2,0,0.24956259998725727
E,2,10,0.29895890003535897
E,2,40,0.29820180003298447
E,2,10,0.2938846999895759
E,2,40,0.2588011999614537
E,2,10,0.31961090001277626
E,2,10,0.2653404999873601
E,2,30,0.26187569997273386
E,2,0,0.28304109995951876
E,2,10,0.2989670999813825
E,2,30,0.247233200003393
E,2,20,0.2768365999800153
E,2,40,0.2749053000006825
E,2,20,0.29976570000872016
E,2,20,0.28817329998128116
E,2,20,0.22782710002502427
E,2,0,0.10427239997079596
E,2,10,0.24149849999230355
E,2,30,0.27971610001986846
E,2,20,0.2678197000059299
E,2,30,0.3413995999726467
E,2,0,0.24707690003560856
E,2,20,0.2607154000434093
E,2,10,0.24098399997456
E,2,30,0.2577121999929659
E,2,0,0.21443450002698228
E,2,30,0.2829448999837041
E,2,20,0.35240460000932217
E,2,40,0.2670169999473728
E,2,20,0.29534790001343936
E,2,40,0.27736170002026483
