Letter,Direction,Eccentricity,Reaction Time (s)
P,2,40,0.40922829997725785
E,2,20,0.36660290003055707
P,2,40,0.4879351999843493
E,2,10,0.3909045999753289
P,2,20,0.46062899997923523
E,2,0,0.4832539999624714
P,2,20,0.4737777000409551
E,2,0,0.4677494000061415
P,2,40,0.3926058000070043
E,2,40,0.39690900000277907
P,2,20,0.38480080000590533
P,2,30,0.5220200999756344
E,2,10,0.499874799977988
E,2,30,0.6129912000033073
E,2,10,0.43526629998814315
E,2,30,0.46108079998521134
E,2,0,0.4245592999504879
P,2,40,0.3824111000285484
P,2,20,0.5739772999659181
E,2,30,0.593841300054919
E,2,40,0.671633199963253
P,2,10,0.5334302000119351
E,2,10,0.6269544999813661
P,2,30,0.5409579999977723
E,2,0,0.4195985000114888
P,2,20,0.6193467000266537
E,2,0,0.6642818999825977
P,2,10,0.5479221999994479
P,2,30,0.5607978999614716
P,2,0,0.447079700010363
E,2,20,0.4255035000387579
P,2,10,0.4888336000149138
E,2,0,0.656349600001704
E,2,0,0.4708066000021063
P,2,0,0.3962734999950044
E,2,10,0.5184665999840945
P,2,20,0.5417541000060737
P,2,30,0.5054561999859288
E,2,10,0.4325896999798715
E,2,40,0.6041109000216238
P,2,30,0.4576325999805704
P,2,30,0.4888807999668643
E,2,40,0.5738638999755494
E,2,0,0.4941594999982044
E,2,30,0.4912938000052236
E,2,40,0.4671887999866158
P,2,20,0.384813699987717
E,2,20,0.47259229997871444
E,2,10,0.4414741999935359
E,2,40,0.47786640003323555
E,0,0,0.43977040000027046
E,0,20,0.4273082999861799
P,0,10,0.355002099997364
E,0,0,0.4250062000355683
E,0,20,0.49506290000863373
P,0,0,0.421582400042098
P,0,40,0.4595943000167608
P,0,20,0.49792479997267947
P,0,20,0.46803609997732565
E,0,30,0.465946999960579
P,0,10,0.529632700025104
P,0,40,0.5313156999764033
E,0,0,0.4909464999800548
E,0,0,0.4760981999570504
E,0,10,0.5085902000428177
P,0,10,0.46682070003589615
P,0,20,0.5324137000134215
E,0,40,0.5920614000060596
P,0,40,0.5584838999784552
P,0,10,0.499351900012698
P,0,10,0.41864629997871816
P,0,30,0.4013412000495009
P,0,40,0.38554990000557154
P,0,20,0.4665197000140324
P,0,20,0.4025719999917783
E,0,20,0.4260070999735035
P,0,0,0.43223849998321384
P,0,10,0.4471780000021681
E,0,0,0.36104859999613836
P,0,40,0.4270282000070438
E,0,30,0.5485436000162736
E,0,40,0.5583119000075385
P,0,0,0.37989620002917945
E,0,30,0.7287591999629512
P,0,30,0.38252129999455065
E,0,20,0.3814332999754697
P,0,40,0.368790699983947
P,0,20,0.4844794999808073
E,0,30,0.5313687999732792
P,0,30,0.3808534999843687
P,0,10,0.4702153000398539
E,0,40,0.5624213000410236
E,0,40,0.525510800012853
E,0,10,0.4304429999901913
E,0,30,0.5390849999967031
E,0,30,0.44642180000664666
E,0,0,0.4302437000442296
E,0,0,0.4214273000252433
E,0,10,0.41656260000308976
E,0,30,0.5662337999674492
