Letter,Direction,Eccentricity,Reaction Time (s)
P,0,20,0.36028259998420253
P,0,40,0.3599398999940604
P,0,40,0.43675739999162033
E,0,40,0.6223950999556109
P,0,10,0.5011679000454023
P,0,0,0.48367699998198077
E,0,40,0.5379347000271082
E,0,0,0.441458799992688
P,0,0,0.554142499982845
P,0,0,0.4825774999917485
E,0,0,0.47211189998779446
E,0,30,0.6645451000076719
E,0,0,0.46708470000885427
P,0,40,0.4918286000029184
E,0,0,0.49860130000161007
P,0,10,0.4162769999820739
P,0,30,0.50132839998696
P,0,20,0.43739460001233965
E,0,20,0.5217545999912545
P,0,30,0.47851749998517334
E,0,10,0.47323369997320697
P,0,40,0.45327889994950965
P,0,20,0.5004541999660432
E,0,30,0.44710719998693094
P,0,20,0.49365430005127564
P,0,30,0.4936553000006825
E,0,40,0.6309580000233836
E,0,10,0.49522159999469295
E,0,40,0.5272669999976642
E,0,30,0.512410200026352
P,0,20,0.4516709999879822
P,0,0,0.4945570999989286
E,0,20,0.5053833000129089
E,0,30,0.4516109000542201
E,0,30,0.5013870000257157
E,0,20,0.4968259999877773
E,0,20,0.4558547000051476
P,0,10,0.439125899982173
P,0,10,0.412005299993325
P,0,10,0.41729990002932027
P,0,0,0.39844819996505976
E,0,40,0.5409662000020035
E,0,30,0.47603939997497946
E,0,10,0.43027620000066236
E,0,20,0.47691059997305274
P,0,0,0.47786449996056035
P,0,10,0.4104556000092998
E,0,40,0.5388783999951556
E,0,10,0.4920914000249468
E,0,30,0.48407089995453134
E,2,10,0.38447010004892945
E,2,0,0.41429250000510365
P,2,20,0.4426052999915555
P,2,30,0.4417622999753803
E,2,20,0.6116683000000194
P,2,40,0.523626200039871
E,2,20,0.5132301000412554
P,2,30,0.36815749999368563
P,2,20,0.424123199947644
P,2,40,0.4598982000024989
P,2,0,0.42760709999129176
P,2,10,0.4427832000073977
E,2,30,0.44387830002233386
E,2,20,0.5425752000301145
P,2,20,0.3462811000063084
E,2,0,0.43127060000551865
P,2,30,0.5204009999870323
P,2,10,0.40826719999313354
E,2,0,0.4780926000094041
P,2,40,0.47285369999008253
E,2,20,0.43449800001690164
P,2,0,0.5525303999893367
E,2,40,0.5408845999627374
E,2,40,0.5482564000412822
P,2,0,0.38402629998745397
E,2,40,0.48772430000826716
E,2,20,0.4379441000055522
P,2,0,0.3812770000076853
P,2,30,0.48417850001715124
P,2,10,0.4970888000098057
E,2,30,0.5490761999972165
P,2,10,0.4675576000008732
E,2,20,0.49985970003763214
E,2,0,0.5672371999826282
E,2,30,0.49773399997502565
P,2,40,0.4332873999956064
P,2,10,0.41987220000009984
E,2,40,0.46818580001126975
P,2,10,0.3253876999951899
E,2,30,0.5797518999897875
P,2,40,0.456737200031057
P,2,20,0.46608439995907247
E,2,30,0.43655750004108995
P,2,10,0.44290730002103373
P,2,10,0.42143080005189404
E,2,30,0.44071210001129657
P,2,10,0.491786599974148
E,2,40,0.7059041000320576
E,2,0,0.41396069998154417
E,2,0,0.356632900016848
