Letter,Direction,Eccentricity,Reaction Time (s)
E,0,30,0.35909480000009353
E,2,10,0.3628270999997767
E,0,20,0.23525179999978718
E,2,40,0.3412324000000808
E,0,10,0.3143630999998095
E,0,40,0.34623340000007374
E,0,0,0.32010989999980666
E,0,0,0.32636779999984356
E,2,20,0.3262603999996827
E,2,0,0.3168993999997838
E,0,30,0.35813340000004246
E,2,0,0.322108500000013
E,2,40,0.33959219999997003
E,0,10,0.3137434000000212
E,2,30,0.26333569999997053
E,2,0,0.32315440000002127
E,0,40,0.3914134000001468
E,0,0,0.32235609999997905
E,2,40,0.39501220000011017
E,0,20,0.23281820000011066
E,0,10,0.35949909999999363
E,0,30,0.3538770000000113
E,0,30,0.3316735000003064
E,0,30,0.32501160000038
E,2,40,0.40947529999994003
E,2,10,0.29980939999995826
E,2,40,0.3482838999998421
E,2,10,0.22750150000001668
E,0,30,0.16323130000000674
E,0,0,0.3950528000000304
E,0,0,0.3113631000001078
E,2,30,0.18516829999998663
E,0,40,0.34759749999966516
E,2,40,0.35158949999959077
E,2,10,0.18816659999993135
E,2,40,0.3368964000001142
E,0,40,0.3191219000000274
E,0,0,0.31478500000002896
E,2,10,0.35779309999998077
E,2,10,0.35749770000029457
E,2,30,0.36066329999994196
E,2,10,0.35685860000012326
E,2,10,0.3288198000000193
E,2,30,0.3559501999998247
E,2,30,0.3212959000002229
E,2,0,0.33547330000010334
E,0,20,0.32352639999999155
E,0,0,0.31919440000001487
E,0,30,0.33571660000006887
E,2,0,0.27332920000026206
E,0,30,0.28884560000005877
E,2,20,0.3142695999999887
E,0,20,0.3613470000000234
E,0,10,0.4466409999999996
E,2,30,0.3744019999999182
E,0,10,0.3283372999999301
E,0,10,0.16760189999968134
E,2,30,0.10621979999996256
E,2,20,0.1796041999996305
E,0,10,0.3174746999998206
E,2,40,0.3569305000000895
E,2,20,0.34812079999983325
E,0,10,0.3298859999999877
E,2,30,0.3373231999999007
E,2,20,0.3466920000000755
E,0,30,0.29957500000000437
E,2,40,0.34514579999995476
E,0,0,0.24707020000005286
E,2,0,0.3226894999997967
E,2,20,0.28009490000022197
E,0,40,0.358368000000155
E,2,20,0.37606430000005275
E,0,20,0.35064820000025065
E,2,20,0.30367470000010144
E,2,0,0.03747000000021217
E,0,10,0.17691720000038913
E,0,40,0.2856934999999794
E,0,10,0.27192310000009456
E,2,30,0.345268600000054
E,2,40,0.30548640000006344
E,0,20,0.3438616999997066
E,0,40,0.03273200000012366
E,0,40,0.38319300000011935
E,2,20,0.12695110000004206
E,0,20,0.27855470000031346
E,0,40,0.46921279999969556
E,2,10,0.31241940000018076
E,0,20,0.20307629999979326
E,0,30,0.30384200000025885
E,0,40,0.21418540000013309
E,2,0,0.19413989999975456
E,2,0,0.34044089999997595
E,2,0,0.24963489999981903
E,0,20,0.32037910000008196
E,2,30,0.09273460000031264
E,2,20,0.08938990000024205
E,2,10,0.19568710000021383
E,0,0,0.28355489999967176
E,0,0,0.19716220000009343
E,0,20,0.2843566000001374
