Letter,Direction,Eccentricity,Reaction Time (s)
E,0,40,0.34613549999994575
E,2,30,0.3848566000001483
E,0,10,0.34696949999988647
E,2,40,0.36197020000008706
E,0,30,0.33724800000027244
E,0,40,0.3429567000002862
E,2,20,0.33066969999981666
E,2,30,0.3883927000001677
E,0,0,0.35158929999988686
E,2,30,0.3607235999998011
E,0,20,0.309522300000026
E,0,20,0.3045013000000836
E,2,0,0.27661380000017743
E,2,20,0.30829050000011193
E,0,20,0.3475305000001754
E,0,10,0.3380160000001524
E,2,20,0.3150854000000436
E,2,20,0.3462808999997833
E,2,0,0.3239907000001949
E,0,0,0.06750450000026831
E,0,10,0.33215419999987716
E,0,40,0.3215413999996599
E,0,30,0.32991139999967345
E,0,30,0.13922539999975925
E,0,40,0.36944990000029065
E,2,20,0.32570029999988037
E,0,0,0.32602399999996123
E,0,10,0.3469236999999339
E,2,10,0.318695999999818
E,0,30,0.3245778999998947
E,0,30,0.334609300000011
E,0,20,0.22270780000008017
E,2,20,0.25052469999991445
E,0,20,0.18716079999967405
E,0,20,0.229674299999715
E,0,0,0.3206264000000374
E,0,10,0.4073268000001917
E,0,0,0.31751889999986815
E,2,10,0.34577330000001893
E,2,10,0.3148140000002968
E,0,30,0.32216809999999896
E,0,0,0.3437539999999899
E,2,30,0.07384809999985009
E,2,10,0.3470046000002185
E,2,0,0.2141023999997742
E,2,20,0.3607197000001179
E,0,40,0.37829950000013923
E,2,20,0.37062420000029306
E,2,0,0.31980939999994007
E,2,40,0.2681310000002668
E,0,30,0.3273351999996521
E,2,20,0.33006139999997686
E,2,30,0.34357330000011643
E,2,40,0.4104738000000907
E,2,40,0.36143140000012863
E,2,0,0.33974669999997786
E,0,40,0.3119582999997874
E,2,40,0.35529989999986356
E,2,40,0.3526608000001943
E,0,0,0.3275459999999839
E,2,0,0.3825654000002032
E,2,40,0.3858985999995639
E,2,30,0.36642250000022614
E,0,10,0.33063300000003437
E,2,20,0.39092129999971803
E,0,10,0.38545879999992394
E,0,30,0.4174732999999833
E,0,10,0.3703467999998793
E,0,10,0.3232861999999841
E,0,40,0.3792137999998886
E,2,30,0.3779365999998845
E,2,40,0.35050890000002255
E,0,40,0.35948910000024625
E,0,0,0.38775329999998576
E,0,20,0.5179081999999653
E,0,20,0.4163071000002674
E,2,10,0.3714743999998973
E,0,0,0.3488336000000345
E,2,0,0.4684021000002758
E,2,40,0.5633557000001019
E,0,30,0.5047854000004008
E,2,40,0.4667074000003595
E,2,10,0.3476080999998885
E,0,0,0.365961000000425
E,2,30,0.5682343999997101
E,2,0,0.3576069999999163
E,0,20,0.322324799999933
E,2,30,0.3586075999996865
E,2,10,0.18455570000014632
E,2,0,0.31378820000009
E,2,0,0.2982511999998678
E,0,40,0.31840779999993174
E,2,10,0.33719220000011774
E,0,10,0.3486180999998396
E,2,10,0.32971180000004097
E,2,10,0.3479483999999502
E,2,30,0.400680199999897
E,0,30,0.3309082999999191
E,0,20,0.3472768999999971
E,0,40,0.3623457000003327
