Letter,Direction,Eccentricity,Reaction Time (s)
P,2,40,0.5902344000000994
E,2,20,0.5778293999997004
E,0,30,0.6182478999999148
P,2,0,0.5359808000002886
B,0,40,0.49359329999970214
E,0,20,0.6530211000003874
B,2,20,0.5606933000003664
E,0,0,0.5106424000000516
B,0,10,0.4586033000000498
P,0,30,0.566303600000083
B,2,10,0.49021019999963755
B,0,20,0.5486427000000731
B,0,10,0.6352622000003976
B,2,40,0.6395959000001312
P,0,40,0.7463536000000204
E,0,10,0.5708862000001318
B,0,20,0.7981216999996832
P,2,40,0.5789749000000484
P,0,30,0.6509256999997888
P,2,10,0.5887311999999838
E,0,10,0.5652828000002046
B,2,10,0.5001723000000311
P,2,30,0.5782144999998309
B,2,20,0.6247584999996434
P,2,10,0.5538583000002291
B,0,0,0.6209113999998408
B,2,0,0.5449972999999773
B,0,40,0.5977262999999766
P,0,0,0.5734092999996392
B,0,30,0.6323293000000376
B,0,0,0.6323471000000609
P,2,30,0.5827756000003319
P,0,40,0.7559357000000091
E,0,10,0.6921833999999762
P,0,20,0.46059070000001157
B,0,10,0.4872394999997596
E,2,10,0.5725066999998489
B,2,20,0.5679064000000835
P,0,40,0.5852641999999832
B,2,0,0.5991143999999622
P,2,40,0.6096738999999616
P,2,0,0.6132512000003771
E,2,40,0.7017359000001306
B,2,0,0.5544740000000274
P,0,20,0.5399320999999873
P,0,40,0.6262157000001025
B,0,20,0.5199686000000838
E,0,10,0.5584149999999681
P,0,0,0.5899057000001449
B,2,10,0.5790135999995982
P,2,30,0.5548925000002782
B,2,10,0.5185965999999098
P,0,0,0.56483900000012
P,2,30,0.6202091999998629
E,2,10,0.49269330000015543
B,2,30,0.6277788000002147
P,2,20,0.5171983000000182
B,0,30,0.6793281999998726
E,0,10,0.4332979000000705
E,0,30,0.5297672000001512
B,2,20,0.6343344999995679
E,0,30,0.6379268999999113
P,2,20,0.5941698000001452
B,2,20,0.5674776999999267
B,0,10,0.46145530000012513
B,2,30,0.6539972000000489
B,2,40,0.5691957999997612
E,2,0,0.5115716000000248
P,0,40,0.6141233999996984
B,0,40,0.5033438000000388
B,0,40,0.495259299999816
E,0,20,0.6698059999998804
P,2,0,0.6664123999998992
E,0,0,0.6150084999999308
E,0,0,0.43942070000002786
B,2,40,0.6492081000001235
B,2,40,0.5436665000001994
B,2,10,0.5345038999998906
B,2,20,0.6600800999999592
P,0,40,0.615081000000373
E,2,40,0.6526010000002316
B,2,40,0.6800165999998171
P,2,0,0.5346693999999843
B,0,30,0.6060593000001973
B,0,20,0.48054529999990336
P,2,20,0.5447044000002279
P,0,0,0.5309230999996544
B,2,30,0.6721091999997952
E,0,10,0.5570333999999093
E,2,0,0.5866237999998702
E,2,10,0.5161345999999867
E,0,0,0.4978762000000643
E,0,30,0.4954123999996227
E,2,0,0.4515617000001839
P,0,30,0.6067641999998159
E,2,30,0.5128039999999601
B,2,30,0.4180066000003535
E,0,20,0.6325129000001652
B,0,20,0.6428947000003973
B,2,30,0.47754980000036085
