Letter,Direction,Eccentricity,Reaction Time (s)
E,0,40,0.6183365000001686
E,2,10,0.4813865999999507
E,2,40,0.5680009000002428
E,0,20,0.49153370000021823
E,0,20,0.5213611999997738
E,2,0,0.4580481000002692
P,2,30,0.4983068000001367
E,2,30,0.44584089999989374
P,2,10,0.44014900000001944
P,0,30,0.4554621000002044
E,2,10,0.4480177000000367
P,2,40,0.43897030000016457
E,2,40,0.6662912000001597
E,0,0,0.4972121999999217
P,0,20,0.4191787999998269
E,0,10,0.477782500000103
E,2,30,0.494923999999628
E,0,30,0.4500265999995463
E,2,20,0.4958741000000373
P,2,40,0.4677247999998144
P,2,0,0.4459210999998504
E,0,30,0.45570980000002237
P,0,40,0.5416983000000073
P,0,20,0.4302909000002728
E,0,30,0.48540189999994254
P,2,20,0.4216511999998147
E,0,20,0.48963340000000244
P,0,10,0.44431989999975485
P,0,30,0.4523655000002691
E,2,0,0.47500480000007883
E,2,20,0.49646279999979015
P,2,0,0.4445713000000069
E,0,30,0.46202639999955863
P,2,30,0.5507118999998966
P,2,30,0.5108400999997684
E,0,30,0.42878979999977673
E,2,0,0.5059579999997368
E,2,20,0.5239541000000827
E,2,20,0.4893616999997903
E,2,0,0.4701887999999599
E,0,20,0.49285430000009
P,2,20,0.51063669999985
P,2,10,0.3950057000001834
P,2,30,0.46120069999960833
P,2,0,0.4650123999999778
P,2,30,0.4070590000001175
P,0,20,0.44861489999993864
P,2,0,0.4700901999999587
E,0,10,0.4043716000001041
E,0,20,0.4882053999999698
P,0,40,0.47649539999974877
E,0,40,0.5394553999999516
E,0,20,0.42848600000024817
P,0,0,0.41635679999990316
E,2,30,0.4668285999996442
E,2,20,0.48299320000023727
P,0,10,0.434664000000339
P,2,30,0.4526864999997997
E,0,40,1.18757289999985
E,2,40,0.49919880000015837
E,2,40,0.6012215000000651
E,0,10,0.5637418000001162
E,0,0,0.4591175000000476
P,2,40,0.5341935000001286
P,2,20,0.5171629000001303
P,0,0,0.45032549999996263
P,0,40,0.5343421000002309
P,2,10,0.5381729000000632
P,0,0,0.4504061999996338
P,0,0,0.41935590000002776
E,2,10,0.4970766999999796
P,0,40,0.5052110000001448
E,0,0,0.4540503999996872
E,0,30,0.48663470000019515
P,2,40,0.4833856000000196
E,2,10,0.4664302000001044
E,2,20,0.45591209999975035
E,0,10,0.48174799999969764
P,0,10,0.5155867000003127
E,0,10,0.4641019000000597
P,2,10,0.46817650000002686
P,0,40,0.5151253000003635
E,2,0,0.3944633999999496
P,2,40,0.47056400000019494
P,0,40,0.4870021000001543
P,0,0,0.47310239999978876
P,0,10,0.4356308999999783
E,0,30,0.43453640000007
P,2,10,0.39831390000017564
E,0,20,0.4345930999998018
E,2,20,0.3789588999998159
E,0,30,0.5072774000000209
P,2,40,0.5432098999999653
E,0,40,0.5001889999998639
E,0,0,0.4007411000002321
P,2,0,0.5224790000002031
E,2,10,0.34396679999963453
E,0,10,0.3498334999999315
E,0,0,0.36009359999980006
E,2,30,0.3701579999997193
