Letter,Direction,Eccentricity,Reaction Time (s)
E,2,10,0.3631527000106871
E,2,0,0.3641735001001507
P,2,20,0.5404193999711424
E,2,20,0.2926139000337571
E,2,10,0.34255649999249727
P,2,10,0.5560866999439895
P,2,20,0.5129613999743015
E,2,0,0.3961400000844151
E,2,30,0.5002401999663562
P,2,30,0.5120135999750346
P,2,40,0.4989789000246674
P,2,10,0.39899659994989634
E,2,0,0.4007556000724435
P,2,0,0.433161300024949
E,2,40,0.4370354999555275
P,2,30,0.486701300018467
P,2,30,0.4649227000772953
P,2,20,0.39745519997086376
E,2,20,0.42075220006518066
P,2,0,0.3639746999833733
P,2,10,0.3937072000699118
E,2,20,0.4237955000717193
E,2,20,0.4646777999587357
E,2,40,0.654928799951449
E,2,10,0.4826147999847308
P,2,10,0.46976609993726015
E,2,40,0.5103066000156105
P,2,20,0.42253819992765784
P,2,40,0.4986018999479711
P,2,20,0.3877060000086203
P,2,20,0.42991199996322393
P,2,0,0.3760519999777898
P,2,0,0.4216293999925256
E,2,30,0.47026329999789596
E,2,30,0.4437387000070885
E,2,10,0.4081835999386385
E,2,40,0.645152699900791
E,2,30,0.5232236000010744
P,2,0,0.44482330000028014
E,2,40,0.5052329000318423
P,2,40,0.5746495000785217
P,2,30,0.5127919000806287
E,2,10,0.44449200003873557
E,2,0,0.4144437999930233
P,2,30,0.409745900076814
E,2,40,0.5085964000318199
E,2,0,0.509543199907057
E,2,30,0.5066190999932587
P,2,10,0.44111530005466193
E,2,40,0.543210499919951
E,0,40,0.5220970999216661
E,0,20,0.45195930008776486
P,0,40,0.3710517999716103
P,0,30,0.5239236999768764
P,0,10,0.37151780002750456
P,0,20,0.3484182000393048
E,0,10,0.43137579993344843
E,0,0,0.4296163999242708
E,0,30,0.5725746001116931
P,0,20,0.44874080002773553
P,0,0,0.4228472000686452
E,0,30,0.5276339999400079
E,0,10,0.48411610000766814
E,0,40,0.4382952000014484
P,0,0,0.4442112999968231
E,0,10,0.3932604000438005
E,0,10,0.37180989992339164
P,0,40,0.48582549998536706
E,0,0,0.39638310007285327
E,0,0,0.3625400000018999
E,0,0,0.3854233000893146
P,0,40,0.44970270001795143
P,0,40,0.45665030006784946
P,0,20,0.3958742000395432
E,0,20,0.5372481000376865
P,0,40,0.4933346000034362
P,0,10,0.4842132000485435
P,0,40,0.4897750000236556
P,0,10,0.37812059989664704
P,0,20,0.43985019996762276
E,0,30,0.5596647000638768
P,0,30,0.5321473000803962
E,0,0,0.5576870000222698
E,0,30,0.5894049999769777
E,0,0,0.47603830008301884
E,0,20,0.5033106000628322
E,0,30,0.6221864999970421
E,0,20,0.48557489993982017
P,0,10,0.48535890004131943
P,0,0,0.4346490000607446
P,0,20,0.41339509992394596
P,0,10,0.34946679999120533
E,0,10,0.441322400001809
E,0,30,0.6830777999712154
P,0,0,0.42365419992711395
P,0,20,0.39609080005902797
E,0,30,0.4478368000127375
E,0,40,0.7659757001092657
E,0,30,0.6249660999746993
P,0,40,0.5692126000067219
