Letter,Direction,Eccentricity,Reaction Time (s)
P,0,0,0.4604669
P,0,30,0.4189429
P,0,30,0.4217333
E,0,40,0.5581044
E,0,20,0.4633908
P,0,10,0.5387924
P,0,20,0.4297179
E,0,30,0.4778315
P,0,0,0.5236985
E,0,30,0.4383586
P,0,20,0.392166
P,0,20,0.4275588
E,0,10,0.4317509
E,0,0,0.3895553
E,0,20,0.4859108
P,0,0,0.440058
E,0,40,0.4750524
E,0,0,0.4000655
E,0,40,0.5275197
P,0,10,0.4910153
P,0,10,0.4756877
P,0,20,0.4087584
P,0,0,0.3929432
E,0,30,0.5848164
E,0,30,0.5491716
E,0,0,0.4166663
E,0,40,0.458912
P,0,10,0.4860986
P,0,30,0.4713548
P,0,20,0.3968055
P,0,10,0.4156883
E,0,30,0.4898808
P,0,10,0.4951051
E,0,20,0.4028327
P,0,0,0.4108021
P,0,10,0.4283243
E,0,10,0.4323706
P,0,40,0.4599534
E,0,30,0.5099015
P,0,10,0.3778885
E,0,0,0.4603986
E,0,40,0.6821546
E,0,0,0.4507375
P,0,30,0.4540076
E,0,40,0.5590127
E,0,20,0.4265272
P,0,40,0.6309655
E,0,40,0.6726138
E,0,20,0.6542953
P,0,40,0.5810395
E,2,30,0.3928986
P,2,10,0.4508255
E,2,0,0.508806
P,2,10,0.3658416
P,2,40,0.5455574
E,2,0,0.3847096
E,2,10,0.4324832
P,2,30,0.5004693
E,2,30,0.4752359
P,2,0,0.52169
E,2,20,0.3086197
E,2,0,0.5360398
P,2,20,0.4795095
P,2,0,0.466926
E,2,20,0.4228983
P,2,20,0.4440204
E,2,40,0.4572599
E,2,40,0.4770366
P,2,0,0.4342777
P,2,40,0.5476515
P,2,40,0.4515076
E,2,30,0.424435
E,2,10,0.4147036
P,2,10,0.4079371
P,2,20,0.4818204
P,2,40,0.427173
P,2,10,0.3705051
P,2,0,0.3640989
E,2,20,0.4026962
P,2,20,0.4796456
P,2,40,0.4918408
P,2,30,0.3891846
E,2,10,0.4788169
E,2,20,0.4164153
P,2,40,0.4688521
P,2,30,0.4239434
E,2,30,0.4110162
E,2,40,0.5046752
E,2,0,0.4537407
E,2,0,0.3683267
E,2,30,0.4243858
P,2,10,0.4867462
E,2,0,0.4661612
E,2,10,0.3792467
P,2,20,0.4164202
E,2,20,0.5695407
E,2,40,0.5014738
P,2,10,0.5194005
E,2,30,0.4399237
E,2,30,0.5448357
