Letter,Direction,Eccentricity,Reaction Time (s)
E,0,0,0.4821637999993982
E,0,40,0.8362115999989328
E,0,30,0.3262704000007943
E,0,40,0.4753928999998607
E,0,30,0.27728360000037355
E,0,20,0.19990600000164704
E,0,20,0.3382969999984198
E,0,20,0.21587609999915003
E,0,10,0.20718120000310591
E,0,0,0.4169712000002619
E,0,30,0.25133269999787444
E,0,10,0.17411510000238195
E,0,10,0.21692690000054426
E,0,0,0.24129339999853983
E,0,40,0.25177350000012666
E,0,30,0.2457883999995829
E,0,40,0.1833760000008624
E,0,20,0.2488314000001992
E,0,10,0.19626079999943613
E,0,20,0.22844280000208528
E,0,20,0.11318979999850853
E,0,40,0.2545676000008825
E,0,0,0.23429169999872101
E,0,0,0.2739197000009881
E,0,10,0.27548210000168183
E,0,40,0.24730459999773302
E,0,20,0.2293110999999044
E,0,30,0.26499649999823305
E,0,40,0.24152010000034352
E,0,10,0.22546179999699234
E,0,0,0.270815700001549
E,0,30,0.24337680000098771
E,0,0,0.21911289999843575
E,0,40,0.2838265999998839
E,0,30,0.2923941000008199
E,0,10,0.1910353999992367
E,0,10,0.1950488000002224
E,0,10,0.25281279999762774
E,0,40,0.3093421000012313
E,0,20,0.23446949999924982
E,0,0,0.2053435999987414
E,0,30,0.2926467999968736
E,0,30,0.24301550000018324
E,0,30,0.27733789999911096
E,0,20,0.14436990000103833
E,0,0,0.27448089999961667
E,0,0,0.2315898000015295
E,0,40,0.28796389999843086
E,0,10,0.30744919999779086
E,0,20,0.25386149999758345
E,0,10,0.23246159999689553
E,0,10,0.24134649999905378
E,0,20,0.25849530000050436
E,0,10,0.22158560000025318
E,0,20,0.2391797000018414
E,0,20,0.205947999998898
E,0,20,0.29366120000122464
E,0,10,0.21454199999789125
E,0,30,0.23886560000028112
E,0,30,0.2716158000002906
E,0,40,0.31626479999977164
E,0,40,0.3887977999984287
E,0,40,0.2194746999994095
E,0,10,0.24781380000058562
E,0,10,0.28047809999770834
E,0,30,0.517152200001874
E,0,0,0.21717219999845838
E,0,40,0.225351100001717
E,0,10,0.3912259999997332
E,0,30,0.23154000000067754
E,0,40,0.24094809999951394
E,0,30,0.2142625999986194
E,0,0,0.09811280000212719
E,0,10,0.3572162999989814
E,0,0,0.4016166000001249
E,0,20,0.3361866999985068
E,0,10,0.34107240000230377
E,0,20,0.24301650000052177
E,0,30,0.2178886000001512
E,0,20,0.2907156999972358
E,0,10,0.19502160000047297
E,0,40,0.268377699998382
E,0,30,0.27862829999867245
E,0,40,0.3653330000015558
E,0,30,0.2946397999985493
E,0,20,0.26713089999975637
E,0,0,0.2980554999994638
E,0,30,0.29197779999958584
E,0,0,0.22398640000028536
E,0,40,0.2853016999979445
E,0,0,0.3057102999991912
E,0,30,0.2782068000014988
E,0,20,0.2326375000011467
E,0,40,0.27841389999957755
E,0,0,0.283711799998855
E,0,40,0.28644249999706517
E,0,0,0.2891020999995817
E,0,0,0.28883069999938016
E,0,20,0.29354379999858793
E,0,0,0.3191361000026518
E,2,30,0.3083899000012025
E,2,20,0.1946420999993279
E,2,10,0.20762749999994412
E,2,10,0.21684520000053453
E,2,40,0.19442520000302466
E,2,0,0.19722389999878942
E,2,20,0.2485570999997435
E,2,10,0.25056279999989783
E,2,0,0.25193510000099195
E,2,0,0.25266740000006394
E,2,20,0.24092509999900358
E,2,10,0.2635703000014473
E,2,30,0.22342500000013388
E,2,40,0.19025399999736692
E,2,30,0.2527421000013419
E,2,0,0.22926269999879878
E,2,40,0.2448100000001432
E,2,0,0.2061108999987482
E,2,30,0.3222456000003149
E,2,20,0.2479151000006823
E,2,20,0.2721486999980698
E,2,10,0.2588125999973272
E,2,40,0.330773900001077
E,2,10,0.2944548000014038
E,2,10,0.1596337000009953
E,2,0,0.3579357999988133
E,2,0,0.287165300000197
E,2,20,0.30273989999841433
E,2,30,0.22577579999779118
E,2,40,0.29334469999957946
E,2,20,0.36161879999781377
E,2,30,0.3027003999995941
E,2,10,0.28075560000070254
E,2,10,0.4020584999998391
E,2,40,0.21964889999799198
E,2,0,0.2187919999996666
E,2,30,0.2422392000007676
E,2,30,0.4013955000009446
E,2,20,0.3070699000018067
E,2,0,0.3210992999993323
E,2,40,0.24920059999931254
E,2,40,0.24976669999887235
E,2,20,0.24091880000196397
E,2,30,0.24942949999967823
E,2,40,0.2794432999980927
E,2,0,0.27778509999916423
E,2,10,0.22177089999968302
E,2,30,0.09006410000074538
E,2,20,0.5224097999998776
E,2,40,0.23634510000192677
