Letter,Direction,Eccentricity,Reaction Time (s)
P,2,40,0.5475782000576146
P,2,0,0.4043459999957122
E,2,30,0.4200561000034213
E,2,10,0.37529459997313097
P,2,0,0.3715475000208244
P,2,0,0.3023679999751039
E,2,30,0.37977780000073835
P,2,20,0.3283738999743946
P,2,10,0.32725890004076064
P,2,0,0.34012949996395037
P,2,0,0.37240799999563023
E,2,40,0.34043590002693236
P,2,10,0.4073424999951385
E,2,10,0.4290494000306353
E,2,0,0.4623396000242792
E,2,40,0.4902676999918185
P,2,30,0.6113836000440642
E,2,40,0.5405717000248842
E,2,10,0.3768588000093587
E,2,30,0.406102099979762
E,2,10,0.2999991999822669
P,2,30,0.5754440000164323
P,2,20,0.6645723000401631
P,2,40,0.41126849997090176
E,2,0,0.6244373000226915
E,2,30,0.45714810001663864
P,2,20,0.4426065000006929
E,2,20,0.4241028999676928
P,2,0,0.40205299999797717
P,2,30,0.37964360002661124
E,2,0,0.36076749995118007
P,2,10,0.41859860002296045
E,2,10,0.39180129999294877
E,2,40,0.43901329999789596
P,2,40,0.5310608000145294
P,2,20,0.4660613000160083
E,2,0,0.7783136999933049
P,2,10,0.3779989000177011
E,2,30,0.49046169995563105
P,2,10,0.41961260000243783
E,2,30,0.25926500000059605
P,2,20,0.47509989998070523
E,2,10,0.2899374000262469
E,2,40,0.5743584000156261
E,2,40,0.5400294999708422
E,2,0,0.41524920001393184
E,2,40,0.4035781000275165
E,2,20,0.3782694000401534
E,2,20,0.3222041999688372
P,2,30,0.3877564999856986
E,2,0,0.3809643000131473
E,2,30,0.442335500032641
E,2,30,0.7080687999841757
P,2,20,0.4823937000473961
P,2,10,0.36830839997855946
P,2,20,0.42829220002749935
P,2,40,0.4455522000207566
E,2,0,0.5960308000212535
E,2,20,0.43955070001538843
E,2,40,0.42598679999355227
P,2,10,0.6066960000316612
E,2,20,0.4695459999493323
P,2,10,0.5113472000230104
P,2,40,0.5824617999605834
P,2,30,0.44698489998700097
E,2,30,0.39240349997999147
P,2,0,0.3838716999744065
E,2,10,0.38526259997161105
P,2,10,0.4000186999910511
P,2,20,0.40353589999722317
P,2,40,0.47381970001151785
E,2,30,0.4563422999926843
P,2,0,0.35330630000680685
P,2,20,0.45217379997484386
E,2,20,0.661581699969247
E,2,10,0.3163752999971621
P,2,40,0.3809768999926746
P,2,10,0.5248599000042304
E,2,0,0.506805400014855
E,2,20,0.45026000001234934
P,2,20,0.4906557000358589
P,2,40,0.46141579997492954
P,2,30,0.5912813000031747
E,2,0,0.4531032999511808
