Letter,Direction,Eccentricity,Reaction Time (s)
B,2,40,0.7367313279537484
B,2,20,0.526935062953271
E,2,10,0.4709317600354552
P,2,0,0.45102511200821027
P,2,10,0.7068075829884037
B,2,30,0.7400796220172197
E,2,20,0.5024096450069919
B,2,0,0.5524910459644161
B,2,30,0.5576775429653935
E,2,30,0.6193583309650421
E,2,0,0.4249136839644052
P,2,30,0.39408377604559064
P,2,30,0.44221349694998935
P,2,20,0.5844169339979999
E,2,40,0.5698754910263233
B,2,40,0.6652534480090253
B,2,30,0.48093984101433307
B,2,40,0.5502046360052191
P,2,20,0.5790161049808376
P,2,10,0.47540564299561083
B,2,40,0.7640051249763928
P,2,30,0.5008965689921752
P,2,20,0.45557321299565956
E,2,40,0.5647726340102963
E,2,0,0.3824817910208367
P,2,10,0.509103013027925
P,2,40,0.5745686910231598
E,2,0,0.5901425940101035
P,2,20,0.5199119350290857
P,2,20,0.44801949098473415
E,2,10,0.6420283810002729
P,2,10,0.5061847140314057
E,2,10,0.5151723840390332
P,2,20,0.5931426769820973
E,2,0,0.3977492559934035
B,2,30,0.6484785209759139
P,2,0,0.4831455299863592
E,2,10,0.5195901910192333
E,2,20,0.45192614902043715
E,2,10,0.5688005890115164
B,2,40,0.7662502800230868
E,2,30,0.7198574129724875
E,2,30,0.5132135479943827
B,2,40,0.7260270210099407
B,2,0,0.4384675260516815
P,2,40,0.5569697539904155
B,2,0,0.6080454720067792
P,2,10,0.47732796298805624
E,2,20,0.659426131984219
E,2,0,0.5029204490128905
E,0,30,0.43679967895150185
E,0,20,0.5230447109788656
P,0,30,0.4442142869811505
E,0,40,0.477960130025167
B,0,40,0.806084451964125
P,0,30,0.6752820200053975
P,0,40,0.8303676070063375
P,0,20,0.4740059250034392
E,0,0,0.6735032380092889
P,0,20,0.542557118984405
E,0,10,0.5455027800053358
B,0,40,0.9366396809928119
E,0,20,0.7021566159673966
E,0,0,0.40036242397036403
B,0,20,0.584188956010621
E,0,20,0.6221111170016229
E,0,20,0.5397605860489421
P,0,10,0.6974094219622202
E,0,40,0.6646808049990796
E,0,30,0.582678587990813
B,0,30,0.6389725789777003
P,0,40,0.7572106290026568
E,0,20,0.666769374976866
P,0,10,0.5561088040121831
P,0,40,0.5214138100272976
B,0,0,0.46973892801906914
E,0,30,0.631515902990941
E,0,10,0.5521389369969256
P,0,10,0.512554551998619
B,0,10,0.5309713970054872
E,0,10,0.5998525389586575
P,0,0,0.6145700719789602
E,0,30,0.6952858630102128
E,0,0,0.450863576028496
E,0,20,0.5374238989898004
B,0,30,0.8596701779752038
B,0,30,0.5203786980127916
E,0,40,0.9201853220001794
E,0,20,0.529128241003491
E,0,10,0.6204424099996686
B,0,40,0.732954494014848
B,0,40,0.663222735049203
P,0,0,0.5094665570068173
P,0,0,0.436456992989406
B,0,30,0.7472332759643905
B,0,10,0.461211749992799
P,0,0,0.6020615319721401
B,0,0,0.5617728029610589
P,0,10,0.5426969670224935
B,0,0,0.36729012499563396
