Letter,Direction,Eccentricity,Reaction Time (s)
P,2,10,0.4141344559902791
P,2,40,0.4715989649994299
P,2,0,0.5105113519821316
P,2,30,0.3854744179989211
E,2,10,0.385527808975894
E,2,30,0.36572943499777466
P,2,0,0.4560709419893101
E,2,10,0.47095938699203543
P,2,30,0.4487546989985276
P,2,10,0.3633991710084956
P,2,30,0.37057576299412176
P,2,0,0.3671734629897401
E,2,10,0.4885358330211602
E,2,20,0.3662130970042199
E,2,0,0.38450163701782003
P,2,20,0.45397260700701736
P,2,0,0.38644841898349114
P,2,20,0.4240145189978648
P,2,10,0.47197200599475764
P,2,20,0.36333248802111484
P,2,40,0.3689049279782921
P,2,0,0.35403149999910966
P,2,40,0.5876122530025896
E,2,10,0.40327889600303024
P,2,20,0.3767789249832276
E,2,30,0.44829442200716585
E,2,20,0.39504797098925337
E,2,30,0.38656986100249924
P,2,40,0.48418300700723194
E,2,30,0.42681552199064754
E,2,30,0.46603896300075576
E,2,20,0.3994246360089164
P,2,10,0.5212650960020255
E,2,10,0.3707550799881574
P,2,20,0.41960022298735566
P,2,40,0.4188650019932538
P,2,40,0.41465372100356035
P,2,40,0.5314097960072104
E,2,10,0.40740625897888094
E,2,40,0.4753371560072992
P,2,20,0.5043141019996256
P,2,0,0.3673790820175782
E,2,40,0.5079919740092009
E,2,0,0.3867593220202252
P,2,30,0.41429188699112274
P,2,20,0.4381796889938414
P,2,30,0.5174721710209269
E,2,0,0.3834093479963485
P,2,40,0.47829000200727023
E,2,0,0.42897890499443747
P,0,40,0.4603837609756738
P,0,0,0.39292985197971575
P,0,20,0.36847934100660495
E,0,30,0.4063196569913998
P,0,0,0.37382656900445
P,0,20,0.49297943600686267
P,0,10,0.3922433599946089
P,0,20,0.33920273900730535
P,0,20,0.441746576980222
P,0,30,0.5086043929914013
P,0,40,0.38955084199551493
E,0,10,0.39481008000439033
E,0,40,0.8076728240121156
E,0,10,0.3747844960016664
P,0,30,0.4439146939839702
E,0,0,0.40855497698066756
E,0,40,0.5569885760196485
P,0,10,0.37125970199122094
P,0,30,0.4284679340198636
P,0,10,0.36473728000419214
E,0,30,0.43632088601589203
P,0,20,0.4025382800027728
E,0,30,0.5408925350056961
P,0,40,0.5289803170016967
E,0,10,0.4497532700188458
E,0,20,0.43292610501521267
E,0,30,0.49224053500802256
P,0,10,0.44820526798139326
E,0,10,0.4298506850027479
P,0,40,0.6758458280237392
E,0,20,0.5889161759987473
P,0,0,0.6156640340050217
E,0,40,0.515011328010587
E,0,0,0.3892392569978256
E,0,10,0.4546099819999654
P,0,30,0.4819837130198721
E,0,20,0.5681303119927179
E,0,20,0.43295431800652295
E,0,40,0.7198141139815561
P,0,30,0.5425755009928253
E,0,20,0.4644135890121106
P,0,30,0.4653531769872643
E,0,0,0.4328592809906695
E,0,40,0.46955415001139045
E,0,0,0.354512338002678
E,0,0,0.3710073299880605
E,0,40,0.5100061279954389
P,0,0,0.39680066899745725
P,0,10,0.43901822302723303
E,0,0,0.36682133201975375
