Letter,Direction,Eccentricity,Reaction Time (s)
E,0,40,0.2534596999757923
E,0,30,0.21995820000302047
E,0,20,0.22859399998560548
E,0,10,0.2147736999904737
E,0,0,0.2072578000370413
E,0,10,0.10746210004435852
E,0,30,0.2688423999934457
E,0,40,0.2682243000017479
E,0,0,0.21829009999055415
E,0,0,0.31276640004944056
E,0,30,0.2686934999655932
E,0,10,0.2515427000471391
E,0,20,0.24350419995607808
E,0,40,0.2376086000003852
E,0,20,0.2184834000072442
E,0,20,0.22838500002399087
E,0,40,0.25076899997657165
E,0,20,0.2001157999620773
E,0,40,0.20704599999589846
E,0,0,0.24320890003582463
E,0,0,0.22454310004832223
E,0,20,0.23076720000244677
E,0,10,0.19946700002765283
E,0,30,0.22478390001924708
E,0,40,0.2555877999984659
E,0,30,0.2699704999686219
E,0,10,0.252457799972035
E,0,10,0.14350720000220463
E,0,30,0.2742524000350386
E,0,10,0.24486889998661354
E,0,20,0.247454900003504
E,0,0,0.24407109996536747
E,0,30,0.217539899982512
E,0,20,0.23210650001419708
E,0,0,0.21221399999922141
E,0,40,0.427354599989485
E,0,20,0.18612800003029406
E,0,40,0.20261759997811168
E,0,0,0.25888790003955364
E,0,30,0.2364899999811314
E,0,20,0.2635387000045739
E,0,30,0.25832580000860617
E,0,10,0.14474499999778345
E,0,0,0.26858949998859316
E,0,0,0.24791139998706058
E,0,40,0.23465549998218194
E,0,30,0.2798975000041537
E,0,40,0.25254580000182614
E,0,10,0.2682986000436358
E,0,10,0.1920553999952972
E,2,30,0.21705300000030547
E,2,10,0.20038639998529106
E,2,40,0.20130919996881858
E,2,20,0.21239270002115518
E,2,0,0.2301179000060074
E,2,10,0.213845299964305
E,2,30,0.20327869994798675
E,2,10,0.21175259997835383
E,2,20,0.2032288999762386
E,2,30,0.17247970000607893
E,2,40,0.21619209996424615
E,2,40,0.1688055000267923
E,2,0,0.2029190000030212
E,2,30,0.21999370004050434
E,2,0,0.2391475000185892
E,2,40,0.22608699998818338
E,2,10,0.21284380002180114
E,2,20,0.2031728999572806
E,2,10,0.10322399996221066
E,2,40,0.24518100003479049
E,2,0,0.1859254000009969
E,2,20,0.3852589000016451
E,2,20,0.2471157000400126
E,2,30,0.2515189999830909
E,2,20,0.24162330001126975
E,2,30,0.26846990000922233
E,2,10,0.23632559995166957
E,2,40,0.19714609999209642
E,2,30,0.22111450001830235
E,2,40,0.10055050003575161
E,2,30,0.19712779996916652
E,2,20,0.1991466999752447
E,2,20,0.21064629999455065
E,2,30,0.2512693000026047
E,2,10,0.2212448999634944
E,2,40,0.024123999988660216
E,2,40,0.2532090999884531
E,2,40,0.21972759999334812
E,2,10,0.26780510001117364
E,2,0,0.26667889999225736
E,2,30,0.264493599999696
E,2,20,0.2630875000031665
E,2,10,0.3301318999729119
E,2,0,0.32589290000032634
E,2,10,0.25746130000334233
E,2,0,0.29188500001328066
E,2,0,0.25399479997577146
E,2,0,0.2148587999981828
E,2,20,0.2127298999694176
E,2,0,0.27866010001162067
