Letter,Direction,Eccentricity,Reaction Time (s)
P,2,10,0.5339140000287443
E,2,0,0.4848338000010699
P,2,20,0.5660234999959357
E,2,40,0.6150089000002481
E,2,20,0.4297030000016093
P,2,40,0.5748136000474915
P,2,10,0.48235200002091005
P,2,30,0.46841430000495166
B,2,0,0.31475889997091144
B,2,0,0.40601680002873763
P,2,20,0.46045569999841973
E,2,40,0.6299762000562623
E,2,40,0.5598926999955438
P,2,20,0.41894800000591204
E,2,30,0.4894376000156626
E,2,0,0.3544139000005089
P,2,40,0.6580241000046954
P,2,40,0.49176770000485703
B,2,10,0.4605683999834582
B,2,20,0.3811102000181563
E,2,10,0.5254977999720722
E,2,40,0.5412518999655731
P,2,30,0.6335582000319846
B,2,10,0.49996779998764396
B,2,30,0.6366189999971539
E,2,30,0.524747200019192
B,2,30,0.5827191999997012
P,2,40,0.5551390000036918
E,2,0,0.4359205999644473
E,2,40,0.5556594000081532
B,2,30,0.5446914000203833
B,2,10,0.6449370000045747
E,2,20,0.460817200015299
E,2,10,0.31699849996948615
P,2,20,0.40774779999628663
E,2,30,0.5044784999918193
E,2,10,0.33900590002303943
E,2,0,0.4564335999893956
P,2,0,0.470058600010816
E,2,0,0.42060699994908646
B,2,40,0.49007800000254065
B,2,20,0.5925357000087388
B,2,10,0.5100078000104986
P,2,30,0.5513515999773517
P,2,0,0.501358599984087
P,2,0,0.3798454000498168
P,2,20,0.38974640000378713
B,2,10,0.4651307999738492
B,2,20,0.46352140000090003
P,2,30,0.3528493999619968
E,0,10,0.4821012999746017
E,0,40,0.4243949000374414
E,0,10,0.40701439999975264
B,0,30,0.4718242999515496
B,0,40,0.4762125000124797
P,0,20,0.5124672999954782
B,0,30,0.3677859000163153
P,0,30,0.5386446999618784
P,0,20,0.3513558999984525
B,0,0,0.6507484000176191
B,0,30,0.36273749999236315
B,0,0,0.32012690004194155
B,0,40,0.33975580002879724
P,0,10,0.44132290000561625
P,0,20,0.44073430000571534
P,0,10,0.38360220001777634
B,0,40,0.5149923000135459
B,0,40,0.5283719999715686
B,0,30,0.5476118000224233
E,0,0,0.4697483999771066
E,0,10,0.5213019999791868
P,0,10,0.4323611000436358
E,0,30,0.5539756999933161
B,0,20,0.5176272999960929
B,0,30,0.468396499985829
E,0,30,0.5825103999814019
P,0,40,0.593475200003013
E,0,20,0.43405699997674674
B,0,20,0.5174570999806747
E,0,30,0.6656424000393599
E,0,10,0.46057940000901
P,0,10,0.5354711000109091
B,0,20,0.6118961999891326
B,0,30,0.5652342000394128
E,0,0,0.4582996999961324
P,0,0,0.5294136999873444
B,0,40,0.5016750000067987
P,0,20,0.45243140001548454
E,0,0,0.4418701999820769
B,0,0,0.4984511999646202
B,0,10,0.5184583000373095
E,0,40,0.7509292999748141
B,0,0,0.4487285999930464
P,0,40,0.8183713000034913
E,0,0,0.48521910002455115
B,0,0,0.45890030002919957
P,0,10,0.4432736999588087
P,0,20,0.4713830000255257
P,0,20,0.427704099973198
P,0,40,0.5524756999802776
