Letter,Direction,Eccentricity,Reaction Time (s)
E,2,40,0.39872685295995325
E,0,30,0.24575087509583682
E,0,10,0.2464245550800115
E,2,40,0.29597574200015515
E,0,40,0.21812224003951997
E,0,40,0.19837996701244265
E,0,30,0.2029810339910909534
E,2,20,0.30198674104176462
E,2,10,0.3178102979902178
E,2,0,0.341488709044642746
E,2,30,0.37589551398996264
E,2,30,0.21480931097175926
E,2,20,0.44530575000680983
E,2,20,0.20416237495373935
E,2,30,0.28462756602093577
E,0,0,0.26892629305366427
E,0,0,0.1774485589703545
E,2,40,0.3200651139486581
E,2,20,0.30381405602674931
E,0,10,0.34719034908339381
E,0,20,0.331118351966142654
E,0,20,0.21656412098091096
E,2,40,0.2843506939243525
E,2,10,0.33726798505522311
E,2,30,0.2950072190584615
E,0,0,0.1787009990075603
E,0,40,0.38263605600222945
E,2,20,0.13655279309023172
E,0,30,0.24932637591846287
E,0,0,0.15451942001003772
E,0,0,0.212850883998908103
E,2,10,0.39088663093280047
E,2,0,0.3066852879244834185
E,2,10,0.11529023200273514
E,0,20,0.4016495649702847
E,2,20,0.213800780987367034
E,0,0,0.17388141504488885
E,0,0,0.34281155900098383
E,0,40,0.3452088460326195
E,0,40,0.3049172289436683
E,0,20,0.39559412102680653
E,2,30,0.1461524780606851
E,2,40,0.307229733048006892
E,2,30,0.27383098499849439
E,0,40,0.3444100960623473
E,2,0,0.28528868306893855
E,2,0,0.10248392703942955
E,0,30,0.37115404098294675
E,0,30,0.1766815020237118
E,0,40,0.042824404896236956
E,0,10,0.29703280997928232
E,2,0,0.21335389595478773
E,2,10,0.2725275739794597
E,2,0,0.26507721799425781
E,0,20,0.1687619899166748
E,0,30,0.29566541307140142
E,2,10,0.1788194979308173
E,0,40,0.19307421799749136
E,2,10,0.24643466405104846
E,0,10,0.305920963943935931
E,0,40,0.20458238804712892
E,2,20,0.18943883189931512
E,0,20,0.27311122701503336
E,2,20,0.1096488949842751
E,2,10,0.12732770491857082
E,0,20,0.29030935000628233
E,2,30,0.13400493003427982
E,2,20,0.25656418211292475
E,2,0,0.14664335292764008
E,0,20,0.32020192295312881
E,2,0,0.2943846189742908
E,2,0,0.35111840108875185
E,2,40,0.16992684092838317
E,0,10,0.14799783995840698
E,2,40,0.2655955429887399
E,2,40,0.26643167498987168
E,2,10,0.407752942969091237
E,0,0,0.38912416303064674
E,0,10,0.06371048395521939
E,2,30,0.13030087798833847
E,0,10,0.10926281102001667
E,2,40,0.25878703796304762
E,2,30,0.1856484260642901
E,2,30,0.35930445506237447
E,0,20,0.27018310902640224
E,0,10,0.31658796004485339
E,2,20,0.226087064063176513
E,0,0,0.48074254100210965
E,0,30,0.10722998599521816
E,0,10,0.21622168894391507
E,0,30,0.22048354791477323
E,0,40,0.27102332694921643
E,0,30,0.313995158020406961
E,2,10,0.37796021699905396
E,2,0,0.28037942005321383
E,0,0,0.26927310291212052
E,0,20,0.11151502304710448
E,0,10,0.13833497802261263
E,0,30,0.1395704880123958
E,2,40,0.26069231706205755
