Letter,Direction,Eccentricity,Reaction Time (s)
E,0,20,0.7834214980248362
E,2,30,0.4498262390028685
B,2,0,0.433157046069391
B,0,30,0.5278974890243262
B,0,40,0.5441857349360362
E,2,10,0.7030372000299394
B,2,10,0.4141649130033329
E,2,40,0.7381564559414983
P,2,0,0.4974160539917648
E,2,20,0.3961135040037334
B,0,0,0.5691864699823782
P,2,30,0.670433170045726
P,0,20,0.45310297200921923
B,2,30,0.5693427599966526
P,0,10,0.5281807620078325
E,0,30,0.4920791130280122
P,0,0,0.48266431502997875
B,0,0,0.6219517049612477
B,2,10,0.455892815021798
P,0,40,0.8111109619494528
P,0,40,0.4659359490033239
B,2,10,0.681736888946034
E,2,10,0.5578717490890995
E,0,40,0.917192408000119
B,2,10,0.6497552679851651
P,2,30,0.7318942529847845
B,0,30,0.450344238965772
E,0,30,0.5525860800407827
B,2,40,0.8736614509718493
P,2,40,0.6659598579863086
P,0,40,0.7563943749992177
E,0,10,0.690808710991405
P,0,30,0.4342498420039192
P,0,30,0.6136656960006803
B,2,10,0.6655955209862441
E,0,10,0.590503745013848
P,0,20,0.6918382289586589
B,2,40,0.6888377629220486
B,2,20,0.461227641091682
B,2,20,0.4445852419361472
P,0,40,0.5465993419988081
B,0,0,0.5353584029944614
E,2,0,0.5142174900742248
E,2,0,0.6044634080026299
B,2,40,0.7308099569519982
P,0,0,0.4220060279825702
E,2,30,0.5953524179989472
P,0,0,0.5129906120710075
P,0,0,0.3498746850527823
E,0,0,0.6427450058981776
E,2,0,0.4729884600499645
E,2,30,0.5899774810299277
B,2,30,0.4195443770149723
E,2,30,0.5609868690138683
P,0,20,0.6757958719972521
E,2,10,0.42328934697434306
E,2,40,0.6097095189616084
B,2,20,0.7666118060005829
P,2,20,0.48968058195896447
B,0,40,0.8489067259943113
B,2,20,0.4595251539722085
E,2,20,0.5454033899353817
B,2,10,0.4137892719823867
B,0,30,0.8164956239052117
E,0,20,0.6253499680897221
B,2,0,0.347141511994414
E,2,40,0.4277805679943413
E,2,20,0.6063791499240324
P,0,10,0.4665363769512624
E,0,10,0.5534232859499753
P,0,20,0.5202208820264786
E,0,20,0.4705165909370407
P,2,20,0.4739327589748427
B,0,10,0.5181686510331929
B,2,30,0.6877241819165647
B,0,10,0.4193273769924417
P,0,10,0.7204040180658922
P,0,20,0.5194153171032667
B,2,0,0.6291378129972145
B,0,20,0.41133667901158333
B,0,40,0.4036876160884276
P,0,0,0.5455252369865775
E,2,0,0.5452089729951695
P,0,20,0.4775900959502906
E,2,0,0.6042904870118946
B,0,40,0.7973792819539085
B,2,10,0.5722543790470809
P,2,40,0.4463743729982525
B,0,40,0.5326662790495902
P,0,30,0.6218066610163078
B,2,20,0.6065979150589556
P,2,40,0.6868435980286449
E,2,30,0.5933835609816015
B,0,10,0.6665335210273042
P,0,0,0.4266744330059737
B,0,30,0.6469403920695186
B,2,40,0.7169450930319726
E,0,30,0.665396295953542
B,0,10,0.6260384579654783
P,2,0,0.4845696410397068
