Letter,Direction,Eccentricity,Reaction Time (s)
E,0,20,0.5639277660520747
P,0,0,0.4313397239893675
B,2,20,0.5607176040066406
E,0,20,0.7142121240030974
E,0,40,0.5958625390194356
P,0,0,0.3780187690863386
B,2,20,0.7054664740571752
E,2,0,0.4721131540834904
B,0,40,0.7298404109897092
B,0,30,0.7110031730262563
B,2,20,0.7579859520308673
B,0,0,0.4268995119491592
E,0,0,0.7313425200991333
B,2,0,0.4237272389698774
B,0,30,0.5741735509363934
P,0,0,0.6884809679118916
B,0,20,0.557844308950007
E,0,40,0.7504643369466066
P,0,30,0.420245134900324
B,0,20,0.7534922059858218
P,0,30,0.7780401799827814
E,2,30,0.6558983960654587
B,0,0,0.4529408930800855
P,0,40,0.6808798789279535
E,0,20,0.6286289250710979
E,2,0,0.7064913029316813
B,2,10,0.6072001799941063
P,0,0,0.594065959053114
B,2,30,0.47799921000842005
B,0,20,0.7069156300276518
E,2,40,0.7442707299487665
B,0,0,0.5009193670237437
P,0,30,0.5650064909132197
E,0,20,0.5365023129852489
P,0,10,0.4192267040722072
E,2,40,0.4506270490586758
E,0,40,0.6716411779634655
B,0,20,0.438950749929063
B,0,40,0.39826352894306183
E,2,40,0.551968478015624
B,2,20,0.6643115869956091
E,0,30,0.6892481789691374
B,2,40,0.5667832469334826
P,2,0,0.6162762580206618
B,2,10,0.5555938880424947
B,2,40,0.472342746052891
P,0,10,0.7287727189948782
P,2,0,0.4738951940089464
E,0,10,0.5403680340386927
E,2,0,0.605616529006511
E,2,20,0.4734326660167426
P,0,10,0.8627527169883251
B,2,30,0.5279393459204584
E,0,30,0.6246233419515193
E,2,20,0.4556409519864246
E,2,0,0.44758343894500285
P,0,30,0.7535502850078046
B,0,40,0.8188223330071196
P,2,40,0.5642912549432367
B,2,0,0.604779027053155
B,2,10,0.695173577987589
P,2,10,0.6342312679626048
P,2,10,0.4022871620254591
P,0,10,0.3902037829393521
B,2,20,0.5287572619272396
E,0,10,0.5843257179949433
P,2,40,0.760945315938443
E,2,20,0.4130121000809595
P,2,10,0.7129663520026952
B,2,20,0.5067786779953167
E,2,30,0.6398555369814858
P,2,30,0.5559130570618436
E,2,20,0.3293972809799016
B,2,30,0.7539619359886274
E,2,10,0.42710239905864
P,0,20,0.4819435690296814
B,0,20,0.5897699469933286
P,2,40,0.8074625390581787
P,2,30,0.6708611050853506
B,0,30,0.5005552250659093
B,2,30,0.6340151019394398
B,0,40,0.4410198969999328
P,0,40,0.6526800179854035
B,0,10,0.4633400710765272
P,0,30,0.4517050129827112
B,2,40,0.7128146190661937
P,2,10,0.4702933059306815
P,0,0,0.46224560600239784
B,2,30,0.48641469702124596
P,0,0,0.5408976989565417
P,0,40,0.5299296419834718
B,2,0,0.4372449640650302
B,2,10,0.828775699948892
P,0,10,0.65243699203711
P,2,30,0.5351729780668393
B,2,40,0.5031800700817257
B,2,0,0.4097599310334772
P,0,10,0.38156377093400806
B,2,10,0.5800525569356978
P,0,10,0.6616333239944652
