Letter,Direction,Eccentricity,Reaction Time (s)
E,0,30,0.5326058510690928
E,0,20,0.4970037180464715
P,0,10,0.4647519770078361
P,0,40,0.426805877010338
P,0,10,0.4887723720166832
P,0,30,0.5038677119882777
P,0,20,0.3692101240158081
E,0,0,0.35924044298008084
E,2,20,0.38991203205659986
P,2,30,0.46941703697666526
P,0,10,0.4031901319976896
P,0,40,0.4352985470322892
E,0,40,0.5133044950198382
P,2,10,0.4429015479981899
P,0,20,0.47074555000290275
E,0,30,0.4397685150615871
P,2,20,0.3248017510632053
E,2,20,0.49536347098182887
E,2,30,0.41641841700766236
E,0,20,0.39859782601706684
P,0,40,0.5490062029566616
P,0,40,0.591183723998256
P,0,20,0.42651261296123266
P,2,20,0.5510299879824743
E,2,40,0.4711480790283531
P,2,30,0.5180771420709789
E,0,40,0.45178067893721163
P,0,10,0.414546875981614
P,2,40,0.4846001979894936
P,0,0,0.41259494808036834
E,2,10,0.35373958898708224
P,2,10,0.4605297410162166
E,2,40,0.4912418599706143
P,2,30,0.538857413106598
P,2,0,0.38802222697995603
P,2,40,0.4443902149796486
P,2,20,0.43082010094076395
E,0,30,0.4311568069970235
P,0,0,0.43593355000484735
E,2,0,0.36806711298413575
P,2,10,0.47633425099775195
E,2,10,0.3528353030560538
P,2,30,0.37538946291897446
E,2,30,0.34264961699955165
E,0,40,0.509154865052551
E,0,10,0.3513653369154781
E,0,0,0.5506971650756896
E,0,10,0.32395714498125017
P,2,30,0.5895694360369816
P,0,0,0.4112961710197851
P,2,30,0.46404757793061435
E,0,20,0.40614691702649
E,2,10,0.3844375479966402
E,0,0,0.3691652560373768
P,0,0,0.4208551620831713
E,2,20,0.37906639999710023
E,2,0,0.3668116229819134
E,2,40,0.493333162041381
E,2,40,0.3366012710612267
E,2,30,0.40904946299269795
P,0,30,0.3532316980417818
E,2,20,0.38196324498858303
P,2,40,0.4285167270572856
E,0,40,0.4814967910060659
E,2,40,0.41204697196371853
P,0,0,0.4004135860595852
P,0,10,0.4645501299528405
P,2,0,0.41112440393771976
E,2,20,0.46054348803590983
E,0,10,0.45371319097466767
P,0,10,0.37129830406047404
E,0,20,0.5871361090103164
E,0,30,0.5079996209824458
P,0,30,0.37776531802956015
P,0,40,0.40794754901435226
E,2,10,0.5161859670188278
E,0,30,0.663156756083481
P,2,0,0.34410125098656863
E,2,0,0.34707371902186424
P,0,10,0.35357896401546896
E,2,30,0.36857101100031286
E,2,40,0.8397929939674214
P,2,10,0.4296592209720984
P,0,20,0.35146461403928697
E,2,0,0.44022304797545075
E,2,10,0.37044745311141014
P,2,20,0.39762609207537025
P,0,20,0.37377831409685314
P,2,10,0.4105165150249377
E,2,0,0.457545286975801
E,2,0,0.32719678804278374
E,0,20,0.3525260050082579
E,0,30,0.37867331004235893
E,0,40,0.36450823803897947
P,2,40,0.4493585319723934
P,2,20,0.4012855140026659
E,0,0,0.37216763792093843
E,2,0,0.430911949952133
E,0,30,0.3676215499872342
P,0,0,0.3577198829734698
