Letter,Direction,Eccentricity,Reaction Time (s)
P,2,40,0.5726907440694049
P,0,40,0.6703591509722173
E,0,20,0.5208646360551938
P,0,40,0.5450610429979861
E,0,0,0.46834183402825147
E,2,30,0.5298593690386042
P,2,30,0.5704808649607003
E,2,30,0.5087742579635233
E,2,0,0.6652039439650252
E,0,10,0.5183179649757221
E,2,40,0.6543390220263973
P,0,40,0.495131473056972
E,0,20,0.42766998696606606
E,0,0,0.35220941505394876
P,0,40,0.4893824940081686
P,2,30,0.4794545780168846
P,2,40,0.4867625089827925
P,0,20,0.4829540749778971
E,2,30,0.40312936704140157
P,0,0,0.41757845296524465
P,2,0,0.4647283300291747
E,0,10,0.43130574899259955
P,0,20,0.4247306080069393
E,2,10,0.42401580908335745
P,0,20,0.4372777430107817
P,2,10,0.3637153869494796
P,2,30,0.3473870379384607
E,2,40,0.557446805993095
E,2,20,0.3708783040056005
P,0,30,0.41994512698147446
P,0,10,0.4247711419593543
E,0,0,0.429058609995991
P,0,30,0.4419599799439311
E,0,10,0.535491534974426
P,0,0,0.4391642049886286
E,0,20,0.5377104229992256
P,2,10,0.4620719370432198
P,0,40,0.47047534596640617
E,2,10,0.3724028399446979
E,2,0,0.38756273104809225
P,2,30,0.5352335999486968
P,2,30,0.4403178319334984
P,0,10,0.41096224798820913
E,0,20,0.490003076964058
P,0,40,0.47297326603438705
P,0,10,0.47165681200567633
P,2,0,0.4412144919624552
P,0,30,0.5144233399769291
P,2,10,0.4129620840540156
P,2,20,0.479555860045366
P,2,10,0.5034317859681323
E,2,0,0.501606723992154
P,2,40,0.4894286199705675
E,0,20,0.4348603329854086
E,2,20,0.414456153055653
E,2,0,0.38881142798345536
E,0,20,0.4466435699723661
P,0,40,0.829365613986738
P,0,30,0.5768255400471389
P,2,10,0.4702348430873826
E,2,0,0.38249443494714797
E,2,10,0.39224143198225647
P,0,0,0.38468083809129894
P,2,20,0.4213017780566588
E,2,30,0.4717034049099311
P,2,20,0.4450180330313742
P,2,20,0.48495276598259807
P,2,40,0.39544516999740154
P,0,10,0.4183188829338178
E,0,0,0.46854592591989785
P,0,30,0.4393403889844194
E,2,40,0.48411839094478637
E,0,40,0.5931076670531183
P,2,20,0.44203640695195645
E,2,10,0.424512323923409
P,2,40,0.4511384720681235
P,0,10,0.3840892320731655
P,0,40,0.4138302829815075
E,0,20,0.44008225691504776
P,0,30,0.42189800401683897
P,0,30,0.485572669073008
P,0,0,0.41688540298491716
E,2,0,0.46695349796209484
P,2,30,0.5272022859426215
E,0,0,0.4383533140644431
P,0,30,0.4099879990098998
E,2,40,0.4736255150055513
E,2,20,0.39454457804095
P,2,40,0.4756948290159926
P,2,0,0.35100731102284044
P,0,0,0.3310080129886046
E,0,10,0.3820729278959334
E,2,10,0.36343731998931617
P,0,30,0.4389996080426499
P,0,10,0.3825680350419134
P,2,20,0.3943866720655933
E,2,20,0.4697751799831167
E,2,0,0.3905544630251825
P,0,30,0.3400361790554598
E,0,40,0.5357380819041282
