Letter,Direction,Eccentricity,Reaction Time (s)
E,2,10,0.2483714
E,0,30,0.2672215
E,2,20,0.2428301
E,2,20,0.368389
E,2,10,0.2523277
E,0,30,0.1605602
E,0,0,0.3400119
E,2,10,0.2851508
E,0,0,0.0020159
E,0,10,0.0699622
E,0,0,0.2806336
E,2,40,0.3006331
E,0,0,0.0987062
E,2,20,0.2759395
E,0,10,0.0241924
E,2,10,0.2377124
E,2,0,0.3389334
E,2,30,0.2925672
E,2,0,0.3113906
E,2,0,0.2959705
E,2,20,0.2209758
E,0,0,0.3261999
E,0,40,0.1474496
E,0,10,0.290571
E,0,40,0.1435335
E,0,10,0.2968371
E,2,40,0.0115326
E,0,10,0.2797097
E,0,30,0.3389719
E,0,10,0.2924068
E,2,0,0.2756569
E,2,30,0.3097309
E,0,40,0.1445486
E,0,20,0.3246228
E,0,40,0.0923971
E,2,40,0.3591888
E,2,40,0.3522555
E,0,40,0.4960122
E,2,20,0.2408095
E,2,30,0.3896946
E,0,30,0.2300952
E,0,30,0.258312
E,2,30,0.2817724
E,0,30,0.2967479
E,0,30,0.2837144
E,0,0,0.2652026
E,2,40,0.3305632
E,0,0,0.2688663
E,2,10,0.3245739
E,2,30,0.2330984
E,2,30,0.2384255
E,0,40,0.2534759
E,0,20,0.3386713
E,0,40,0.2399059
E,2,10,0.2541553
E,0,0,0.2532979
E,0,10,0.1713454
E,0,10,0.333919
E,2,40,0.2351709
E,0,10,0.1711118
E,0,20,0.235271
E,2,30,0.4350308
E,2,10,0.3180838
E,0,0,0.2683506
E,0,10,0.2610086
E,2,20,0.3050478
E,0,20,0.3177277
E,2,10,0.377486
E,2,30,0.2780154
E,2,0,0.3279244
E,0,40,0.4189503
E,0,30,0.4234051
E,2,30,0.5189285
E,0,20,0.3091022
E,2,20,0.3999815
E,2,40,0.284651
E,2,0,0.2370719
E,0,20,0.5279198
E,0,20,0.4085078
E,2,40,0.4883283
E,2,10,0.6008148
E,2,40,0.2651868
E,0,40,0.2019036
E,2,0,0.270252
E,2,0,0.2442509
E,2,0,0.218208
E,2,20,0.2246234
E,0,30,0.3327643
E,2,40,0.2112558
E,0,20,0.2750518
E,2,0,0.272562
E,0,30,0.2782112
E,0,20,0.2808352
E,2,20,0.2851878
E,2,10,0.0309746
E,2,20,0.2627528
E,2,30,0.2720554
E,0,20,0.268608
E,0,40,0.0766333
E,0,0,0.3778281
