Letter,Direction,Eccentricity,Reaction Time (s)
E,2,0,0.3678912
E,2,30,0.4992374
B,2,40,0.5274169
P,0,10,0.5249711
P,0,20,0.5245042
P,2,10,0.4730346
P,0,30,0.5931054
E,2,40,0.6716452
B,0,10,0.6177086
B,0,30,0.4094915
E,0,10,0.728272
E,2,20,0.4964001
B,0,10,0.5063034
P,0,10,0.5552034
E,0,20,0.6554
P,2,30,0.6151533
E,0,20,0.7244346
B,0,30,0.7094835
B,2,20,0.8076374
P,2,0,0.6074382
P,2,10,0.7878303
B,0,40,0.9328542
B,0,30,0.6022727
P,0,30,0.6933419
E,0,20,0.7811842
B,2,10,0.5053478
E,2,20,0.6310249
P,0,0,0.5565814
P,0,40,0.779034
P,0,0,0.6506935
E,0,40,0.8497938
P,2,40,0.5201487
B,2,40,0.893342
B,2,20,0.584503
B,2,40,0.6499795
P,0,40,0.737282
P,2,10,0.4428499
P,2,0,0.4277702
B,0,40,0.688978
B,0,20,0.4343762
E,0,0,0.5773798
B,2,20,0.6370801
B,2,30,0.5005492
P,2,10,0.4089463
P,0,0,0.4103487
B,2,30,0.621167
E,2,10,0.5399815
P,2,30,0.6421758
P,0,20,0.5690868
P,0,20,0.3946689
P,0,30,0.3515279
P,2,0,0.3544827
E,0,30,0.6144224
B,0,20,0.4374148
B,0,40,0.401913
E,2,0,0.5891881
P,0,10,0.4828365
B,0,40,0.7150171
B,2,10,0.4632145
E,2,30,0.3554686
B,2,30,0.4949851
P,0,0,0.5824436
B,0,10,0.4162608
B,2,0,0.3709065
E,2,30,0.4687307
E,2,20,0.3600048
B,0,40,0.3691701
B,0,40,0.411426
E,2,20,0.3878231
B,0,10,0.4996963
B,2,20,0.5360318
B,0,0,0.4087472
P,2,40,0.5901568
P,0,10,0.4315023
P,0,0,0.345127
E,2,10,0.5542363
B,0,20,0.4322823
P,0,30,0.5889794
P,2,0,0.4027384
P,2,20,0.5894196
E,2,20,0.3077756
B,0,0,0.5452912
B,0,0,0.5917682
E,2,30,0.5185545
E,2,40,0.3438237
P,2,30,0.4662165
B,2,10,0.48502
P,2,40,0.4946163
B,0,30,0.3625209
P,0,10,0.3910451
B,2,40,0.5852232
P,2,40,0.7063801
E,0,20,0.6043828
B,2,10,0.5517795
P,2,0,0.5710735
E,2,0,0.46859
P,0,40,0.7433407
P,2,0,0.612221
E,0,0,0.4302967
B,0,30,0.3646833
