Letter,Direction,Eccentricity,Reaction Time (s)
E,2,0,0.3590046
P,0,30,0.4530687
P,2,0,0.4586414
P,2,20,0.3436632
P,2,0,0.358825
P,0,20,0.3455086
P,2,20,0.3635739
E,0,10,0.3758672
E,2,20,0.3369752
E,0,30,0.3135086
E,0,0,0.2431694
P,2,40,0.3850591
E,2,30,0.4717445
P,2,20,0.5057275
P,0,20,0.376672
P,0,0,0.3532786
P,2,30,0.4055207
E,2,20,0.4842349
P,0,30,0.5204473
E,2,20,0.3274593
P,0,10,0.4854049
P,2,20,0.510885
P,0,20,0.3782374
E,2,40,0.5509538
E,0,10,0.4716885
P,0,30,0.4543564
E,0,20,0.4847813
P,0,20,0.4031259
P,0,0,0.4030282
P,2,10,0.3902242
E,0,0,0.5610149
P,0,30,0.4734897
P,0,30,0.5521577
P,2,10,0.3677964
E,0,10,0.6283966
E,0,10,0.3534694
E,0,10,0.3505595
E,2,40,0.7081403
E,2,10,0.3391533
P,0,30,0.5289765
E,2,0,0.4291465
P,0,0,0.4612002
P,0,0,0.3608735
P,2,10,0.3678577
P,2,30,0.3506867
E,2,30,0.4219254
P,2,0,0.4940173
E,0,10,0.484108
E,2,20,0.3759855
E,2,30,0.4314702
E,2,10,0.3297841
P,0,20,0.3961948
P,0,40,0.3420575
P,2,0,0.3350224
P,0,10,0.4111469
P,0,20,0.0552596
E,2,30,0.3597014
E,0,0,0.3295015
E,2,40,0.440217
P,0,10,0.3543303
E,2,40,0.4024904
P,2,30,0.5229773
P,2,0,0.3846234
P,0,0,0.3908648
P,2,40,0.4319313
P,0,40,0.3799704
E,2,30,0.3963136
E,2,30,0.4017805
P,0,40,0.5173574
P,0,40,0.3328127
E,2,30,0.4502875
P,0,20,0.4845769
P,2,0,0.4264881
P,2,10,0.3571747
E,2,10,0.4446659
P,2,40,0.5277371
E,2,40,0.4671468
P,0,30,0.4254279
E,0,40,0.6020433
P,2,20,0.4425622
E,0,20,0.4566553
E,0,40,0.5258188
E,2,20,0.3999678
E,0,40,0.4319219
E,2,40,0.4203149
E,2,10,0.3474912
P,0,20,0.6716722
P,2,0,0.3556157
E,0,10,0.5303547
E,0,0,0.3651797
P,2,10,0.460579
E,2,40,0.5532894
E,0,40,0.5973021
E,0,40,0.3859654
P,0,40,0.515467
P,0,0,0.3363275
E,0,30,0.5748606
E,2,0,0.419088
P,2,10,0.4288874
E,0,30,0.4514085
