Letter,Direction,Eccentricity,Reaction Time (s)
E,0,0,0.4552768
P,2,30,0.4282027
E,2,40,0.3981166
E,0,40,0.3622245
E,0,40,0.4893434
E,2,20,0.2989597
E,0,30,0.4797926
P,2,40,0.2902055
E,2,10,0.39656
P,0,40,0.5383213
E,0,10,0.3677259
E,0,30,0.3702334
E,2,30,0.349877
P,0,10,0.4420209
E,2,20,0.3468532
P,2,10,0.4977515
P,0,20,0.5658785
E,2,30,0.3887481
P,0,20,0.3670923
E,2,20,0.4818467
P,0,0,0.4285949
E,0,10,0.486742
E,2,10,0.3500072
E,2,20,0.3287101
P,2,0,0.3737717
E,2,40,0.4615639
P,2,20,0.4860849
P,0,0,0.428247
E,2,0,0.6035646
P,0,10,0.4020067
P,0,0,0.4154314
P,0,30,0.3334612
E,2,20,0.3411782
P,2,0,0.3035791
E,0,20,0.4046127
E,2,0,0.4170846
P,2,40,0.4148381
P,2,0,0.33453
P,0,30,0.3622412
E,0,40,0.4901454
P,2,40,0.5719499
E,2,10,0.4722085
E,2,40,0.3762038
P,0,0,0.4596163
E,2,10,0.4231415
P,0,20,0.4236131
E,0,40,0.4658791
P,2,20,0.4804761
P,2,10,0.375408
P,0,10,0.3559557
E,0,30,0.4233869
P,0,10,0.4217765
E,2,30,0.5360335
E,2,0,0.376247
E,0,40,0.3760481
P,0,30,0.4075515
E,0,30,0.4124535
E,2,40,0.3481799
P,0,0,0.4126277
E,0,30,0.4932553
P,0,0,0.4966626
P,2,40,0.4628435
E,2,10,0.4325438
E,0,40,0.3838248
P,0,30,0.4523093
P,2,40,0.5373418
E,0,0,0.5121663
P,2,0,0.5106038
P,2,30,0.5171707
E,2,10,0.3727694
E,0,10,0.3933161
P,0,20,0.4574637
E,0,0,0.4337057
P,0,20,0.3820502
E,2,20,0.3233138
P,2,0,0.3699258
P,0,20,0.4627892
P,0,20,0.3168166
E,0,40,0.468736
E,2,0,0.381132
P,2,30,0.4654869
P,0,0,0.4172111
P,2,30,0.5088979
E,2,30,0.3516893
E,2,10,0.4655892
E,2,30,0.3287131
P,0,30,0.4374877
E,0,40,0.5158859
P,0,10,0.4561647
P,2,30,0.493522
P,0,20,0.6215241
P,2,20,0.3480143
P,0,10,0.442624
E,0,20,0.5461297
E,0,10,0.3560454
P,2,10,0.4842685
E,2,0,0.3927357
P,2,20,0.4203217
P,2,40,0.4619511
E,0,40,0.4806321
