Letter,Direction,Eccentricity,Reaction Time (s)
E,0,10,0.29520070899980055
E,2,0,0.3824259999992137
E,2,30,0.4018631250000908
E,2,40,0.3469883329998993
E,0,20,0.33428579200062813
E,0,20,0.2820027090001531
E,2,10,0.32092254200051684
E,0,30,0.3329975420001574
E,0,40,0.32165716600047745
E,2,10,0.3550467499999286
E,0,0,0.37547449999965465
E,2,40,0.36097595900082524
E,2,20,0.326677333000589
E,0,20,0.34484683300070174
E,2,20,0.3381250419997741
E,2,40,0.2925895420003144
E,2,10,0.29661091700018005
E,2,30,0.32545266699980857
E,2,20,0.3297383749995788
E,2,30,0.3371292090005227
E,2,0,0.31505045799985965
E,2,30,0.3411508330000288
E,2,40,0.32941687499987893
E,0,0,0.3084780419994786
E,2,10,0.3113049579997096
E,0,10,0.35797974999968574
E,2,10,0.34343354199972964
E,0,40,0.2842648329997246
E,0,10,0.3185585840001295
E,2,20,0.43262679199960985
E,2,40,0.34794366599999194
E,0,40,0.33352779199958604
E,0,30,0.33083845900000597
E,0,0,0.34914087500055757
E,0,30,0.3106661249994431
E,2,40,0.38881291699999565
E,2,20,0.29743150000012974
E,2,20,0.32245358300042426
E,2,10,0.30368258300040907
E,0,20,0.31849987499936105
E,0,30,0.3441322080007012
E,0,10,0.33771100000012666
E,2,10,0.2385805829999299
E,0,0,0.1918759170002886
E,2,0,0.3139142919999358
E,2,0,0.3382020420003755
E,0,40,0.10542733300007967
E,2,0,0.32016100000055303
E,0,40,0.35546824999983073
E,0,0,0.31898816600005375
E,0,10,0.32379841700003453
E,2,30,0.36036787500052014
E,0,20,0.3855045420004899
E,0,0,0.31983833300000697
E,2,30,0.35433937499965396
E,0,30,0.4938829579996309
E,2,30,0.38612941699921066
E,2,0,0.3623657500002082
E,0,30,0.3181202089999715
E,2,30,0.2970896669994545
E,2,10,0.34874137499991775
E,2,10,0.3367115829996692
E,0,40,0.37511691599956976
E,2,0,0.3722713749994
E,2,40,0.3483334160000595
E,0,20,0.30627479199938534
E,0,0,0.31647741599954315
E,0,20,0.3384744579998369
E,0,20,0.30543741599922214
E,2,0,0.3697679169999901
E,2,20,0.3551679159991181
E,0,0,0.31370033399980457
E,2,10,0.3669010839994371
E,2,20,0.378805375000411
E,0,40,0.36185658399972453
E,0,10,0.33273483399989345
E,0,30,0.3523503330006861
E,0,20,0.40694195899959595
E,0,10,0.3459922909996749
E,2,30,0.35261741599970264
E,0,40,0.3207343750000291
E,2,40,0.36871687500024564
E,0,40,0.16015024999978777
E,2,40,0.31651716599935753
E,0,10,0.35790820799957146
E,0,20,0.37985879200005
E,2,30,0.2726945409995096
E,0,10,0.34228170799997315
E,0,0,0.33531987500009564
E,2,0,0.3608670000003258
E,0,10,0.3504757500004416
E,2,20,0.3559225420003713
E,2,20,0.3311205419995531
E,0,30,0.34907545799978834
E,0,40,0.2629951250000886
E,0,30,0.32548079200023494
E,2,0,0.3260224580008071
E,0,30,0.3307767500000409
E,0,0,0.38936137499968027
E,2,40,0.3658265840003878
