Letter,Direction,Eccentricity,Reaction Time (s)
P,0,0,0.6359162499998092
E,0,30,0.5524935420003203
E,0,40,0.525138541999695
P,0,10,0.5354065420001461
B,2,40,0.5954184160000295
P,0,30,0.6982206249999763
B,0,40,0.5070188750000852
E,2,10,0.5777865410000231
E,0,30,0.6913634999996248
B,2,30,0.5799231249998229
E,0,20,0.5705685000002632
E,0,10,0.6047009159997287
E,2,30,0.551725875000102
B,0,10,0.7131088330002058
P,2,10,0.6540289579997989
P,2,0,0.7517795829999159
B,2,40,0.6893331669998588
P,2,40,0.775393792000159
P,2,20,0.5952084999998988
B,0,20,0.5971077079998395
B,0,40,0.6847712080002566
E,2,40,0.7060206249998373
P,2,0,0.6722010419998696
P,0,0,0.5613676250000026
E,2,0,0.6366710420002164
B,2,0,0.5456229579999672
E,2,40,0.658069708000312
P,0,40,0.6309145830000489
B,2,0,0.5024669169997651
P,0,30,0.6323366669998904
B,0,30,0.49706379100007325
B,2,30,0.6226208329999281
P,2,20,0.5387410409998665
E,0,40,0.5883998749995953
P,0,30,0.6103161660003025
E,0,0,0.6071481660001155
E,2,30,0.5593406250000044
P,0,10,0.7029506670000956
E,0,20,0.4983094170002005
E,2,20,0.593661124999926
B,0,30,0.6196954580000238
P,2,20,0.632529749999776
P,0,20,0.5801856670000234
B,0,30,0.553380708000077
B,0,10,0.534013208000033
P,0,20,0.5634428749999643
P,2,20,0.5214515410002605
B,0,0,0.5451692080000612
B,0,30,0.6926298329999554
B,0,10,0.5198483750000378
B,2,20,0.5199918749999597
P,2,40,0.6484330830003273
B,2,10,0.5961122079997949
B,0,20,0.5181445419998454
B,0,0,0.48826225000038903
P,2,40,0.6471028750002006
E,0,10,0.5170576670002447
B,2,10,0.6285630839997793
P,0,0,0.6772739580001144
P,2,30,0.6102200410005025
P,2,30,0.5239072920003309
P,0,10,0.44842733400037105
E,2,10,0.5907185000005484
E,0,0,0.5358306250000169
E,2,30,0.5833565840002848
E,2,30,0.5064434579999215
E,0,40,0.4881615000003876
B,2,30,0.6160676250001416
E,0,20,0.5199156250000669
P,0,10,0.5355643749999217
E,2,10,0.5006499999999505
E,2,40,0.49480299999959243
B,2,10,0.5975268750007672
B,0,10,0.56118187499942
E,0,40,0.5650201250000464
P,0,40,0.5525679579995995
E,0,0,0.5016145829995367
E,2,0,0.44190079200052423
B,0,40,0.6454005420000613
E,0,20,0.580833416999667
E,0,0,0.46584941699984483
P,2,20,0.5582898749999003
P,0,20,0.5124297499996828
E,2,0,0.43822816600004444
B,2,20,0.823701667000023
B,2,0,0.5308522499999526
P,0,30,0.5796378750001168
P,2,40,0.757197291999546
B,2,10,0.6485729160003757
P,2,20,0.6128429999998843
P,2,10,0.5222455419998369
B,2,40,0.5527737920001528
P,2,0,0.6090857080007481
B,0,20,0.7031206669998937
B,2,0,0.6139310420003312
B,2,10,0.543833583000378
P,0,0,0.5945790830000988
E,2,20,0.5944002079995698
P,0,40,0.782346250000046
P,2,30,0.5527085419998912
