Letter,Direction,Eccentricity,Reaction Time (s)
P,0,30,0.6166315410000607
P,2,10,0.4952172919993245
P,2,10,0.5046298329998535
E,0,20,0.6150532919991747
E,0,20,0.5727257500002452
B,0,10,0.5911925829996107
B,0,20,0.48874570800035144
B,0,30,0.4548783750005896
P,0,40,0.5863955419999911
P,0,0,0.5293004590002965
B,2,30,0.8541236250002839
B,2,30,0.5667855830006374
B,2,40,0.6296018749999348
E,0,40,0.6092280829998344
E,0,10,0.44014345899995533
E,0,0,0.47706620799999655
P,0,20,0.6063679999997476
E,0,40,0.5425526670005638
P,2,30,0.5836141669997232
E,0,30,0.5093203329997777
B,0,40,0.5666281670000899
B,2,30,0.5003790840000875
P,0,0,0.48026595800001814
P,2,20,0.6819898749999993
B,0,0,0.6302072500002396
P,2,20,0.6097884169994359
B,2,30,0.5700630410001395
B,2,40,0.5403327080002782
E,0,30,0.6245814169997175
B,0,0,0.591666040999371
P,0,30,0.6982614999997168
P,2,20,0.6169446249996327
P,2,30,0.6707567909998033
P,0,0,0.5123392080004123
P,2,20,0.5567011659995842
E,2,10,0.5763112919994455
B,2,40,0.6836554999999862
E,0,20,0.5445886249999603
P,2,40,0.6012947910003277
P,2,40,0.5414685839996309
B,2,30,0.6138231659997473
B,0,20,0.5007120000000214
B,2,30,0.5405769170001804
P,2,0,0.6582643749998169
E,2,40,0.6208881659995313
B,0,10,0.6525958750007703
E,2,20,0.5008439160001217
B,2,0,0.513856499999747
E,2,0,0.5187328749998414
E,2,0,0.5206132090006577
E,0,10,0.4509570000000167
E,2,0,0.43833974999961356
E,0,0,0.5099137919996792
E,2,0,0.5221687499997643
B,0,30,0.6418717500000639
E,0,0,0.5246632919997865
E,0,20,0.6226065830005609
P,0,10,0.5942411670002912
E,2,30,0.598736041999473
P,0,30,0.5671032500004003
E,2,40,0.5633418329998676
E,0,0,0.40875224999945203
E,0,20,0.4616632909992404
B,2,10,0.6677382079997187
E,0,0,0.5497588329999417
P,2,10,0.587727874999473
B,2,10,0.5854167080005936
P,0,40,0.5543657080006597
B,0,40,0.6206603330001599
E,0,10,0.4948273749996588
B,2,20,0.5858102920001329
P,0,10,0.594688166999731
B,2,10,0.5654263340002217
E,2,20,0.48523300000033487
B,2,0,0.5758043750001889
P,2,0,0.48666945899913117
P,0,30,0.5983251249999739
P,2,40,0.5532117920001838
B,2,10,0.4737237500003175
E,2,10,0.43102537499999016
E,0,20,0.519887166999979
B,2,10,0.6001470000001063
B,0,30,0.6154532919999838
B,0,10,0.6007939159999296
B,0,40,0.5923430840002766
P,2,30,0.6332309580002402
B,2,20,0.5756100840008003
P,2,40,0.7007888329999332
B,0,40,0.5682151250002789
P,2,20,0.6610928339996462
B,0,30,0.635652625000148
P,0,20,0.6125456670006315
B,0,10,0.6145907079999233
P,0,10,0.6082994170001257
B,2,0,0.5666849170002024
P,0,40,0.6436503330005507
B,0,40,0.6026890409993939
E,2,40,0.6212556250002308
B,2,20,0.4818145419994835
B,2,0,0.5460057500004041
