Letter,Direction,Eccentricity,Reaction Time (s)
P,0,0,0.4750098999356851
P,2,10,0.3440262000076473
E,2,0,0.393158599967137
P,2,30,0.47575829993002117
P,2,20,0.48963470000308007
P,0,40,0.43849369999952614
P,2,20,0.4071325999684632
E,2,0,0.37159609992522746
P,0,10,0.3552736999699846
E,0,30,0.4124795999377966
E,2,10,0.4182479999726638
P,0,20,0.3383847000077367
E,0,20,0.40803119994234294
E,2,20,0.4012974000070244
E,0,40,0.41452970006503165
P,0,30,0.4746747000608593
E,2,30,0.5113138000015169
P,0,30,0.3893477999372408
P,0,20,0.4132183000911027
E,2,30,0.44254439999349415
E,2,30,0.4156144999433309
P,0,30,0.4390329000307247
P,2,0,0.4481312999268994
P,2,20,0.463530300068669
P,0,10,0.3892430999549106
E,0,10,0.4122031999286264
P,2,0,0.4307301000226289
P,0,40,0.4678088000509888
E,0,0,0.4238693000515923
P,2,40,0.42416030005551875
E,0,10,0.41475370002444834
E,0,40,0.48595050000585616
P,2,20,0.34367610001936555
P,0,30,0.4266993999481201
E,0,20,0.4684436999959871
E,0,20,0.4334820000221953
E,0,0,0.42494779999833554
P,0,10,0.37133409990929067
E,0,20,0.4531847999896854
E,2,20,0.3990955000044778
E,2,0,0.4257561999838799
P,2,0,0.39007039996795356
E,2,10,0.41938499989919364
E,2,30,0.37621669995132834
P,0,20,0.3736837999895215
P,2,0,0.4795335999224335
E,0,0,0.41986759996507317
P,0,10,0.33986289997119457
E,2,40,0.37726540002040565
E,2,30,0.43874270003288984
E,0,0,0.3610421000048518
P,2,0,0.35900470009073615
E,0,30,0.4170867999782786
E,2,10,0.3742263000458479
P,0,40,0.41557339997962117
P,0,40,0.4749262999976054
E,2,20,0.3384158000117168
E,0,0,0.3726633000187576
E,0,10,0.4115544999949634
P,0,0,0.39647439995314926
P,0,0,0.41868779994547367
P,2,10,0.4247149999719113
P,2,40,0.4056538000004366
E,0,20,0.4159629999194294
P,2,40,0.3797641999553889
P,2,30,0.44901650003157556
P,2,30,0.48545309994369745
P,2,0,0.4198228999739513
E,2,40,0.5069932999322191
E,0,10,0.4097693000221625
P,0,10,0.4098526000743732
E,2,30,0.442324599949643
P,2,10,0.4074519999558106
P,2,10,0.4067185999592766
E,2,30,0.4707884000381455
E,2,40,0.4654331000056118
E,0,30,0.5374406999908388
P,2,40,0.4190158999990672
E,0,30,0.42947029997594655
E,0,40,0.5037960999179631
P,2,20,0.39582320000045
P,2,10,0.41328179999254644
P,0,20,0.43061690009199083
E,0,0,0.3572810998884961
E,0,0,0.36523130000568926
E,2,40,0.4307433000067249
P,0,40,0.44266980001702905
E,0,10,0.3813104999717325
P,2,20,0.4651413999963552
E,0,20,0.3833353000227362
P,2,40,0.44484100001864135
E,2,10,0.36530120007228106
P,2,0,0.3816320999758318
E,2,10,0.3370509999804199
P,2,40,0.45939390000421554
P,0,30,0.42991429998073727
P,2,20,0.4452375000109896
E,0,40,0.6156420999905095
P,0,30,0.5072223999304697
E,0,40,0.809140499914065
