Letter,Direction,Eccentricity,Reaction Time (s)
E,0,20,0.404140800004825
E,0,40,0.5060692999977618
P,2,0,0.40948889998253435
P,2,30,0.4038263999391347
E,2,40,0.6173984999768436
E,0,0,0.37314500007778406
P,2,0,0.3900844999589026
P,2,0,0.40724499989300966
P,0,30,0.4738463000394404
P,0,30,0.42107019992545247
E,0,30,0.4261302000377327
P,0,20,0.3689455999992788
P,0,40,0.38386109995190054
E,0,10,0.39295790006872267
P,2,10,0.47269409999717027
P,0,20,0.342625500052236
E,2,30,0.3867383999750018
P,2,10,0.3946378000546247
E,2,20,0.32542270002886653
E,2,0,0.3716414999216795
P,2,20,0.38216779998037964
E,2,30,0.40907709999009967
P,2,40,0.4602715999353677
P,2,40,0.6474334999220446
E,2,10,0.43793750007171184
P,0,20,0.3744243000401184
E,2,10,0.41573579993564636
P,0,10,0.4231162000214681
P,0,40,0.47962270001880825
P,0,20,0.38598610006738454
P,2,30,0.46898309991229326
P,0,0,0.41911460005212575
P,2,0,0.4154447999317199
P,0,40,0.3815026000374928
P,0,30,0.2947841000277549
E,2,10,0.40700180002022535
E,0,30,0.48820520006120205
E,0,10,0.39574059995356947
E,2,0,0.39317519997712225
P,0,0,0.4182532000122592
E,0,0,0.3828478999203071
E,2,10,0.4439320999663323
P,0,10,0.35749170009512454
E,2,40,0.4230627999641001
P,2,30,0.45288019999861717
E,2,10,0.4347600999753922
E,0,40,0.51291879999917
E,2,30,0.4224845999851823
E,0,20,0.3865154000231996
E,0,10,0.3983854999532923
E,0,20,0.3664820999838412
E,0,20,0.3999618999660015
P,2,20,0.37066280003637075
E,0,10,0.38156450004316866
E,0,10,0.41086380009073764
P,2,10,0.40205839998088777
E,0,0,0.35950250003952533
E,2,10,0.4829512999858707
P,2,30,0.41162810008972883
P,0,30,0.37677059997804463
P,2,10,0.42869279999285936
E,2,40,0.5202719999942929
P,0,10,0.486134700011462
E,0,10,0.41329649998806417
E,2,0,0.4093783999560401
P,2,20,0.43129879992920905
P,0,0,0.4360033000120893
P,2,0,0.415567500051111
E,2,40,0.43849900003988296
P,0,40,0.4994714999338612
E,2,20,0.44024840008933097
E,2,20,0.4176661000819877
E,2,20,0.43734990002121776
E,0,20,0.43352830002550036
P,2,40,0.5215653999475762
P,0,0,0.5643955999985337
P,0,40,0.44528980005998164
P,2,30,0.5282718000235036
E,0,0,0.466591399977915
E,0,30,0.4968648999929428
P,0,30,0.41519039997365326
P,0,0,0.4098134000087157
P,2,20,0.4040004999842495
E,0,0,0.46353589999489486
P,2,40,0.3893799000652507
P,2,0,0.4537883000448346
P,0,30,0.4461735999211669
E,0,30,0.4264086000621319
E,0,40,0.5863299999618903
P,0,10,0.44078459998127073
E,2,40,0.40797429997473955
E,2,20,0.4373381999321282
E,2,30,0.40939540008548647
P,2,20,0.4710765000199899
E,0,20,0.4272483999375254
E,0,40,0.5992275000317022
E,2,0,0.4279635000275448
E,2,30,0.4823607000289485
E,0,40,0.5497593999607489
E,2,40,0.5405410000821576
