Letter,Direction,Eccentricity,Reaction Time (s)
E,2,40,0.2444557000126224
E,0,0,0.22448450000956655
E,0,40,0.24710080001386814
E,0,20,0.2767517000029329
E,0,20,0.1929816999763716
E,0,10,0.1949612999742385
E,0,30,0.21007599998847581
E,2,20,0.19042259998968802
E,0,30,0.23086789998342283
E,2,40,0.2500763999996707
E,2,30,0.2246183000097517
E,0,30,0.3339174999855459
E,0,0,0.204747599986149
E,0,30,0.23128770000766963
E,2,40,0.23299299998325296
E,2,20,0.23990230000345036
E,2,40,0.21184279999579303
E,2,0,0.3057083000021521
E,2,20,0.2200215000193566
E,2,20,0.22089309999137186
E,0,40,0.172823500004597
E,2,0,0.1907816000166349
E,2,30,0.17080859999987297
E,2,30,0.2455783000041265
E,2,0,0.22382220000145026
E,0,0,0.26088220000383444
E,0,10,0.23012390002259053
E,0,0,0.22431009999127127
E,0,40,0.22070770000573248
E,0,40,0.24191329997847788
E,2,10,0.2281576999812387
E,0,40,0.28005150001263246
E,2,0,0.31243629998061806
E,0,10,0.32649550001951866
E,0,20,0.24013650001143105
E,2,30,0.29364479999640025
E,2,40,0.3271884999994654
E,0,40,0.23171150000416674
E,2,30,0.3211742999847047
E,0,40,0.3680535000166856
E,2,10,0.2624499000085052
E,0,40,0.10170160001143813
E,2,0,0.25733419999596663
E,2,40,0.3396138999960385
E,2,40,0.2875938000215683
E,2,10,0.3043776999984402
E,2,0,0.2722035000042524
E,0,20,0.28666189999785274
E,2,20,0.296712600014871
E,0,20,0.3017550999938976
E,2,30,0.23253130001830868
E,2,10,0.2580401999875903
E,2,0,0.2816996999899857
E,0,10,0.26198460001614876
E,0,30,0.2050885000207927
E,0,30,0.23126309999497607
E,0,10,0.28847239998867735
E,0,0,0.2827548999921419
E,0,0,0.2149403999792412
E,0,30,0.26369120000163093
E,2,30,0.29782730000442825
E,0,20,0.3001625999750104
E,0,20,0.282149800012121
E,2,10,0.27740379999158904
E,0,30,0.28868620001594536
E,2,30,0.3328144999977667
E,0,20,0.23811440001009032
E,0,20,0.1871621000173036
E,0,0,0.3014980000152718
E,2,20,0.27747920001274906
E,2,30,0.22746100000222214
E,0,20,0.2709272999782115
E,2,40,0.19631540001137182
E,2,10,0.21473259999766015
E,2,10,0.28967899997951463
E,0,10,0.3391182000050321
E,2,20,0.22476620000088587
E,2,0,0.3406251999840606
E,0,30,0.31667720002587885
E,2,20,0.3217634000175167
E,0,10,0.27043000000412576
E,2,40,0.31880680000176653
E,0,30,0.25283260000287555
E,0,0,0.2967491999734193
E,2,10,0.24580360000254586
E,0,40,0.26959930002340116
E,2,20,0.2898607999959495
E,2,40,0.25463380001019686
E,0,10,0.2828970999980811
E,2,10,0.27667120000114664
E,2,0,0.22182910001720302
E,2,10,0.2312693000130821
E,0,0,0.3214097000018228
E,0,10,0.30777079999097623
E,0,40,0.2844848999811802
E,2,20,0.22687710000900552
E,0,10,0.3280394999892451
E,0,0,0.30021479999413714
E,2,30,0.3211514000140596
E,2,0,0.21052970000891946
