Letter,Direction,Eccentricity,Reaction Time (s)
E,2,40,0.3048978199949488
E,2,30,0.19885084498673677
E,2,0,0.30704251409042627
E,2,0,0.2078598360531032
E,2,10,0.20866888400632888
E,2,10,0.23478273395448923
E,2,0,0.24761535204015672
E,2,10,0.2508684960193932
E,2,40,0.22974927094765007
E,2,0,0.2424421509495005
E,2,30,0.250667616026476
E,2,30,0.24528588890098035
E,2,30,0.2609530679183081
E,2,40,0.3204516739351675
E,2,0,0.26622396195307374
E,2,20,0.23444654105696827
E,2,10,0.3096094869542867
E,2,20,0.21271800191607326
E,2,0,0.2956429689656943
E,2,40,0.40892600908409804
E,2,40,0.298234537942335
E,2,40,0.24487645796034485
E,2,30,0.2472025010501966
E,2,30,0.2143941830145195
E,2,0,0.34995824098587036
E,2,10,0.3076585080707446
E,2,30,0.259317810065113
E,2,0,0.3654442080296576
E,2,20,0.3054458199767396
E,2,40,0.24757760402280837
E,2,20,0.23378378699999303
E,2,10,0.2754706389969215
E,2,20,0.3971332700457424
E,2,20,0.41344027302693576
E,2,30,0.22354249691125005
E,2,30,0.2353325190488249
E,2,10,0.22497914999257773
E,2,20,0.20864488405641168
E,2,20,0.18966189096681774
E,2,10,0.26975216809660196
E,2,20,0.2795852010603994
E,2,30,0.20913201698567718
E,2,20,0.22199648502282798
E,2,40,0.24529854499269277
E,2,40,0.247866336023435
E,2,40,0.21317109605297446
E,2,0,0.312818642007187
E,2,10,0.23006051999982446
E,2,0,0.23552427696995437
E,2,10,0.2093910420080647
E,0,0,0.22174200706649572
E,0,40,0.22372890391852707
E,0,0,0.24742872396018356
E,0,20,0.04844365594908595
E,0,20,0.30745316098909825
E,0,10,0.2471966699231416
E,0,0,0.2998645680490881
E,0,30,0.22717067401390523
E,0,0,0.25221326609607786
E,0,40,0.2334990220842883
E,0,10,0.24007680092472583
E,0,10,0.2554337939945981
E,0,10,0.2684476289432496
E,0,30,0.2988877649186179
E,0,0,0.21366948599461466
E,0,10,0.23897328996099532
E,0,0,0.24565418902784586
E,0,20,0.22051307803485543
E,0,40,0.342398957000114
E,0,20,0.3038834660546854
E,0,30,0.22133649000898004
E,0,0,0.24548205500468612
E,0,0,0.23885046096984297
E,0,10,0.246059924014844
E,0,20,0.2228004839271307
E,0,20,0.21944168396294117
E,0,40,0.23437196493614465
E,0,20,0.23410324892029166
E,0,40,0.25263532996177673
E,0,30,0.22202216705773026
E,0,0,0.2471080250106752
E,0,10,0.2094905290286988
E,0,30,0.25915012403856963
E,0,10,0.3026149539509788
E,0,10,0.28622730600181967
E,0,20,0.2522708510514349
E,0,0,0.25520946900360286
E,0,30,0.21487939404323697
E,0,40,0.27345411595888436
E,0,30,0.26016206992790103
E,0,20,0.26809457095805556
E,0,10,0.2501279989955947
E,0,30,0.2800961589673534
E,0,40,0.28768762899562716
E,0,30,0.2768960220273584
E,0,40,0.2712691859342158
E,0,40,0.24350673193112016
E,0,30,0.27236226899549365
E,0,40,0.2518888619961217
E,0,20,0.2248316560871899
