Letter,Direction,Eccentricity,Reaction Time (s)
P,2,40,0.5608402289217338
P,2,40,0.48571940197143704
P,2,20,0.39825343096163124
P,2,0,0.44773765397258103
P,2,30,0.3409044520230964
P,2,20,0.372204932034947
P,2,20,0.293422810966149
E,2,0,0.4421808149199933
E,2,20,0.4742916040122509
P,2,40,0.5023025029804558
P,2,30,0.482613216037862
P,2,20,0.3917156179668382
E,2,40,0.48954395402688533
P,2,40,0.643802739912644
E,2,10,0.5026102400152013
P,2,30,0.4440758479759097
P,2,20,0.4405994099797681
E,2,40,0.5474998840363696
P,2,20,0.4000641009770334
P,2,40,0.9936468179803342
P,2,30,0.46083717700093985
P,2,40,0.4790623600129038
P,2,0,0.44086978503037244
P,2,10,0.3495365160051733
P,2,30,0.3671383160399273
P,2,20,0.31460810196585953
E,2,20,0.6338993730023503
P,2,10,0.5026812070282176
P,2,30,0.3852673589717597
P,2,0,0.3429011810803786
E,2,30,0.3600367249455303
P,2,30,0.47534852905664593
P,2,0,0.35174573701806366
P,2,30,0.4126998269930482
P,2,0,0.3389335130341351
E,2,10,0.38738935394212604
P,2,0,0.3141385270282626
P,2,10,0.4367039140779525
P,2,40,0.4409755839733407
E,2,10,0.45022037101443857
P,2,10,0.42064879706595093
P,2,0,0.37051642301958054
P,2,0,0.4193164990283549
E,2,10,0.4868747750297189
E,2,20,0.7202610140666366
P,2,30,0.4844892038963735
P,2,10,0.5248720840318128
P,2,10,0.7960070580011234
E,2,0,0.44670656498055905
E,2,40,0.5812701529357582
E,0,10,0.4464173780288547
E,0,30,0.41935466905124485
E,0,0,0.38985226198565215
P,0,20,0.34725726407486945
P,0,10,0.4974473200272769
P,0,20,0.508238177979365
P,0,40,0.37015016993973404
P,0,40,0.45705176098272204
P,0,30,0.3268176600104198
E,0,30,0.4570795230101794
P,0,10,0.4026665809797123
E,0,20,0.41718623705673963
P,0,30,0.4943714219843969
E,0,30,0.6045681339455768
E,0,0,0.5584943779977039
E,0,20,0.5022652510087937
P,0,10,0.49841487302910537
E,0,0,0.5267251150216907
E,0,10,0.5137299899943173
P,0,0,0.46922358800657094
P,0,10,0.38691347697749734
P,0,10,0.36289348895661533
E,0,10,0.4527198439463973
E,0,20,0.4357449490344152
P,0,20,0.4062867379980162
P,0,0,0.5732852320652455
P,0,30,0.49522090202663094
P,0,10,0.3885044950293377
E,0,40,0.6084414609940723
P,0,0,0.5249908430268988
P,0,30,0.6896418009418994
P,0,20,0.4209439920959994
E,0,0,0.48276348994113505
E,0,40,0.5187695049680769
E,0,40,0.4641369680175558
P,0,40,0.4468740300508216
E,0,40,0.5437240969622508
P,0,40,0.35167678294237703
E,0,0,0.4038543620845303
E,0,30,0.47568817203864455
E,0,20,0.5471711290301755
E,0,10,0.48003617604263127
P,0,30,0.5318906309548765
E,0,20,0.5873326830333099
P,0,20,0.4612272899830714
P,0,40,0.2996174910804257
E,0,30,0.469179873005487
E,0,0,0.39302997500635684
E,0,0,0.39739222603384405
E,0,40,0.5387064500246197
