Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,25,0.3252634
0,0,20,0.093476
0,0,10,0.2012711
0,0,25,0.1681726
0,0,40,0.1837883
0,0,35,0.1229947
0,0,5,0.0530837
0,0,35,0.0136619
0,0,25,0.1343
0,0,0,0.194234
0,0,5,0.2074463
0,0,10,0.2689068
0,0,30,0.1623109
0,0,25,0.2470565
0,0,0,0.2276011
0,0,40,0.2565291
0,0,30,0.2114931
0,0,0,0.1355253
0,0,0,0.2046134
0,0,10,0.1342227
0,0,0,0.0714071
0,0,15,0.3782746
0,0,40,0.2267007
0,0,30,0.068218
0,0,0,0.2173495
0,0,40,0.0415511
0,0,30,0.2661901
0,0,15,0.1420786
0,0,15,0.2701565
0,0,30,0.2698219
0,0,40,0.2567364
0,0,5,0.168824
0,0,20,0.1337542
0,0,35,0.2478836
0,0,40,0.3329225
0,0,10,0.2444048
0,0,40,0.2398787
0,0,25,0.2353557
0,0,15,0.2113078
0,0,30,0.3629092
0,0,35,0.2614758
0,0,5,0.2800108
0,0,20,0.2233635
0,0,40,0.1312462
0,0,0,0.1250208
0,0,35,0.2005408
0,0,5,0.0522232
0,0,30,0.1890193
0,0,15,0.0633558
0,0,40,0.4459083
0,0,30,0.1933331
0,0,25,0.2762441
0,0,10,0.2156722
0,0,25,0.1564893
0,0,40,0.0717646
0,0,35,0.2633859
0,0,30,0.23997
0,0,0,0.2124576
0,0,5,0.2684064
0,0,35,0.1669302
0,0,30,0.2425599
0,0,5,0.2287667
0,0,35,0.221877
0,0,10,0.2341184
0,0,15,0.2447802
0,0,15,0.543168
0,0,25,0.708526
0,0,10,0.1683958
0,0,5,0.1549937
0,0,20,0.4033001
0,0,35,0.2351304
0,0,5,0.2572988
0,0,20,0.240811
0,0,15,0.0037761
0,0,25,0.0592884
0,0,20,0.2041396
0,0,15,0.3249145
0,0,10,0.2094763
0,0,5,0.6858276
0,0,15,0.2155027
0,0,10,0.0607712
0,0,20,0.1152661
0,0,0,0.2456328
0,0,35,0.2142361
0,0,20,0.142612
0,0,20,0.2991654
0,0,0,0.1917612
0,0,20,0.2384791
0,0,25,0.0118963
0,0,10,0.3216016
0,2,25,0.2067894
0,2,15,0.1055389
0,2,15,0.1421114
0,2,35,0.4066372
0,2,20,0.20696
0,2,15,0.213201
0,2,20,0.2306027
0,2,15,0.0598241
0,2,20,0.1043766
0,2,40,0.3870453
0,2,40,0.1412277
0,2,25,0.2344208
0,2,30,0.150578
0,2,15,0.1118907
0,2,35,0.2413248
0,2,30,0.1993378
0,2,30,0.2250973
0,2,25,0.1670378
0,2,5,0.1403261
0,2,25,0.2273263
0,2,30,0.2536461
0,2,15,0.1642884
0,2,10,0.6224286
0,2,25,0.2762624
0,2,0,0.235563
0,2,10,0.1838994
0,2,40,0.2965902
0,2,35,0.0638735
0,2,10,0.2994211
0,2,30,0.1482366
0,2,35,0.2431541
0,2,35,0.1251373
0,2,30,0.29365
0,2,5,0.0727342
0,2,35,0.228719
0,2,10,0.4750567
0,2,10,0.3103666
0,2,10,0.2238615
0,2,0,0.1407345
0,2,5,0.2566037
0,2,15,0.2295717
0,2,20,0.2290646
0,2,10,0.2169181
0,2,0,0.0774941
0,2,25,0.0528629
0,2,5,0.074528
0,2,10,0.2966723
0,2,40,0.5103031
0,2,35,0.2753385
0,2,30,0.2299383
0,2,20,0.0870712
0,2,35,0.3244435
0,2,40,0.1122262
0,2,10,0.3158983
0,2,20,0.2881973
0,2,35,0.2472935
0,2,20,0.2735327
0,2,0,0.1959807
0,2,5,0.4258094
0,2,30,0.2582062
0,2,5,0.1919109
0,2,10,0.2126836
0,2,20,0.1477788
0,2,5,0.245148
0,2,0,0.1664903
0,2,15,0.1944239
0,2,5,0.2479702
0,2,20,0.2771453
0,2,0,0.0391877
0,2,40,0.0395641
0,2,25,0.2954342
0,2,0,0.0799615
0,2,5,0.2830195
0,2,30,0.2983084
0,2,40,0.2383913
0,2,20,0.2504131
0,2,40,0.2489398
0,2,25,0.3101376
0,2,15,0.2360442
0,2,0,0.2112963
0,2,0,0.4362654
0,2,25,0.5419726
0,2,35,0.028332
0,2,15,0.1150996
0,2,30,0.2199313
0,2,5,0.377484
0,2,40,0.3483773
0,2,40,0.1462141
0,2,0,0.3614177
0,2,25,0.1012982
