Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,15,0.3561542
0,0,10,0.2168522
0,0,20,0.2175942
0,0,30,0.2378482
0,0,5,0.2160545
0,0,5,0.2103703
0,0,10,0.4564284
0,0,15,0.2300692
0,0,0,0.2386813
0,0,40,0.2880618
0,0,15,0.2186973
0,0,10,0.1924847
0,0,20,0.2445583
0,0,0,0.1630239
0,0,25,0.0609897
0,0,40,0.2007592
0,0,35,0.2274729
0,0,30,0.2322507
0,0,30,0.1520256
0,0,40,0.2499857
0,0,35,0.2306735
0,0,35,0.2333323
0,0,40,0.2365998
0,0,5,0.3263399
0,0,40,0.2549856
0,0,35,0.1020801
0,0,30,0.2842836
0,0,15,0.2278994
0,0,5,0.1846516
0,0,5,0.1052666
0,0,10,0.0352027
0,0,30,0.2431657
0,0,35,0.2522631
0,0,5,0.2049884
0,0,25,0.2610255
0,0,30,0.2673314
0,0,20,0.0701695
0,0,30,0.3418487
0,0,35,0.1915303
0,0,15,0.2327902
0,0,25,0.2194349
0,0,35,0.2861695
0,0,35,0.2344709
0,0,20,0.2399664
0,0,10,0.2195904
0,0,10,0.2739094
0,0,20,0.2772286
0,0,10,0.1454765
0,0,30,0.1073962
0,0,0,0.2320015
0,0,5,0.2406441
0,0,40,0.2639032
0,0,30,0.2662561
0,0,0,0.2100934
0,0,5,0.07243
0,0,0,0.1629009
0,0,30,0.2310157
0,0,0,0.1795743
0,0,0,0.2678153
0,0,15,0.2203966
0,0,25,0.2421651
0,0,25,0.264876
0,0,25,0.1542606
0,0,20,0.2745035
0,0,40,0.2243543
0,0,35,0.0256079
0,0,15,0.0103817
0,0,25,0.1847859
0,0,20,0.1263076
0,0,20,0.2497787
0,0,0,0.2207229
0,0,20,0.202098
0,0,20,0.2281345
0,0,0,0.2668658
0,0,40,0.3073063
0,0,10,0.1833464
0,0,40,0.2038119
0,0,10,0.0217982
0,0,15,0.2662378
0,0,25,0.2569474
0,0,25,0.1469108
0,0,5,0.172959
0,0,10,0.2511152
0,0,15,0.219638
0,0,5,0.102676
0,0,0,0.1054321
0,0,40,0.2874317
0,0,35,0.2013796
0,0,15,0.0181652
0,0,25,0.2304393
0,2,30,0.2009008
0,2,20,0.069793
0,2,40,0.0116121
0,2,30,0.196239
0,2,25,0.0507538
0,2,30,0.1722187
0,2,40,0.2290565
0,2,0,0.3993438
0,2,20,0.1038411
0,2,20,0.1145419
0,2,35,0.1518078
0,2,15,0.191491
0,2,15,0.148712
0,2,0,0.4464291
0,2,20,0.1993742
0,2,25,0.2401195
0,2,5,0.2699636
0,2,10,0.2524196
0,2,40,0.3114322
0,2,0,0.1638885
0,2,0,0.208097
0,2,35,0.2403254
0,2,30,0.2023904
0,2,40,0.1048209
0,2,5,0.1167903
0,2,5,0.3047653
0,2,20,0.5562649
0,2,40,0.0362757
0,2,40,0.2751561
0,2,15,0.0797071
0,2,5,0.2052641
0,2,35,0.3124937
0,2,35,0.1987626
0,2,30,0.244383
0,2,20,0.3399312
0,2,10,0.0234692
0,2,20,0.2890915
0,2,35,0.0174046
0,2,10,0.2067283
0,2,30,0.1111528
0,2,40,0.6269128
0,2,15,0.2024261
0,2,20,0.1785409
0,2,25,0.2348229
0,2,35,0.2997801
0,2,10,0.2229982
0,2,35,0.2829911
0,2,0,0.2276554
0,2,40,0.0961323
0,2,10,0.1318669
0,2,20,0.1214136
0,2,15,0.2200722
0,2,40,0.2161193
0,2,35,0.1191058
0,2,25,0.1637065
0,2,15,0.1168203
0,2,10,0.0755851
0,2,0,0.2929459
0,2,0,0.2062991
0,2,10,0.0880644
0,2,5,0.354227
0,2,5,0.0297128
0,2,30,0.3193449
0,2,5,0.4165011
0,2,10,0.1796765
0,2,25,0.2405062
0,2,25,0.2511988
0,2,15,0.0587469
0,2,15,0.0502364
0,2,0,0.272314
0,2,30,0.4315547
0,2,30,0.2488756
0,2,30,0.0774481
0,2,5,0.3401388
0,2,15,0.0150298
0,2,5,0.0785429
0,2,35,0.1300785
0,2,25,0.2812752
0,2,5,0.2757465
0,2,15,0.1826035
0,2,25,0.2460595
0,2,40,0.2427076
0,2,10,0.1839086
0,2,0,0.3191768
0,2,0,0.3154189
0,2,25,0.1369132
0,2,25,0.2616224
0,2,10,0.3624726
0,2,35,0.176023
0,2,20,0.5432657
