Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,0,0.3938138
90,0,10,0.4200774
90,0,5,0.372325
90,0,30,0.4415354
90,0,30,0.3849805
90,0,25,0.3948396
0,0,10,0.38351
90,0,0,0.5543233
0,0,15,0.4045293
0,0,20,0.4314202
0,0,20,0.4765496
0,0,10,0.3800476
0,0,15,0.4079305
90,0,35,0.4505398
90,0,30,0.4417746
90,0,20,0.4908855
90,0,40,0.4917716
0,0,10,0.4117769
0,0,5,0.5201911
0,0,30,0.4538988
0,0,15,0.4133469
0,0,10,0.4111139
90,0,0,0.390571
90,0,25,0.5912983
0,0,15,0.4169793
0,0,30,0.4909003
90,0,30,0.4041967
0,0,30,0.4658989
0,0,10,0.3703556
0,0,35,0.4108633
0,0,15,0.3476133
90,0,20,0.4226088
0,0,0,0.4070967
90,0,25,0.4066834
90,0,40,0.5419656
0,0,40,0.4814906
0,0,25,0.5290849
0,0,15,0.4597485
90,0,5,0.4150428
90,0,0,0.3875269
90,0,35,0.4926205
90,0,5,0.3918269
90,0,25,0.4694091
0,0,25,0.4380882
0,0,35,0.4712517
0,0,10,0.4803174
90,0,10,0.6238515
90,0,20,0.3965183
90,0,30,0.4875539
0,0,25,0.4133149
0,0,25,0.399325
0,0,0,0.4054248
90,0,40,0.5285808
90,0,35,0.5387195
90,0,15,0.4257365
0,0,40,0.5875127
90,0,35,0.4735865
90,0,30,0.4564354
0,0,5,0.4001263
90,0,5,0.3966489
0,0,35,0.4473528
90,0,5,0.3839972
90,0,5,0.4159516
0,0,35,0.3918257
90,0,30,0.4316916
0,0,20,0.4610184
90,0,20,0.4729897
0,0,5,0.4210563
90,0,25,0.5473035
0,0,15,0.3567877
0,0,40,0.45308
90,0,35,0.4823757
0,0,10,0.3964385
0,0,5,0.4102645
0,0,40,0.4799933
0,0,15,0.409267
90,0,40,0.4699246
0,0,40,0.5232638
90,0,0,0.4436942
90,0,10,0.4284989
90,0,40,0.4896031
90,0,0,0.417351
90,0,20,0.4615198
0,0,15,0.4847015
0,0,0,0.4264966
90,0,0,0.3957061
0,0,20,0.4325029
0,0,25,0.3795944
0,0,35,0.442434
90,0,20,0.4166107
0,2,10,0.3818922
90,2,30,0.3481797
90,2,20,0.3759964
90,2,5,0.354034
90,2,5,0.4437484
90,2,0,0.3734229
0,2,40,1.2363933
0,2,40,0.6172665
90,2,10,0.4259386
90,2,0,0.3295833
90,2,25,0.4765371
0,2,35,0.4875238
90,2,10,0.3528723
0,2,20,0.4178089
90,2,15,0.435829
0,2,0,0.4532591
0,2,10,0.448611
0,2,30,0.3915593
90,2,30,0.4979505
90,2,40,0.5836736
90,2,15,0.4270686
0,2,20,0.4495842
90,2,10,0.4217435
90,2,0,0.3935131
90,2,35,0.4354637
90,2,40,0.4372802
0,2,30,0.4454957
90,2,35,0.534804
90,2,10,0.3634146
90,2,5,0.3657275
0,2,25,0.3550132
0,2,20,0.5599373
0,2,0,0.4107587
0,2,20,0.4782898
0,2,15,0.434141
0,2,30,0.4274138
0,2,40,0.4594863
0,2,10,0.4574849
90,2,0,0.4241568
90,2,10,0.4989836
0,2,20,0.5137142
0,2,35,0.47689
90,2,20,0.426288
90,2,5,0.4120386
90,2,5,0.4093658
0,2,0,0.4620433
90,2,20,0.5186296
90,2,5,0.3773733
0,2,10,0.5518606
0,2,40,1.0057698
0,2,10,0.477905
90,2,20,0.4377637
0,2,30,0.4314912
0,2,5,0.422011
90,2,15,0.4315178
90,2,0,0.4385294
0,2,25,0.4252773
90,2,25,0.4367581
0,2,25,0.3624105
90,2,5,0.4303077
90,2,30,0.4866517
0,2,35,0.4275941
0,2,20,0.4391472
0,2,5,0.3471336
0,2,30,0.4350014
0,2,35,0.3954502
90,2,40,0.4621429
0,2,25,0.41477
90,2,35,0.4411366
0,2,15,0.4192815
90,2,35,0.4453833
90,2,35,0.4727268
0,2,15,0.3563594
90,2,0,0.4093326
0,2,30,0.4637261
90,2,35,0.5294678
0,2,25,0.445464
0,2,40,0.6395259
0,2,0,0.3967888
90,2,40,0.5854819
90,2,30,0.4392361
90,2,5,0.470252
0,2,15,0.3711753
0,2,40,0.6459225
0,2,25,0.4770061
0,2,25,0.4989129
90,2,15,0.4300171
90,2,15,0.4906852
0,2,25,0.3942021
90,2,15,0.5038284
