Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,30,0.375637
0,2,25,0.25887542
0,2,35,0.068532746
0,2,5,0.207387299
0,0,5,0.429783854
0,2,30,0.240985074
0,2,0,0.244426911
0,2,40,0.180666837
0,2,10,0.11963333
0,2,10,0.228026364
0,2,15,0.044277389
0,0,5,0.120190471
0,2,5,0.189889371
0,2,30,0.083538806
0,0,10,0.362120361
0,0,10,0.131898625
0,2,0,0.267782059
0,2,30,0.190653475
0,0,20,0.193722433
0,0,15,0.127321125
0,2,0,0.015474621
0,0,30,0.221483398
0,0,15,0.216635555
0,2,25,0.21778081
0,0,0,0.254732464
0,2,0,0.208568336
0,0,0,0.025098816
0,0,0,0.07275393
0,0,25,0.120298159
0,0,25,0.243119802
0,2,5,0.22367677
0,2,15,0.109906488
0,0,15,0.287826498
0,2,25,0.019931415
0,0,30,0.228256047
0,0,20,0.390337644
0,0,0,0.188261149
0,0,40,0.019702833
0,0,35,0.240512086
0,2,35,0.082919877
0,0,5,0.113797215
0,0,20,0.411361644
0,2,15,0.244274429
0,2,40,0.203953317
0,0,5,0.265400712
0,0,10,0.226401349
0,0,25,0.317823977
0,0,20,0.277003622
0,0,10,0.178056268
0,2,25,0.22445634
0,2,15,0.087642208
0,0,5,0.233868509
0,0,20,0.219743724
0,0,35,0.272968078
0,0,40,0.193492629
0,2,10,0.097730354
0,2,30,0.413937895
0,0,40,0.224539368
0,0,30,0.118792079
0,0,35,0.23839952
0,2,10,0.085808648
0,0,10,0.046090215
0,0,10,0.281924189
0,0,10,0.238081555
0,0,10,0.040765975
0,0,15,0.135576743
0,0,35,0.292964054
0,2,40,0.245489289
0,2,5,0.24391345
0,0,0,0.249248232
0,0,25,0.222827488
0,2,5,0.135280383
0,0,15,0.26320349
0,0,0,0.228990251
0,2,35,0.267129296
0,2,5,0.146327366
0,0,15,0.221829487
0,2,20,0.338159001
0,2,35,0.258608976
0,0,30,0.233216839
0,0,20,0.28988685
0,0,25,0.167519214
0,0,5,0.212338913
0,0,5,0.247955901
0,0,0,0.086869263
0,0,5,0.066303205
0,2,30,0.180697816
0,2,20,0.295566699
0,2,15,0.291617424
0,0,40,0.233891547
0,0,15,0.15281781
0,0,40,0.019871507
0,0,15,0.232043147
0,2,0,0.149186044
0,2,20,0.024475285
0,2,25,0.058784424
0,2,25,0.344319821
0,2,40,0.157208866
0,0,35,0.212783057
0,2,10,0.23932397
0,0,20,0.212364064
0,2,35,0.075485608
0,2,40,0.088348522
0,0,15,0.223749993
0,2,25,0.197490869
0,0,20,0.373961712
0,2,40,0.097693878
0,2,0,0.214934296
0,0,35,0.033127027
0,2,15,0.187859575
0,0,20,0.13041927
0,0,40,0.533119327
0,2,20,0.217191636
0,0,25,0.218660189
0,0,40,0.190778487
0,0,25,0.319756101
0,2,10,0.214236431
0,2,40,0.268954443
0,2,30,0.281344549
0,2,10,0.011641507
0,2,25,0.241459206
0,2,20,0.241252772
0,0,30,0.27356114
0,0,30,0.063971927
0,2,35,0.175595507
0,0,25,0.07332244
0,0,40,0.233192998
0,0,10,0.103468957
0,2,35,0.246126572
0,0,35,0.091080888
0,0,10,0.259590501
0,0,5,0.236360474
0,0,20,0.215412889
0,0,35,0.431017197
0,2,15,0.304112135
0,2,25,0.161629104
0,0,35,0.327195173
0,0,30,0.327798724
0,2,20,0.361703025
0,0,40,0.209483463
0,0,0,0.278035598
0,2,40,0.252011185
0,0,25,0.115609186
0,2,20,0.109500995
0,2,35,0.184353133
0,2,10,0.316439049
0,2,5,0.228127366
0,2,5,0.12925083
0,0,0,0.401422182
0,2,20,0.228927801
0,2,0,0.116189904
0,2,0,0.25294244
0,2,10,0.114393961
0,0,5,0.168207495
0,0,15,0.326507236
0,2,25,0.008394723
0,2,30,0.289052659
0,2,5,0.266128442
0,2,15,0.229158323
0,2,20,0.215234124
0,2,5,0.206064883
0,2,0,0.232023866
0,2,40,0.239477908
0,2,40,0.274869418
0,2,15,0.237934718
0,2,0,0.208332794
0,2,30,0.091200812
0,2,15,0.166309089
0,0,35,0.146250353
0,2,10,0.058201008
0,0,25,0.33746523
0,2,35,0.250478712
0,2,30,0.475972214
0,0,30,0.421301
0,0,40,0.18851587
0,2,20,0.258273892
0,0,0,0.245187999
0,2,30,0.241996342
0,0,30,0.363784253
0,2,35,0.301365123
