Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,10,0.342357989
0,2,5,0.017389381
0,0,25,0.126469445
0,2,15,0.246417491
0,0,30,0.255197438
0,0,0,0.005120523
0,2,30,0.161988192
0,0,40,0.24425665
0,0,40,0.350627931
0,0,35,0.289558982
0,2,35,0.242035269
0,2,20,0.226923515
0,2,0,0.227103732
0,2,5,0.200206799
0,0,20,0.011797657
0,2,40,0.195929827
0,0,15,0.330879676
0,2,0,0.228217766
0,0,30,0.165138455
0,0,10,0.235792486
0,0,25,0.285903034
0,2,35,0.304445287
0,0,0,0.262011215
0,0,20,0.338135642
0,0,10,0.186837267
0,0,15,0.12241928
0,2,25,0.018594506
0,2,35,0.220354153
0,2,30,0.12941979
0,2,5,0.23961534
0,2,40,0.09960743
0,0,20,0.087823677
0,2,35,0.153699281
0,2,15,0.297791917
0,2,35,0.130680222
0,0,5,0.266263216
0,0,35,0.226152745
0,2,30,0.259588994
0,0,0,0.138624349
0,2,20,0.249828545
0,0,40,0.22595096
0,0,35,0.100727583
0,0,0,0.260362748
0,2,25,0.348365949
0,2,15,0.177597825
0,2,40,0.04139312
0,2,35,0.176815197
0,0,20,0.207938702
0,2,10,0.273391539
0,0,20,0.125945176
0,2,5,0.284296808
0,2,10,0.273392435
0,2,5,0.259589252
0,0,35,0.239951622
0,0,30,0.065290848
0,2,30,0.094064483
0,0,30,0.266937131
0,2,15,0.017752697
0,0,0,0.265086951
0,0,5,0.363048247
0,2,25,0.248074733
0,0,30,0.156215449
0,0,0,0.242004515
0,2,15,0.379440573
0,2,0,0.166374844
0,2,40,0.187638479
0,2,0,0.313875994
0,0,10,0.330167795
0,0,20,0.373405718
0,0,35,0.088197518
0,0,20,0.366962926
0,2,40,0.281906167
0,0,30,0.070957556
0,2,5,0.229016007
0,2,40,0.345856772
0,0,15,0.099714601
0,0,30,0.385158069
0,0,10,0.281663678
0,2,40,0.266883731
0,0,15,0.151067107
0,2,20,0.27934463
0,0,10,0.115517625
0,2,10,0.275669002
0,0,40,0.293746269
0,0,25,0.357734584
0,2,0,0.095120157
0,2,10,0.254316869
0,2,20,0.338748949
0,2,25,0.249158132
0,0,25,0.073230027
0,0,35,0.294294898
0,2,0,0.158969284
0,0,40,0.303922797
0,0,5,0.225274752
0,0,20,0.140703566
0,0,5,0.211290411
0,2,30,0.17147707
0,2,30,0.38950834
0,0,35,0.271307829
0,2,10,0.164811846
0,0,0,0.087795675
0,2,0,0.290669584
0,0,15,0.242073099
0,0,15,0.234559257
0,2,40,0.271033867
0,2,15,0.138439157
0,0,5,0.264348076
0,0,5,0.208588937
0,0,40,0.25757356
0,2,10,0.191005423
0,2,25,0.225095065
0,0,25,0.255412506
0,0,0,0.208327801
0,0,5,0.228501356
0,0,25,0.242606502
0,2,20,0.023358985
0,2,5,0.228007736
0,2,15,0.134471477
0,0,25,0.159882784
0,0,10,0.32906999
0,0,15,0.234714979
0,2,35,0.363192923
0,2,30,0.243960648
0,0,5,0.25828046
0,2,20,0.24312936
0,2,20,0.108183207
0,0,5,0.232170154
0,0,25,0.189498009
0,0,25,0.075252832
0,0,30,0.269451016
0,2,10,0.198864989
0,2,5,0.209191685
0,2,15,0.476442234
0,2,25,0.142746841
0,2,35,0.22799376
0,2,20,0.094520566
0,2,25,0.121785022
0,2,25,0.232108019
0,0,40,0.380961702
0,0,20,0.14833378
0,0,15,0.205418127
0,0,0,0.119755439
0,0,25,0.369080871
0,2,5,0.267838296
0,2,40,0.209667172
0,2,15,0.224059387
0,2,30,0.369630184
0,0,30,0.272740787
0,0,30,0.258239486
0,0,40,0.06807094
0,0,10,0.275076764
0,0,15,0.145788583
0,0,10,0.261591869
0,2,20,0.288010995
0,2,10,0.235003418
0,0,10,0.115620809
0,2,0,0.24657348
0,2,25,0.070825277
0,2,10,0.229996894
0,2,30,0.233188475
0,0,20,0.250069683
0,2,0,0.251247237
0,0,35,0.21365312
0,0,35,0.276632927
0,0,5,0.267916247
0,2,35,0.177237295
0,2,0,0.170474073
0,0,15,0.281466012
0,2,10,0.237947457
0,2,40,0.228221289
0,0,40,0.243263533
0,2,35,0.278601089
0,2,30,0.197975906
0,2,25,0.265268372
0,0,35,0.233739698
0,0,0,0.235083126
0,2,20,0.210575201
0,2,5,0.143114146
0,2,15,0.211002031
0,0,40,0.113648674
