Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,2,10,0.494496236
90,2,40,0.504198742
90,0,25,0.530213797
0,2,0,0.456294874
90,2,0,0.435290033
45,2,15,0.654298932
45,2,30,0.554529362
0,0,40,0.640855997
45,0,25,0.627725801
0,2,25,0.592857505
45,2,40,0.580846565
45,0,0,0.530760903
90,2,0,0.627801587
0,0,25,0.574746611
0,2,15,0.486361866
0,0,30,0.545754315
90,2,35,0.523323619
90,2,40,0.519553638
45,2,25,0.527491624
0,2,35,0.666925238
90,2,30,0.474002741
45,0,5,0.694318288
45,2,0,0.61463581
45,2,25,0.490710065
90,2,10,0.52544258
90,0,20,0.49113806
0,0,35,0.547179265
90,0,25,0.48957886
45,2,10,0.810788699
90,0,35,0.439746111
0,0,20,0.5568037
0,2,15,0.440121539
90,0,30,0.567672964
45,2,40,0.537168477
90,2,25,0.429677551
0,0,10,0.722577705
45,0,10,0.63998301
90,0,15,0.607388004
0,2,35,0.609761049
90,2,5,0.43494243
45,2,15,0.535897664
90,0,40,0.496594211
0,0,0,0.460944899
0,2,10,0.403850006
45,2,30,0.607328944
45,2,15,0.411727962
0,2,5,0.992615761
90,0,20,0.485495664
45,2,30,0.537976563
0,0,35,0.816744721
45,0,35,0.471813332
45,0,5,0.421961351
90,0,40,0.584447018
90,0,10,0.426945308
0,2,25,0.397082006
90,0,20,0.450432361
90,0,35,0.452898232
90,2,25,0.410136743
90,2,35,0.487780117
90,0,10,0.365410414
45,2,35,0.665083649
0,0,35,0.611998235
0,2,0,0.403818074
90,0,5,0.447160852
90,2,25,0.467975172
90,0,5,0.430924631
45,0,25,0.648980893
90,2,25,0.498730516
90,0,35,0.501645523
90,2,20,0.424688992
90,2,30,0.40847062
90,2,20,0.493182799
90,2,30,0.457116092
45,2,15,0.549857934
0,0,0,0.583034686
90,2,30,0.489257322
90,0,40,0.508364625
45,0,0,0.434064783
90,2,5,0.452294879
45,0,35,0.648472767
0,0,30,0.562999118
45,2,5,0.756941027
90,2,10,0.404129949
90,0,5,0.521998655
45,0,25,0.513834462
0,0,30,0.539675959
0,0,30,0.501363396
45,0,20,0.679795682
45,2,15,0.554217125
0,2,5,0.505039942
45,0,30,0.541771447
90,0,40,0.528647101
90,2,0,0.497065288
0,0,40,0.591997156
45,0,25,0.562166517
90,0,0,0.510140049
45,0,10,0.37918282
0,0,20,0.724816144
0,2,30,0.667713347
45,2,0,0.471242053
45,2,5,0.50051654
45,2,10,0.564424207
0,2,0,0.504689498
90,2,5,0.510936918
0,2,5,0.490262524
45,0,40,0.530041546
0,2,20,0.545288964
45,0,15,0.625478535
90,2,40,0.600376661
45,0,0,0.604432994
0,2,10,0.569167431
0,0,15,0.490175872
90,2,35,0.555816203
0,2,40,0.56178365
90,0,20,0.527232338
0,0,40,0.576960018
90,2,25,0.471129525
0,0,5,0.455744428
90,0,10,0.415668625
90,2,20,0.476736444
45,2,35,0.562706867
45,0,10,0.668096721
0,0,25,0.555612033
45,0,40,0.653718936
45,2,10,0.610443481
45,0,5,0.604759893
0,2,15,0.572558375
0,0,15,0.464436147
90,2,20,0.457844473
45,2,20,0.558290182
45,2,0,0.455220373
45,2,40,0.534365001
90,2,20,0.487521681
90,0,20,0.447429322
0,0,0,0.487275299
0,2,20,0.49848758
90,2,10,0.474592439
45,0,5,0.658413443
0,0,0,0.532671127
45,0,25,0.665360411
90,0,15,0.465902369
90,2,40,0.526497946
90,2,15,0.434332773
45,0,5,0.698141261
0,2,30,0.61297063
90,2,25,0.529777967
45,0,15,0.484977023
90,2,0,0.44766939
90,0,5,0.429228295
45,0,15,0.48040791
0,2,30,0.518900784
0,0,40,0.50665682
45,0,35,0.591615776
90,2,10,0.520060238
90,0,20,0.513911278
0,2,20,0.526678876
90,0,30,0.548801683
0,2,15,0.472968092
45,0,30,0.568294033
0,0,35,0.591716402
0,0,10,0.450222414
0,0,15,0.46754718
90,0,20,0.405537491
45,0,15,0.371350606
45,0,30,0.746309411
0,2,5,0.65781922
90,2,35,0.558001076
0,0,30,0.550817429
90,2,40,0.534428362
45,0,0,0.44742661
45,0,15,0.586862963
90,0,0,0.530447636
0,2,35,0.50606951
90,0,10,0.579038771
45,2,35,0.59022492
0,2,40,0.688915529
45,2,5,0.538588625
0,0,25,0.570295778
45,2,20,0.55727794
45,0,10,0.519665555
