Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,0,10,0.450805672
90,2,25,0.496363514
90,2,35,0.548552882
90,2,25,0.447255839
90,2,15,0.546882915
0,2,10,0.543676214
0,0,0,0.456958099
0,2,40,0.796816265
90,0,0,0.5709597
90,2,30,0.663489286
90,0,15,0.516720255
90,2,35,0.553039093
90,0,20,0.588705508
0,2,25,0.725216508
0,2,25,0.623719396
90,0,35,0.646193096
90,0,25,0.45291983
0,0,10,0.568259952
90,2,0,0.426091164
90,0,10,0.423650501
90,2,20,0.528087675
0,2,40,0.629186216
90,0,40,0.535597873
90,0,10,0.455361892
90,2,0,0.441165224
0,2,40,0.60971933
90,0,20,0.741653872
90,0,0,0.344584151
0,2,40,0.54303562
90,2,25,0.468805802
90,2,0,0.525520897
90,0,20,0.502605805
90,0,5,0.320612078
0,0,15,0.47592447
90,2,0,0.519445869
90,2,15,0.608831562
0,2,0,0.584433097
0,2,35,0.510892175
90,2,5,0.44670777
0,2,25,0.437192472
0,2,5,0.448288889
0,2,10,0.35793997
90,0,25,0.596934887
90,0,35,0.545994218
90,0,10,0.37298389
90,0,30,0.402357699
90,2,15,0.686453142
0,2,35,0.551309401
90,0,20,0.493485438
90,0,15,0.435744647
90,2,30,0.442025273
0,2,10,0.423698923
90,0,0,0.360846513
0,0,40,0.418448018
0,0,40,0.457047279
0,2,15,0.333196437
90,0,30,0.304739445
0,0,20,0.45847963
0,2,35,0.38672677
0,2,35,0.525078125
90,0,25,0.573518661
90,0,10,0.438880991
90,0,10,0.381145878
0,0,25,0.451977433
0,2,5,0.431043996
90,2,10,0.444841702
90,2,30,0.395821003
90,2,35,0.482882778
90,2,35,0.421219664
90,2,30,0.389013215
90,2,20,0.311826891
90,0,20,0.402068438
0,0,25,0.473627619
0,2,35,0.533365705
90,0,35,0.437433488
90,0,40,0.427130485
0,2,10,0.440312304
90,0,25,0.316174558
0,2,5,0.452998714
90,0,5,0.407083269
90,2,0,0.412223904
90,0,0,0.273437227
0,2,30,0.36111151
0,2,0,0.472304663
0,0,15,0.368371959
90,2,5,0.436889811
90,0,40,0.441641223
90,2,15,0.365767602
0,2,0,0.273067198
0,2,40,0.455094614
90,2,15,0.427704503
0,0,20,0.435543328
0,0,15,0.476881442
90,2,40,0.416783838
90,0,35,0.408535275
90,2,30,0.377150011
90,0,30,0.377647693
0,0,25,0.418041045
90,2,15,0.371689915
90,0,35,0.370921649
0,2,0,0.397339241
90,0,15,0.338392305
0,2,15,0.52015858
0,0,5,0.476991746
0,2,20,0.439653005
0,2,5,0.417094165
0,0,0,0.337600057
0,0,30,0.433257966
0,2,5,0.58158361
0,0,30,0.619158174
90,2,5,0.48716564
0,0,15,0.503406849
0,0,35,0.372819106
0,0,5,0.602701845
90,2,20,0.453336937
90,2,40,0.427841092
90,2,25,0.408805379
90,0,30,0.365325792
90,2,15,0.38444999
0,2,40,0.59716121
90,0,30,0.417130057
90,2,30,0.499754479
90,2,25,0.452092019
90,2,20,0.364488381
90,2,10,0.426331352
0,0,15,0.442524297
90,2,40,0.541818049
90,2,5,0.438288165
90,0,35,0.504593199
90,0,5,0.389818423
90,0,35,0.415230259
0,2,25,0.430167239
0,0,20,0.403732619
90,0,30,0.431183907
0,0,5,0.465904903
0,0,5,0.405589053
90,0,40,0.552582751
90,0,0,0.385582258
0,2,20,0.319090387
0,0,20,0.413949737
90,0,10,0.515737415
0,2,20,0.521661584
90,0,30,0.539075214
0,2,10,0.468006631
90,2,20,0.435275918
0,2,5,0.452534845
90,0,15,0.496441337
90,2,10,0.613050341
0,2,30,0.604649757
0,2,10,0.57840445
0,0,25,0.484535892
0,2,30,0.710327983
0,0,5,0.437927364
90,2,20,0.631387917
0,0,35,0.649712607
0,0,40,0.425003401
90,0,40,0.511285491
0,0,25,0.5409615
0,0,40,0.600730734
90,0,30,0.536962026
0,0,35,0.413551824
90,0,0,0.394210837
0,0,10,0.469591345
90,0,0,0.40370705
0,0,20,0.401476322
90,0,15,0.425234544
90,2,25,0.484085799
0,0,5,0.457397101
90,0,10,0.595752107
90,2,15,0.498021864
0,0,40,0.470580656
90,2,30,0.58967695
0,0,25,0.498547828
90,2,35,0.374331661
0,0,0,0.48380085
90,2,0,0.482730853
0,2,40,0.567967547
90,2,20,0.53558783
90,2,10,0.509379685
0,0,5,0.451628176
