Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0,2,0,0.7651981
90,2,10,0.5640059
45,2,35,0.5347877
45,2,25,0.5238009
45,2,10,0.5086407
90,2,15,0.7213461
0,2,30,0.5551665
90,2,25,0.5228236
45,2,35,0.5959135
90,2,40,0.6502623
45,2,0,0.6241805
90,2,20,0.5397545
90,2,20,0.5559897
45,2,20,0.6451086
0,2,35,0.5997615
0,2,5,0.5138963
0,2,20,0.5495021
90,2,30,0.7205191
90,2,5,0.6098884
45,2,15,0.6508663
90,2,5,0.5645647
0,2,10,0.5525821
45,2,15,0.5574064
90,2,10,0.8027239
90,2,25,0.8854792
45,2,35,0.5953542
90,2,10,0.7001665
45,2,0,0.4788673
90,2,25,0.5617215
0,2,20,0.5795464
90,2,0,0.5632916
90,2,0,0.4808342
45,2,15,0.54464
90,2,25,0.7437372
45,2,35,0.6481249
90,2,40,0.8628135
90,2,35,0.6331482
0,2,0,0.7957425
0,2,15,0.7012611
45,2,40,0.4898056
45,2,30,0.5772964
45,2,30,0.6446511
45,2,20,0.5238194
0,2,40,0.6597428
90,2,10,0.5246084
45,2,40,0.8336431
90,2,10,0.7783752
90,2,15,0.5600305
45,2,0,0.5862787
45,2,15,0.5799382
45,2,25,0.5317173
90,2,5,0.5374562
45,2,25,0.5547762
45,2,15,0.5245487
90,2,40,0.7337977
90,2,40,0.5816206
0,2,10,0.8295035
90,2,20,0.6445543
90,2,15,0.4940328
0,2,10,0.6800662
90,2,35,0.5875764
45,2,30,0.595246
90,2,5,0.4745498
90,2,30,0.6549318
90,2,25,0.5899227
45,2,5,0.5989719
90,2,5,0.6322637
90,2,5,0.5017426
45,2,30,0.5455097
45,2,40,0.5754814
45,2,35,0.5790632
90,2,35,0.5747256
0,2,0,0.6207752
90,2,20,0.6132135
0,2,30,0.5582194
90,2,25,0.5918748
0,2,15,0.5681507
45,2,0,0.5425196
90,2,20,0.5432257
45,2,35,0.6234729
90,2,20,0.5367284
45,2,25,0.5683025
90,2,30,0.6209622
90,2,5,0.532839
90,2,30,0.6379159
90,2,5,0.5885073
0,2,0,0.6297892
90,2,10,0.5415775
0,2,40,0.6664591
0,2,40,0.7791015
45,0,25,0.5563116
0,0,25,0.623589
45,0,35,0.5942259
45,0,35,0.4961551
90,0,15,0.5667201
45,0,35,0.4649349
45,0,20,0.4793124
45,0,0,0.5743547
0,0,20,0.5487953
90,0,25,0.553362
90,0,40,0.6420986
0,0,15,0.9471675
0,0,15,0.4892973
45,0,40,0.5473136
90,0,30,0.5455343
90,0,40,0.5632516
90,0,10,0.5348445
45,0,35,0.4397519
90,0,5,0.5570476
90,0,30,0.5878124
0,0,0,0.456777
45,0,20,0.5694183
45,0,20,0.5668308
90,0,40,0.6015764
0,0,15,0.6918317
45,0,0,0.523513
0,0,20,0.6538109
90,0,10,0.6970786
90,0,15,0.5360475
45,0,40,0.5348172
90,0,25,0.6198233
45,0,0,0.4909018
90,0,20,0.537645
0,0,15,0.5917625
90,0,30,0.5109633
45,0,5,0.3778758
0,0,0,0.4614817
90,0,0,0.5067591
90,0,35,0.4272118
0,0,15,0.5288444
45,0,10,0.5647237
90,0,10,0.541359
45,0,30,0.5881096
45,0,20,0.4970269
90,0,25,0.6117007
45,0,40,0.5084065
45,0,5,0.5451746
45,0,20,0.527325
45,0,0,0.5402568
90,0,5,0.4925367
45,0,35,0.386379
45,0,10,0.5538411
0,0,35,0.6809869
45,0,40,0.6112088
45,0,10,0.6577959
45,0,10,0.4348441
45,0,5,0.4378304
45,0,30,0.4881708
0,0,5,0.602623
45,0,35,0.5846804
0,0,30,0.6347563
90,0,15,0.4756905
45,0,5,0.5134145
0,0,35,0.6999006
90,0,10,0.426564
90,0,25,0.5359746
45,0,25,0.4616402
45,0,10,0.4806121
0,0,30,0.5802799
45,0,30,0.6164172
45,0,5,0.5289428
0,0,20,0.6116191
0,0,0,0.5293022
45,0,15,0.4940453
90,0,10,0.4600323
0,0,25,0.6600194
0,0,35,0.5431713
0,0,40,0.774077
0,0,30,0.6777196
0,0,20,0.5124595
45,0,15,0.5477752
0,0,25,0.5994982
0,0,25,0.5312062
0,0,40,0.5710271
0,0,5,0.4770132
90,0,0,0.4612465
0,0,5,0.5506814
0,0,0,0.4404726
0,0,40,0.548331
0,0,30,1.0744814
