Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45,0,25,0.6432494
45,0,40,0.4261562
45,0,30,0.4216347
45,0,30,0.5005759
90,0,20,0.5065071
90,0,25,0.6929701
90,0,30,0.5749003
90,0,30,0.4971929
90,0,25,0.5149557
0,0,5,0.5027482
45,0,10,0.5519451
90,0,0,0.5557018
90,0,20,0.6791414
0,0,35,0.6549828
90,0,40,0.7702183
45,0,20,0.6446618
90,0,30,0.5786112
0,0,40,0.6834642
90,0,10,0.5152154
90,0,5,0.5562287
90,0,25,0.5243422
45,0,35,0.5828529
0,0,5,0.7704552
90,0,15,0.5056633
45,0,35,0.5758389
90,0,15,0.5063823
90,0,0,0.5578062
45,0,30,0.5658854
45,0,15,0.8105028
0,0,35,0.6932871
90,0,10,0.5262686
0,0,5,0.6170559
90,0,0,0.4940802
45,0,0,0.5735932
0,0,15,0.6313669
90,0,20,0.5890907
0,0,35,0.7417114
45,0,35,0.6463877
45,0,25,0.664017
45,0,35,0.5322537
45,0,30,0.5920662
45,0,15,0.5069601
45,0,5,0.5954816
45,0,0,0.4752001
0,0,0,0.4432614
0,0,15,0.6009378
90,0,40,0.700128
45,0,10,0.6472293
45,0,15,0.5601609
90,0,0,0.5489999
45,0,5,0.5031718
0,0,30,0.7307893
0,0,25,0.572542
0,0,30,0.548445
45,0,5,0.5356165
90,0,15,0.6001413
45,0,35,0.5547847
45,0,35,0.5312522
0,0,20,0.7678669
45,0,20,0.4930011
45,0,40,0.5513396
90,0,10,0.613297
45,0,10,0.5147458
0,0,5,0.6418018
90,0,25,0.608539
45,0,40,0.5351798
45,0,5,0.5339763
90,0,15,0.6154359
90,0,5,0.5738452
0,0,10,0.6351293
0,0,0,0.4665155
0,0,15,0.58304
45,0,10,0.5725894
0,0,35,0.8998577
90,0,25,0.6435612
0,0,40,0.8642418
0,0,20,0.6501554
0,0,10,0.4424127
45,0,40,0.6182564
45,0,25,0.5939925
0,0,20,0.9171083
0,0,25,0.5971197
0,0,10,0.5341894
45,0,0,0.4745647
0,0,20,0.8055608
0,0,20,0.599924
90,0,30,0.6590282
0,0,40,0.776824
45,0,0,0.5986611
90,0,40,0.6898157
45,2,5,0.5844112
45,2,15,0.4578068
45,2,20,0.5027177
0,2,25,0.6729589
45,2,0,0.449633
45,2,0,0.494404
90,2,20,0.6365105
45,2,10,0.5806744
45,2,35,0.4820051
0,2,15,0.7855706
0,2,40,0.5158175
45,2,5,0.5377533
90,2,0,0.518045
0,2,10,0.6545218
0,2,30,0.5193469
0,2,25,0.4497183
0,2,0,0.4547985
90,2,10,0.6685723
0,2,30,0.5114524
45,2,15,0.5575003
90,2,35,0.7629022
90,2,40,0.6612982
45,2,25,0.6721868
45,2,20,0.5316449
45,2,20,0.5356665
0,2,15,1.0390692
45,2,25,0.5682526
45,2,15,0.4471032
90,2,0,0.578905
0,2,40,0.6490441
45,2,0,0.4726021
45,2,15,0.6135705
45,2,25,0.5290831
0,2,30,0.7004618
0,2,10,0.5441122
90,2,30,0.6892332
90,2,15,0.506778
0,2,15,0.713811
0,2,20,0.5293473
0,2,5,0.6379431
45,2,10,0.5205221
0,2,10,0.6027652
45,2,30,0.5630685
0,2,30,0.5495186
0,2,40,0.5851201
45,2,35,0.5611136
45,2,40,0.6162013
45,2,40,0.6151389
0,2,25,0.6374261
90,2,35,0.7833125
90,2,5,0.5266662
0,2,40,0.7099331
90,2,40,0.7909385
45,2,20,0.5469261
0,2,30,0.6107539
45,2,25,0.6034498
90,2,20,0.6665337
45,2,30,0.5115931
45,2,5,0.5193938
0,2,40,0.6791138
90,2,0,0.5409325
45,2,35,0.5545715
45,2,35,0.4991338
90,2,15,0.446122
45,2,10,0.4762116
45,2,20,0.4761275
0,2,5,0.4189963
90,2,5,0.6811513
45,2,10,0.5311318
45,2,25,0.476871
0,2,25,0.6495734
90,2,0,0.5961372
0,2,10,0.5479901
0,2,0,0.5989982
45,2,35,0.5862306
45,2,35,0.5768316
0,2,30,0.6114425
90,2,10,0.5347404
90,2,5,0.9304696
45,2,20,0.5915777
45,2,30,0.6094521
90,2,5,0.6349164
45,2,35,0.5425792
45,2,20,0.631258
90,2,15,0.6004009
45,2,35,0.6185899
90,2,40,0.9218882
90,2,25,0.6645081
45,2,0,0.569554
0,2,5,0.5324962
