Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,0,0.4344191000564024
0.0,0,10,0.460711499908939
0.0,0,15,0.47235130006447434
0.0,0,30,0.5541909000603482
90.0,0,20,0.4244298000121489
0.0,0,40,0.3733021999942139
0.0,0,10,0.41085710003972054
0.0,0,35,0.49202600005082786
90.0,0,0,0.48914580000564456
0.0,0,5,0.5253211000235751
0.0,0,30,0.5240035000024363
90.0,0,15,0.4649865999817848
90.0,0,25,0.423138799960725
0.0,0,25,0.38945929997134954
90.0,0,30,0.33477959991432726
0.0,0,40,0.35728160000871867
90.0,0,10,0.3546718000434339
90.0,0,0,0.4479768000310287
90.0,0,30,0.40121209993958473
0.0,0,0,0.48727740009780973
90.0,0,10,0.3241699000354856
90.0,0,25,0.5503566999686882
90.0,0,5,0.44454039994161576
0.0,0,30,0.5108750999206677
90.0,0,25,0.32216099998913705
90.0,0,15,0.43237189995124936
90.0,0,0,0.4383277000160888
90.0,0,10,0.42796180001460016
90.0,0,35,0.5010097000049427
90.0,0,5,0.4434100999496877
90.0,0,30,0.381223899894394
90.0,0,15,0.42812749999575317
0.0,0,15,0.48313040006905794
90.0,0,0,0.44419109995942563
0.0,0,20,0.48149629996623844
90.0,0,10,0.42071640002541244
90.0,0,30,0.421152500086464
0.0,0,25,0.4706430999794975
0.0,0,20,0.5145456000464037
0.0,0,15,0.4149950999999419
0.0,0,5,0.41258580004796386
90.0,0,15,0.45419489999767393
0.0,0,40,0.5612083000596613
90.0,0,5,0.46499989996664226
90.0,0,5,0.4115762000437826
0.0,0,5,0.47907309990841895
0.0,0,25,0.496088600018993
0.0,0,30,0.5483444000128657
90.0,0,30,0.4872522000223398
90.0,0,0,0.4498994000023231
90.0,0,40,0.527483299956657
0.0,0,20,0.5435971999540925
90.0,0,10,0.5309185000369325
90.0,0,35,0.4567537000402808
0.0,0,25,0.4817242999561131
90.0,0,5,0.4380372999003157
0.0,0,40,0.3624724999535829
90.0,0,0,0.5238318999763578
90.0,0,20,0.4616735000163317
0.0,0,35,0.5165147999068722
0.0,0,30,0.5369352999841794
90.0,0,20,0.387629900011234
0.0,0,35,0.5082102000014856
0.0,0,15,0.5123903000494465
90.0,0,0,0.42304009990766644
0.0,0,25,0.3978560999967158
90.0,0,40,0.4175654000137001
0.0,0,15,0.43564789998345077
90.0,0,10,0.2912690000375733
90.0,0,20,0.4486655000364408
0.0,0,35,0.5731249001109973
90.0,0,10,0.5490144999930635
90.0,0,35,0.5225376000162214
90.0,0,40,0.5619422999443486
90.0,0,35,0.7418213998898864
0.0,0,5,0.4442092999815941
0.0,0,20,0.5003042999887839
0.0,0,10,0.5161254999693483
0.0,0,35,0.5289800999453291
90.0,0,25,0.4334745000815019
90.0,0,40,0.4889525999315083
90.0,0,0,0.4770610999548808
0.0,0,25,0.5350912000285462
90.0,0,20,0.5214519000146538
90.0,0,35,0.6213197000324726
0.0,0,20,0.49242259992752224
90.0,0,40,0.32581219996791333
90.0,0,15,0.4484762001084164
0.0,0,40,0.3089723000302911
0.0,0,5,0.5725850999588147
90.0,2,10,0.46758229995612055
90.0,2,0,0.380023599951528
90.0,2,15,0.43574200000148267
90.0,2,15,0.520180799998343
0.0,2,40,0.45711710001342
0.0,2,40,0.4795913000125438
90.0,2,5,0.47481909999623895
90.0,2,15,0.5033528000349179
0.0,2,5,0.5747577999718487
90.0,2,5,0.4352958999807015
0.0,2,35,0.5312199998879805
90.0,2,25,0.5024863000726327
0.0,2,25,0.5577978000510484
90.0,2,35,0.5418182000285015
0.0,2,5,0.5356005999492481
90.0,2,30,0.40319039998576045
90.0,2,15,0.4021462999517098
90.0,2,25,0.43954319995827973
90.0,2,10,0.4039318999275565
90.0,2,0,0.40380079997703433
0.0,2,30,0.5631463000318035
