Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,15,0.3337881000043126
0.0,0,10,0.360575600003358
0.0,0,15,0.3315950999967754
0.0,0,40,0.1811156000039773
0.0,0,25,0.32146259999717586
0.0,2,15,0.02504350000526756
0.0,2,35,0.3293880999990506
0.0,0,5,0.31367909999971744
0.0,0,5,0.31408849998842925
0.0,2,15,0.30262889999721665
0.0,2,5,0.2941351999907056
0.0,0,0,0.2826652999938233
0.0,2,5,0.32274150000012014
0.0,0,30,0.21904260000155773
0.0,0,5,0.3134711999882711
0.0,2,10,0.5244167000055313
0.0,0,5,0.3082208999985596
0.0,0,10,0.30740059999516234
0.0,2,25,0.4785457999969367
0.0,2,0,0.2918803999928059
0.0,0,25,0.318266100002802
0.0,2,10,0.386286699998891
0.0,2,20,0.30715569999301806
0.0,0,5,0.34815160000289325
0.0,0,35,0.3501257000025362
0.0,0,40,0.33679169999959413
0.0,2,40,0.3670219000050565
0.0,2,30,0.3272328000020934
0.0,2,20,0.30868040000495967
0.0,0,25,0.25315360000240617
0.0,0,30,0.1639259000075981
0.0,0,25,0.326354300006642
0.0,2,35,0.3235046999907354
0.0,2,20,0.2944495999981882
0.0,2,40,0.15623999999661464
0.0,0,15,0.2366708000045037
0.0,0,30,0.29727700000512414
0.0,0,25,0.2055843999987701
0.0,0,15,0.1861231999937445
0.0,2,30,0.23842510000395123
0.0,2,15,0.15132159998756833
0.0,2,30,0.3374688000039896
0.0,2,0,0.05851079999411013
0.0,2,15,0.3112220999901183
0.0,0,0,0.3356227000040235
0.0,0,20,0.338672800004133
0.0,2,25,0.28814849999616854
0.0,0,10,0.31159710000792984
0.0,2,40,0.3369038999953773
0.0,2,10,0.21826870000222698
0.0,2,20,0.23842490000242833
0.0,0,10,0.3078784000099404
0.0,2,20,0.33685540000442415
0.0,0,15,0.36381329999130685
0.0,2,35,0.3364432000089437
0.0,0,30,0.3061533000000054
0.0,0,20,0.2050343999871984
0.0,2,30,0.3137692000018433
0.0,0,5,0.33084199999575503
0.0,0,35,0.30521049999515526
0.0,2,0,0.1203559999994468
0.0,0,35,0.034426499987603165
0.0,2,0,0.14368609999655746
0.0,2,15,0.31294019999040756
0.0,0,25,0.3142481999966549
0.0,0,0,0.0632871999987401
0.0,0,20,0.3449642000050517
0.0,0,30,0.13574150000931695
0.0,2,35,0.3025273999955971
0.0,0,10,0.26550500000303145
0.0,2,5,0.31807940000726376
0.0,0,0,0.09306359999754932
0.0,2,25,0.47796740000194404
0.0,0,10,0.37601040001027286
0.0,2,15,0.10659580001083668
0.0,0,40,0.3308052999927895
0.0,0,15,0.27628310000000056
0.0,0,10,0.33429070000420325
0.0,2,15,0.33434139999735635
0.0,2,15,0.28459850000217557
0.0,2,35,0.3129697000113083
0.0,2,0,0.3259581000020262
0.0,0,25,0.3332977999962168
0.0,0,20,0.46031560000847094
0.0,2,20,0.15096670000639278
0.0,2,5,0.32437830000708345
0.0,2,15,0.3137661000073422
0.0,0,0,0.11598260000755545
0.0,0,25,0.2825602000084473
0.0,2,35,0.17728089999582153
0.0,2,25,0.32668819998798426
0.0,2,30,0.17768309998791665
0.0,0,5,0.08369910001056269
0.0,2,25,0.2938227000122424
0.0,0,35,0.3344453000026988
0.0,2,20,0.31661709999025334
0.0,0,20,0.1033884000062244
0.0,0,35,0.2138215000013588
0.0,0,40,0.30917090000002645
0.0,2,35,0.3171118000027491
0.0,0,30,0.3518186000001151
0.0,2,25,0.2679407999967225
0.0,0,0,0.38828230000217445
0.0,0,20,0.07519409999076743
0.0,0,30,0.3474712000024738
0.0,2,10,0.3168950999970548
0.0,2,5,0.314750899997307
0.0,0,30,0.27572109999891836
0.0,0,5,0.29655639998964034
0.0,2,15,0.3342692000005627
0.0,0,20,0.4074302999943029
0.0,0,0,0.3367930999957025
0.0,0,35,0.2858798000088427
0.0,0,40,0.32720689999405295
0.0,2,5,0.3403595999989193
0.0,0,20,0.3534580999985337
0.0,0,40,0.34986010000284296
0.0,2,0,0.34530490000906866
0.0,2,30,0.24097750001237728
0.0,0,0,0.29755719999957364
0.0,0,35,0.3230891999992309
0.0,0,35,0.30594409999321215
0.0,2,25,0.3344548000022769
0.0,2,5,0.3056401000067126
0.0,0,0,0.05798159999540076
0.0,0,10,0.30681099998764694
0.0,2,30,0.09074070000497159
0.0,2,25,0.0974553999985801
0.0,2,10,0.32319930000812747
0.0,0,35,0.32748089999950025
0.0,0,5,0.3266483000043081
0.0,0,15,0.3227809000090929
0.0,2,20,0.3098823999898741
0.0,2,5,0.3288209000020288
0.0,0,10,0.3716790000034962
0.0,2,40,0.2585863000131212
0.0,2,10,0.32174189999932423
0.0,0,5,0.3276756999985082
0.0,2,20,0.27304800000274554
0.0,2,30,0.3371096999908332
0.0,2,40,0.33248440000170376
0.0,2,10,0.2774652999942191
0.0,2,30,0.3276132999890251
0.0,2,40,0.37355650000972673
0.0,2,30,0.3433029000007082
0.0,2,5,0.08191150000493508
0.0,0,30,0.33625160000519827
0.0,0,15,0.19304539999575354
0.0,0,0,0.18920649999927264
0.0,2,40,0.32799510000040755
0.0,2,25,0.26294850000704173
0.0,2,0,0.32584430000861175
0.0,2,0,0.1454479999956675
0.0,0,40,0.31356849998701364
0.0,2,10,0.3314620000019204
0.0,2,40,0.18009770000935532
0.0,0,25,0.3558225000015227
0.0,2,25,0.3584831000043778
0.0,2,35,0.369103199991514
0.0,2,10,0.3322485999960918
0.0,0,20,0.1460452999890549
0.0,0,10,0.3127608000067994
0.0,0,20,0.13032370001019444
0.0,0,25,0.3566160999907879
0.0,0,15,0.26820340000267606
0.0,0,40,0.3319797000003746
0.0,0,35,0.3409819999942556
0.0,2,0,0.3275934999983292
0.0,2,20,0.3413680999947246
0.0,0,40,0.3562596999981906
0.0,2,0,0.2256070000003092
0.0,0,40,0.27372209999884944
0.0,2,40,0.3348231999989366
0.0,2,35,0.04004049999639392
0.0,2,10,0.3356551000033505
0.0,2,40,0.3457935000042198
0.0,2,35,0.25493200001074
0.0,0,15,0.3115937999973539
0.0,2,5,0.33497389999683946
0.0,0,30,0.06403579999459907
