Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90.0,2,5,0.5093463999946835
90.0,0,20,0.4864314000005834
0.0,0,30,0.4892695000016829
90.0,2,15,0.4457369000010658
90.0,2,15,0.4913230000092881
0.0,2,40,0.6037425999966217
45.0,0,0,0.5846984000090742
0.0,2,20,0.5937211999989813
90.0,2,20,0.4377296999882674
90.0,2,5,0.5179058000067016
0.0,0,25,0.5800043000053847
45.0,0,5,0.5218833000108134
90.0,0,25,0.484064699994633
45.0,2,0,0.5608128000021679
90.0,0,40,0.5170475000049919
90.0,2,30,0.4731785000039963
0.0,2,40,0.5943396000075154
90.0,2,15,0.5048782000085339
45.0,2,0,0.5695636000018567
90.0,0,35,0.5409343999926932
45.0,2,40,0.5872571000072639
45.0,2,30,0.5070299999933923
90.0,2,10,0.47502410000015516
0.0,2,0,0.5851273000007495
90.0,2,35,0.5319209000008414
90.0,2,0,0.4058589999913238
45.0,0,20,0.5421519000083208
0.0,2,30,0.6758258000045316
90.0,0,35,0.5320783000061056
0.0,2,20,0.5370049999910407
90.0,0,10,0.5568700000003446
45.0,2,10,0.5911811999976635
45.0,0,10,0.4722975999902701
0.0,0,30,0.6045946999947773
45.0,2,15,0.5413272000005236
45.0,2,25,0.5056215999939013
0.0,2,10,0.5632254999945872
0.0,0,20,0.5719818000070518
0.0,2,15,0.4709651000011945
90.0,0,25,0.5553365999949165
45.0,0,40,0.5567750000045635
0.0,0,25,0.6237996000127168
45.0,2,35,0.6051894000120228
45.0,0,25,0.5698234000010416
0.0,0,0,0.5275177000003168
90.0,0,10,0.6017567999952007
0.0,0,35,0.5822326000052271
45.0,0,5,0.5512958000035724
90.0,0,15,0.504277700005332
45.0,0,40,0.6076800000009825
45.0,2,10,0.49938409999595024
90.0,0,30,0.527562899995246
0.0,0,5,0.41675400000531226
90.0,2,0,0.4091084999963641
0.0,2,20,0.6278415999986464
90.0,0,20,0.4803873999917414
0.0,0,20,0.5638813999976264
45.0,0,30,0.6566566999972565
45.0,0,15,0.609122900001239
90.0,0,5,0.5189506000024267
0.0,0,5,0.6214282000000821
90.0,2,35,0.4810519999882672
45.0,0,40,0.5903330000001006
90.0,2,0,0.4749366000032751
45.0,2,40,0.6115071999956854
90.0,2,30,0.5045477999956347
90.0,0,35,0.4686916999926325
0.0,0,10,0.5191477999906056
90.0,2,25,0.473315499999444
90.0,2,30,0.5340390000055777
90.0,2,30,0.48952179998741485
90.0,2,25,0.6124987000075635
90.0,2,35,0.5520048000034876
45.0,0,25,0.5025435999996262
0.0,0,0,0.5428520999994362
45.0,0,30,0.6937455000006594
90.0,0,0,0.4853682000102708
45.0,2,20,0.4979880000028061
45.0,2,0,0.5675495000032242
0.0,2,25,0.5520767999987584
90.0,2,10,0.5836118000006536
90.0,0,10,0.5634232000011252
45.0,0,0,0.581607800006168
0.0,2,15,0.6201776999951107
0.0,0,40,0.6185542999883182
90.0,2,20,0.50298410000687
45.0,0,5,0.5047572999901604
90.0,0,35,0.5072761999908835
0.0,0,15,0.5153550999966683
90.0,0,0,0.5113194000005024
90.0,2,35,0.5528257000114536
90.0,0,40,0.6141459999926155
0.0,2,40,0.5575738000043202
0.0,2,25,0.5156339999957709
0.0,0,35,0.6025826000113739
0.0,0,35,0.5296986999892397
45.0,2,35,0.5573776999954134
90.0,0,10,0.5008637999999337
90.0,2,10,0.4599452999973437
90.0,2,5,0.6174574999895412
90.0,2,35,0.5136923999962164
0.0,2,20,0.5548202000063611
0.0,2,30,0.5749664000031771
90.0,2,40,0.6702092999912566
0.0,0,10,0.6026600000041071
45.0,0,25,0.5945269999938319
45.0,2,25,0.686399900005199
0.0,2,40,0.7265675999951782
90.0,0,35,0.5138959000032628
45.0,0,10,0.4225726000004215
45.0,0,15,0.43522859999211505
45.0,2,15,0.5107360999973025
90.0,2,25,0.44281120000232477
90.0,2,25,0.4521917999954894
90.0,0,30,0.44500320000224747
0.0,0,0,0.5544205999904079
90.0,2,15,0.44076320000749547
90.0,0,25,0.566678300005151
0.0,0,30,0.5465823999984423
0.0,0,15,0.6044510999927297
45.0,2,10,0.48100840000552125
45.0,0,35,0.5821728000009898
45.0,0,20,0.6032036999968113
90.0,0,20,0.5726851000072202
0.0,2,40,0.5492102000134764
90.0,0,40,0.5428162000025623
45.0,0,5,0.5978267000027699
