Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,30,0.6833922999940114
0.0,2,20,0.45801880001090467
0.0,0,0,0.4180659999983618
90.0,0,30,0.4366831000079401
0.0,2,0,0.48008179999305867
90.0,2,0,0.4425743000028888
90.0,0,20,0.5473248999915086
90.0,2,10,0.48218560000532307
90.0,2,30,0.45938569999998435
90.0,2,5,0.43534109999018256
90.0,2,15,0.4903504999965662
90.0,2,40,0.4880341999960365
0.0,2,35,0.6126665000047069
90.0,0,35,0.4450293999980204
90.0,2,15,0.43404300000111107
0.0,2,5,0.4529113999888068
0.0,2,35,0.6274740000080783
90.0,0,25,0.5558573999878718
90.0,2,20,0.43513159999565687
0.0,2,0,0.4827414999890607
0.0,0,40,0.5341123000107473
0.0,2,20,0.49582949999603443
0.0,0,0,0.45172710000770167
90.0,0,35,0.5956581999926129
90.0,0,5,0.46145670000987593
0.0,0,40,0.5429820999997901
90.0,2,5,0.48652649999712594
90.0,2,25,0.4620458999997936
90.0,2,25,0.5221172000019578
0.0,2,10,0.45847059998777695
0.0,2,30,0.5284825999988243
0.0,2,5,0.5115562999999383
90.0,0,0,0.46472600000561215
0.0,2,30,0.401816500001587
0.0,0,0,0.4353763999970397
90.0,2,30,0.5314875000040047
90.0,2,10,0.5423319999972591
0.0,0,40,0.5242501999891829
0.0,0,25,0.49181639999733306
0.0,2,35,0.4344215999881271
90.0,0,15,0.452567900007125
90.0,0,0,0.4685317999974359
90.0,0,10,0.4216234000050463
0.0,0,30,0.42990560000180267
90.0,2,5,0.46339619999343995
90.0,0,35,0.5161553000070853
90.0,2,40,0.5840060000045924
90.0,0,30,0.5079300999932457
90.0,2,5,0.49182540000765584
90.0,2,5,0.4745489000051748
90.0,0,40,0.48300550000567455
90.0,2,30,0.44776750000892207
90.0,2,25,0.39599340000131633
90.0,2,40,0.46330470000975765
90.0,0,20,0.47314629999164026
0.0,0,5,0.4155895000003511
0.0,0,5,0.399107000004733
0.0,2,15,0.42101680001360364
0.0,0,30,0.4395461999956751
0.0,2,40,0.4638917999982368
0.0,2,0,0.37664989999029785
0.0,0,40,0.49690699999337085
0.0,2,40,0.542690100002801
0.0,0,0,0.49219210000592284
0.0,2,40,0.44087980000767857
90.0,0,20,0.4758999999903608
90.0,0,35,0.5623577999940608
90.0,2,15,0.43417809999664314
0.0,2,20,0.4976023999915924
90.0,0,20,0.4143218999961391
0.0,0,40,0.46690010000020266
0.0,0,10,0.4530891999893356
0.0,2,25,0.4403625999984797
90.0,0,5,0.42146800000045914
0.0,0,30,0.5166962999937823
0.0,0,15,0.4545233999961056
0.0,0,25,0.43452690000412986
90.0,2,5,0.43333159999747295
0.0,2,0,0.4522498999867821
0.0,0,25,0.4146369000081904
90.0,0,20,0.452859900004114
0.0,0,40,0.5154209999891464
90.0,0,15,0.44045559999358375
0.0,2,0,0.3850571999937529
90.0,0,25,0.4260756000003312
0.0,0,5,0.4999894999928074
0.0,0,25,0.47913429999607615
90.0,0,5,0.5091284999944037
0.0,2,40,0.5996443000040017
90.0,2,0,0.46931910001148935
0.0,0,10,0.46048270000028424
0.0,2,15,0.5290345999965211
0.0,0,10,0.5305375999887474
90.0,2,15,0.5140852000040468
90.0,2,10,0.4823499000049196
0.0,0,10,0.5153090999956476
90.0,0,5,0.485728100000415
90.0,2,35,0.5033629000099609
90.0,0,30,0.42147070000646636
0.0,2,10,0.3842106999945827
90.0,2,15,0.5089757999958238
0.0,0,20,0.5633019999950193
0.0,2,25,0.5258304000017233
0.0,2,10,0.4768619999958901
0.0,2,30,0.47368640000058804
90.0,2,25,0.43942369999422226
0.0,0,35,0.4232917000044836
90.0,2,40,0.5522578999953112
0.0,0,15,0.538803800009191
90.0,0,10,0.4628526000014972
90.0,0,35,0.6695484000083525
0.0,2,10,0.48997340000642
0.0,2,5,0.5164376000029733
90.0,0,20,0.45978490001289174
90.0,2,25,0.4814553000032902
90.0,0,25,0.5089729000028456
0.0,2,35,0.4517416000016965
90.0,2,35,0.4542438999924343
90.0,0,35,0.5048603000032017
0.0,2,15,0.5480255000002217
0.0,2,35,0.5959700999956112
90.0,0,15,0.4715779999969527
90.0,2,5,0.5160130000003846
0.0,2,10,0.520464199988055
90.0,2,15,0.5151670000050217
0.0,2,30,0.566074899994419
90.0,2,15,0.42415360000450164
90.0,0,5,0.445473799991305
90.0,0,5,0.44431590000749566
0.0,2,20,0.5791686000011396
90.0,0,0,0.5078977999946801
90.0,0,5,0.5126441000029445
0.0,2,0,0.4328269999969052
0.0,0,20,0.49056849999760743
90.0,2,10,0.484146700007841
0.0,2,35,0.45797780000430066
90.0,0,25,0.46497059999092016
90.0,2,20,0.4416872000001604
0.0,0,0,0.5192607000062708
0.0,2,40,0.42858890000206884
90.0,2,20,0.5008925000001909
0.0,2,30,0.4948699999949895
0.0,2,25,0.5013772999955108
0.0,0,15,0.47603289999824483
90.0,0,0,0.45253199999569915
90.0,0,15,0.4359484999877168
0.0,2,0,0.4806615999987116
0.0,2,0,0.4456860000063898
0.0,0,30,0.4639361000008648
90.0,0,25,0.435669800004689
0.0,2,30,0.559070100003737
90.0,0,25,0.464434200010146
0.0,0,15,0.4808589999884134
90.0,0,10,0.5127676000120118
0.0,0,10,0.5863090000057127
0.0,0,20,0.534977200004505
90.0,0,10,0.5367120999871986
90.0,2,40,0.4933646999998018
90.0,0,35,0.4448483000014676
0.0,0,35,0.5142873000004329
90.0,0,40,0.507138600005419
90.0,2,20,0.4833553999924334
90.0,0,0,0.4957830999919679
0.0,2,20,0.4385279999987688
90.0,2,10,0.4924886999942828
0.0,0,30,0.44925370000419207
0.0,0,40,0.5009006000036607
90.0,2,25,0.4320475999993505
90.0,2,20,0.4465195999946445
0.0,0,40,0.46005419999710284
0.0,0,10,0.4685866000072565
90.0,0,30,0.47810629999730736
90.0,2,25,0.5144661999947857
90.0,2,35,0.48612790000333916
0.0,2,35,0.5762576999986777
90.0,0,20,0.44611299999814946
0.0,0,15,0.5261960999923758
90.0,0,15,0.4511740000016289
0.0,0,35,0.5290495000081137
90.0,2,30,0.4594446999981301
