Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,5,0.40452419995563105
0.0,0,40,0.2644856999977492
0.0,0,20,0.28287219995399937
0.0,0,0,0.23046310001518577
0.0,0,25,0.24234710005111992
0.0,0,40,0.30648610001662746
0.0,0,0,0.30131769995205104
0.0,0,15,0.2686368999420665
0.0,0,10,0.26436650002142414
0.0,0,30,0.2587220999994315
0.0,0,15,0.2765561999985948
0.0,0,0,0.22273999999742955
0.0,0,30,0.22854590002680197
0.0,0,15,0.23000239999964833
0.0,0,5,0.3079499999876134
0.0,0,10,0.29968200001167133
0.0,0,10,0.32845209998777136
0.0,0,35,0.2446955000050366
0.0,0,10,0.3383328999625519
0.0,0,35,0.2513124000397511
0.0,0,15,0.28689399996073917
0.0,0,40,0.3225566999753937
0.0,0,5,0.36702560004778206
0.0,0,40,0.325344699958805
0.0,0,15,0.33612380002159625
0.0,0,25,0.36027970002032816
0.0,0,5,0.2992491999757476
0.0,0,20,0.34513370000058785
0.0,0,35,0.3083368999650702
0.0,0,30,0.2819803999736905
0.0,0,10,0.29313420003745705
0.0,0,20,0.28605270001571625
0.0,0,10,0.3458208999945782
0.0,0,5,0.31326259998604655
0.0,0,40,0.2568038000026718
0.0,0,40,0.2702314000343904
0.0,0,25,0.27648100000806153
0.0,0,30,0.2665023999870755
0.0,0,10,0.28464279999025166
0.0,0,0,0.3379444999736734
0.0,0,25,0.29799450002610683
0.0,0,10,0.29673850000835955
0.0,0,35,0.38641960005043074
0.0,0,25,0.4108589999959804
0.0,0,30,0.30775330000324175
0.0,0,35,0.20347589999437332
0.0,0,25,0.25508780003292486
0.0,0,20,0.3500911999726668
0.0,0,0,0.3599285000236705
0.0,0,15,0.276020499994047
0.0,0,10,0.33976100001018494
0.0,0,40,0.2782469999510795
0.0,0,25,0.333063600002788
0.0,0,15,0.24276940000709146
0.0,0,0,0.3868050000164658
0.0,0,30,0.3144894000142813
0.0,0,20,0.3187861999613233
0.0,0,0,0.40540749998763204
0.0,0,20,0.33509020000929013
0.0,0,30,0.266946799994912
0.0,0,5,0.3437160999746993
0.0,0,30,0.4874110000091605
0.0,0,35,0.33275609998963773
0.0,0,35,0.30316809995565563
0.0,0,20,0.28794109995942563
0.0,0,0,0.36403650004649535
0.0,0,20,0.4202076999936253
0.0,0,15,0.3437596000148915
0.0,0,25,0.3494535000063479
0.0,0,20,0.29550900001777336
0.0,0,10,0.27834630000870675
0.0,0,15,0.3072427999577485
0.0,0,5,0.3219258000026457
0.0,0,40,0.30085209995741025
0.0,0,40,0.3783048000186682
0.0,0,35,0.3060490000061691
0.0,0,40,0.29486239998368546
0.0,0,30,0.2806814999785274
0.0,0,20,0.26193310000235215
0.0,0,35,0.25464599998667836
0.0,0,5,0.2317763000028208
0.0,0,5,0.2592846000334248
0.0,0,25,0.35410110000520945
0.0,0,0,0.49868429999332875
0.0,0,0,0.37586949998512864
0.0,0,5,0.26824000000488013
0.0,0,15,0.29627330001676455
0.0,0,25,0.3141396000282839
0.0,0,30,0.4215575999696739
0.0,0,35,0.33626619999995455
0.0,2,15,0.3405399000039324
0.0,2,35,0.3736126000294462
0.0,2,10,0.3064106999663636
0.0,2,5,0.2549350000335835
0.0,2,15,0.28218789998209104
0.0,2,40,0.2752716999966651
0.0,2,10,0.32316750002792105
0.0,2,5,0.2445218000211753
0.0,2,0,0.383948800037615
0.0,2,40,0.24850099999457598
0.0,2,20,0.32146690000081435
0.0,2,0,0.4038824000163004
0.0,2,20,0.27343420003307983
0.0,2,30,0.28449289995478466
0.0,2,15,0.27887470001587644
0.0,2,0,0.27557299996260554
0.0,2,25,0.29429840005468577
0.0,2,20,0.2736091000260785
0.0,2,30,0.2673413000302389
0.0,2,10,0.2693722000112757
0.0,2,35,0.27123750001192093
0.0,2,25,0.27897179999854416
0.0,2,0,0.26421679998748004
0.0,2,10,0.23758690000977367
0.0,2,35,0.26135409995913506
0.0,2,20,0.2999075999832712
0.0,2,15,0.25192280003102496
0.0,2,0,0.26580939994892105
0.0,2,5,0.2768597000394948
0.0,2,20,0.2570832999772392
0.0,2,30,0.2732636000146158
0.0,2,40,0.3873289000475779
0.0,2,15,0.2719541999977082
0.0,2,0,0.36914129997603595
0.0,2,10,0.24184520001290366
0.0,2,25,0.2712421999895014
0.0,2,20,0.2690998000325635
0.0,2,30,0.2769531999947503
0.0,2,0,0.27745059999870136
0.0,2,10,0.28472659998806193
0.0,2,15,0.2870124999899417
0.0,2,10,0.27453049999894574
0.0,2,35,0.25277089996961877
0.0,2,30,0.3166487999842502
0.0,2,30,0.32444190001115203
0.0,2,5,0.318764400028158
0.0,2,30,0.3412370000150986
0.0,2,25,0.3160892999731004
0.0,2,5,0.2851250999956392
0.0,2,25,0.3126427000388503
0.0,2,35,0.28017899999395013
0.0,2,40,0.29441639996366575
0.0,2,0,0.4236135000246577
0.0,2,25,0.29753740003798157
0.0,2,25,0.25958860001992434
0.0,2,40,0.36803440004587173
0.0,2,25,0.2908235999639146
0.0,2,5,0.32018739997874945
0.0,2,10,0.2612535000080243
0.0,2,40,0.337751200015191
0.0,2,30,0.33229029999347404
0.0,2,25,0.29613510001217946
0.0,2,0,0.3816631999798119
0.0,2,40,0.2916939000133425
0.0,2,25,0.31648859998676926
0.0,2,35,0.24855810002190992
0.0,2,15,0.2878554000053555
0.0,2,15,0.3737711999565363
0.0,2,20,0.29828229994745925
0.0,2,10,0.40507649997016415
0.0,2,5,0.2627544999704696
0.0,2,15,0.26676480000605807
0.0,2,15,0.33588010002858937
0.0,2,35,0.40379639994353056
0.0,2,20,0.34565550001570955
0.0,2,30,0.2816255000070669
0.0,2,35,0.26361930003622547
0.0,2,30,0.2705775999929756
0.0,2,5,0.2991331000230275
