Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,20,0.6225519999861717
90.0,2,15,0.4515421000542119
45.0,2,35,0.4778878999641165
90.0,2,5,0.6356356000178494
0.0,2,0,0.6194885000004433
90.0,2,0,0.6351846000179648
90.0,2,40,0.8428146000369452
45.0,2,15,0.5591343999840319
0.0,2,35,0.6400362999993376
90.0,2,0,0.5426340000121854
0.0,2,30,0.517057900025975
45.0,2,40,0.5200579999946058
90.0,2,35,0.5418308000080287
0.0,2,10,0.45107549999374896
45.0,2,35,0.40562639996642247
90.0,2,0,0.4398215000401251
45.0,2,25,0.4372491000103764
45.0,2,20,0.4516954999999143
45.0,2,30,0.4880841000122018
90.0,2,10,0.46992099995259196
0.0,2,0,0.5846463000052609
0.0,2,35,0.6370220999815501
0.0,2,5,0.47788080002646893
45.0,2,10,0.557989599998109
90.0,2,15,0.5115252999821678
90.0,2,35,0.5341363999759778
0.0,2,35,0.5963646000018343
0.0,2,10,0.6847498000133783
90.0,2,25,0.5901581000071019
45.0,2,20,0.571197499986738
45.0,2,0,0.4533192999660969
0.0,2,15,0.6291686000186019
90.0,2,40,0.7119458999950439
90.0,2,10,0.630388599995058
90.0,2,40,0.5021146999788471
90.0,2,20,0.5198133999947459
0.0,2,25,0.7321962999994867
0.0,2,15,0.5604415999841876
45.0,2,0,0.5107456999830902
45.0,2,5,0.440158799989149
45.0,2,40,0.5178530000266619
0.0,2,30,0.5901389000355266
90.0,2,5,0.3979972999659367
0.0,2,5,0.5503527999971993
90.0,2,20,0.5450840000412427
45.0,2,5,0.5660850999993272
0.0,2,35,0.6712250999989919
90.0,2,20,0.5389824999729171
90.0,2,30,0.7025633999728598
0.0,2,15,0.5699584999820217
45.0,2,20,0.5907858000136912
0.0,2,10,0.6690724999643862
90.0,2,5,0.6659530000179075
0.0,2,25,0.5904265000135638
45.0,2,0,0.5114691000198945
90.0,2,30,0.7056930000544526
45.0,2,25,0.6959103000117466
90.0,2,35,0.8561324999900535
0.0,2,15,0.47714840003754944
90.0,2,10,0.4588950999896042
45.0,2,15,0.5155694999848492
90.0,2,40,0.6829433999955654
45.0,2,30,0.46710790001088753
90.0,2,25,0.5132733999635093
90.0,2,10,0.4249384999857284
90.0,2,15,0.4884645999991335
90.0,2,25,0.4790652999654412
0.0,2,25,0.5346896999981254
90.0,2,40,0.5561675000353716
0.0,2,5,0.5579640999785624
45.0,2,35,0.6397099000168964
90.0,2,25,0.517471699975431
0.0,2,5,0.6588916999753565
90.0,2,30,0.5808271000278182
0.0,2,30,0.5104982999619097
45.0,2,20,0.6152454999973997
90.0,2,40,0.5672435000305995
90.0,2,20,0.4924452999839559
90.0,2,5,0.3956725000170991
90.0,2,0,0.38028189999749884
45.0,2,20,0.6336807000334375
45.0,2,25,0.49603969999589026
45.0,2,15,0.47323929995764047
45.0,2,30,0.4916302000056021
45.0,2,30,0.6125845000497065
0.0,2,10,0.6568475000094622
45.0,2,10,0.7780372999841347
90.0,2,40,0.6018429000396281
90.0,2,0,0.49824699998134747
90.0,2,40,0.6120546000311151
45.0,0,20,0.4659285000525415
90.0,0,40,0.5873352999915369
90.0,0,30,0.4839983999845572
0.0,0,30,0.4481734000146389
45.0,0,20,0.6050285000237636
45.0,0,5,0.43137589999241754
45.0,0,25,0.4079073999891989
90.0,0,25,0.537536000018008
0.0,0,10,0.45449739997275174
45.0,0,5,0.5461349000106566
0.0,0,25,0.5974356000078842
90.0,0,30,0.43761259998427704
45.0,0,10,0.448322799988091
45.0,0,20,0.4030672999797389
0.0,0,35,0.5041751999524422
90.0,0,40,0.5714703000267036
90.0,0,5,0.4511136999935843
45.0,0,35,0.5702296000090428
0.0,0,10,0.6482074999948964
45.0,0,10,0.5815416000550613
90.0,0,5,0.6722762000281364
90.0,0,40,0.6951840000110678
90.0,0,40,0.4929126999923028
0.0,0,0,0.5103993000229821
90.0,0,15,0.510814199980814
90.0,0,15,0.5790718999924138
45.0,0,0,0.5804500000085682
90.0,0,5,0.5358245000243187
45.0,0,25,0.492932400025893
90.0,0,10,0.5060189999639988
90.0,0,30,0.580079699982889
45.0,0,5,0.7211352000012994
90.0,0,40,0.690376499958802
0.0,0,25,0.6121069999644533
45.0,0,10,0.4846968000056222
45.0,0,20,0.5579776999657042
90.0,0,15,0.47700529999565333
45.0,0,0,0.5615318000200205
0.0,0,0,0.5060829999856651
90.0,0,15,0.46748430002480745
90.0,0,35,0.46726420003687963
0.0,0,10,0.5488596999784932
0.0,0,10,0.5453119999729097
0.0,0,25,0.5167898000217974
90.0,0,40,0.5979615999967791
90.0,0,0,0.469376299995929
90.0,0,30,0.4726735000149347
45.0,0,35,0.7715714999940246
0.0,0,20,0.546359499974642
90.0,0,25,0.5948915000190027
90.0,0,30,0.5766163000371307
0.0,0,20,0.62014780001482
45.0,0,0,0.5887678999570198
45.0,0,0,0.5151749000069685
90.0,0,25,0.5765441000112332
0.0,0,20,0.5624535999959335
45.0,0,15,0.5111397000146098
90.0,0,20,0.48175960005028173
0.0,0,15,0.5145944000105374
45.0,0,30,0.48753539996687323
45.0,0,15,0.520656600012444
