Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,2,0,0.571832199988421
0.0,2,0,0.4345507999532856
90.0,2,35,0.4867054999922402
90.0,2,10,0.4738441000226885
90.0,2,10,0.41835559997707605
90.0,2,5,0.3685721000074409
90.0,2,35,0.4478607000201009
90.0,2,30,0.5135156000033021
0.0,2,10,0.4236290999688208
0.0,2,30,0.504956700024195
90.0,2,40,0.515205200004857
90.0,2,15,0.4057871999684721
90.0,2,25,0.48803530004806817
90.0,2,20,0.4683023999677971
0.0,2,10,0.5460507999523543
90.0,2,20,0.4742444999865256
90.0,2,25,0.5851882999995723
90.0,2,10,0.49802790000103414
90.0,2,10,0.43901550001464784
0.0,2,35,0.4816580999759026
0.0,2,30,0.3969785000081174
0.0,2,20,0.40746499999659136
90.0,2,5,0.4870711999828927
0.0,2,0,0.4300218999851495
0.0,2,20,0.505805499968119
90.0,2,20,0.44450209999922663
90.0,2,10,0.4584591999882832
0.0,2,30,0.5855854999972507
0.0,2,40,0.6066333000198938
90.0,2,10,0.3998437999980524
0.0,2,5,0.41776879999088123
0.0,2,35,0.6500385999679565
90.0,2,0,0.4315072000026703
0.0,2,15,0.4313923000008799
0.0,2,20,0.49981649999972433
90.0,2,40,0.6558162000146694
0.0,2,20,0.4239837000495754
90.0,2,15,0.4831552999676205
0.0,2,5,0.4523899999912828
90.0,2,0,0.4045324000180699
0.0,2,20,0.37405819998821244
0.0,2,30,0.41857989999698475
0.0,2,10,0.4435219000442885
90.0,2,0,0.5146854000049643
90.0,2,25,0.5767822999623604
0.0,2,30,0.6096353000029922
90.0,2,5,0.4273936999961734
90.0,2,40,0.5634264000109397
0.0,2,15,0.46866899996530265
0.0,2,35,0.5457109999842942
90.0,2,35,0.54846700001508
0.0,2,20,0.6140094999573193
0.0,2,5,0.4884410999948159
90.0,2,25,0.42866869998397306
90.0,2,40,0.48231479997048154
90.0,2,25,0.5557814000057988
0.0,2,0,0.5057291000266559
90.0,2,0,0.4547049000393599
0.0,2,35,0.5148859000182711
90.0,2,35,0.6171093999873847
90.0,2,30,0.5959816999966279
0.0,2,20,0.5980793000198901
90.0,2,35,0.5541310000116937
0.0,2,15,0.4737613999750465
0.0,2,15,0.5123949000262655
90.0,2,25,0.4533215000410564
90.0,2,0,0.44449800002621487
0.0,2,10,0.5628454999532551
90.0,2,30,0.3772286000312306
90.0,2,25,0.4684114999836311
0.0,2,25,0.43839819997083396
90.0,2,15,0.4275189000181854
0.0,2,0,0.38810279994504526
90.0,2,30,0.4179977999883704
0.0,2,5,0.42706750001525506
90.0,2,40,0.40874990000156686
0.0,2,15,0.35531780001474544
90.0,2,40,0.44705590000376105
90.0,2,35,0.508576299995184
90.0,2,40,0.5960179999819957
90.0,2,25,0.4084858999704011
0.0,2,15,0.44057360000442713
0.0,2,25,0.5495042999973521
0.0,2,30,0.48692490003304556
90.0,2,40,0.6566863000043668
90.0,2,5,0.5018200000049546
90.0,2,15,0.4592759999795817
0.0,2,40,0.8476939999964088
0.0,2,5,0.47529440000653267
0.0,2,5,0.43995129998074844
0.0,0,10,0.5225606000167318
90.0,0,20,0.4348805000190623
90.0,0,30,0.47603979997802526
90.0,0,5,0.4720110999769531
0.0,0,35,0.41111250000540167
90.0,0,25,0.45495990000199527
90.0,0,30,0.4523804999771528
90.0,0,40,0.48685859999386594
0.0,0,10,0.4207773000234738
0.0,0,15,0.46036610001465306
90.0,0,25,0.4080870999605395
90.0,0,20,0.5070030000060797
90.0,0,10,0.3654220000025816
90.0,0,20,0.2896308000199497
0.0,0,35,0.45681870001135394
90.0,0,15,0.41589929995825514
90.0,0,25,0.4412233000039123
90.0,0,25,0.36815420002676547
90.0,0,0,0.4466956000542268
90.0,0,30,0.39610670000547543
90.0,0,0,0.41899320000084117
0.0,0,20,0.645125699986238
90.0,0,35,0.7517353000002913
0.0,0,5,0.5424337000004016
90.0,0,20,0.41290070000104606
90.0,0,25,0.4883405999862589
0.0,0,15,0.48745939997024834
90.0,0,10,0.4733470000210218
90.0,0,30,0.5303563999477774
0.0,0,10,0.6824412999558263
90.0,0,35,0.5391036000219174
90.0,0,0,0.5578412999748252
0.0,0,15,0.5629487999831326
0.0,0,25,0.529403300024569
90.0,0,0,0.4860066999681294
90.0,0,15,0.46170149999670684
90.0,0,30,0.4852013000054285
0.0,0,20,0.5274596000090241
0.0,0,10,0.47730879997834563
0.0,0,40,0.5326170999906026
0.0,0,0,0.47160540003096685
0.0,0,40,0.6583612999529578
0.0,0,15,0.47783419996267185
0.0,0,30,0.43024830002104864
0.0,0,35,0.44230850000167266
90.0,0,15,0.4632646000245586
0.0,0,0,0.477320600009989
0.0,0,35,0.6099466000450775
90.0,0,5,0.5196448999922723
90.0,0,30,0.5315370000316761
0.0,0,10,0.5090115999919362
90.0,0,40,0.5078158999676816
0.0,0,0,0.4814125999691896
90.0,0,35,0.4801513999700546
90.0,0,40,0.4944965000031516
0.0,0,35,0.5362279000109993
0.0,0,30,0.5098004000028595
90.0,0,20,0.6047504000016488
0.0,0,5,0.6201530000544153
0.0,0,10,0.4795581999933347
90.0,0,15,0.4408789000008255
90.0,0,35,0.5746770999976434
90.0,0,25,0.5131343999528326
0.0,0,40,0.6521361999912187
0.0,0,25,0.5232134000398219
90.0,0,20,0.5941108999541029
0.0,0,30,0.5862452000146732
90.0,0,20,0.4701102999970317
0.0,0,5,0.5198895999928936
90.0,0,15,0.4223479999927804
90.0,0,5,0.41830899997148663
90.0,0,30,0.4071438999962993
0.0,0,10,0.45286900002975017
0.0,0,0,0.43752480001421645
0.0,0,5,0.4186667999601923
90.0,0,5,0.5233824000461027
90.0,0,20,0.4878221999970265
0.0,0,15,0.5370439999969676
90.0,0,0,0.6997812999761663
90.0,0,40,0.5352463000454009
90.0,0,25,0.39497059996938333
90.0,0,40,0.4253467000089586
90.0,0,40,0.41007109999191016
90.0,0,5,0.4119885999825783
0.0,0,35,0.5946998000144958
0.0,0,5,0.49101350002456456
90.0,0,40,0.6013894000207074
90.0,0,25,0.5182789000100456
0.0,0,0,0.48821800004225224
0.0,0,10,0.609385600022506
