Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,35,0.3462860001018271
0.0,2,15,0.2558189999544993
0.0,2,25,0.29651409992948174
0.0,2,30,0.2877393999369815
0.0,2,40,0.41261240001767874
0.0,2,5,0.4770377000095323
0.0,0,35,0.3000263998983428
0.0,2,25,0.25901170005090535
0.0,0,15,0.28736769990064204
0.0,2,0,0.2941349999746308
0.0,0,10,0.30477419996168464
0.0,2,10,0.3551485000643879
0.0,2,5,0.46372900006826967
0.0,0,15,0.28276919992640615
0.0,0,20,0.2661246999632567
0.0,2,25,0.2594783999957144
0.0,0,10,0.31335099996067584
0.0,0,40,0.35381180001422763
0.0,2,0,0.33410340000409633
0.0,0,10,0.33125879999715835
0.0,0,20,0.3464816000778228
0.0,2,10,0.3335459999507293
0.0,2,0,0.3271110000787303
0.0,0,35,0.35606979997828603
0.0,2,30,0.3495236999588087
0.0,2,20,0.30189130001235753
0.0,0,5,0.31559459993150085
0.0,2,30,0.27122719993349165
0.0,0,40,0.29289639997296035
0.0,2,30,0.2833913998911157
0.0,0,0,0.38619710004422814
0.0,0,15,0.26021169999148697
0.0,0,10,0.30312850000336766
0.0,2,25,0.2975702000549063
0.0,0,0,0.2907134999986738
0.0,0,20,0.2578183999285102
0.0,0,5,0.3215823998907581
0.0,0,10,0.3218816000735387
0.0,2,15,0.00583749997895211
0.0,2,25,0.34319129993673414
0.0,0,25,0.33054309990257025
0.0,0,30,0.47026710002683103
0.0,0,40,0.3545113999862224
0.0,2,10,0.3385298000648618
0.0,2,10,0.3529141000472009
0.0,0,20,0.3464909999165684
0.0,0,10,0.31700839998666197
0.0,2,5,0.29289939999580383
0.0,0,15,0.29295739997178316
0.0,2,15,0.32825780007988214
0.0,0,5,0.256237699999474
0.0,2,20,0.32310399995185435
0.0,0,15,0.31174350006040186
0.0,2,35,0.31668899999931455
0.0,0,25,0.31220510008279234
0.0,0,25,0.2767638999503106
0.0,2,5,0.29196310008410364
0.0,0,20,0.17396089993417263
0.0,2,40,0.32279749994631857
