Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,30,0.6354249999858439
0.0,2,20,0.5217760000377893
0.0,2,35,0.41721069999039173
90.0,2,5,0.544169900007546
90.0,2,10,0.43169470003340393
90.0,0,30,0.436449300032109
0.0,2,30,0.4955070000141859
90.0,0,0,0.43035819998476654
0.0,0,35,0.48761469998862594
90.0,2,0,0.4417708000401035
90.0,0,5,0.49921489995904267
90.0,0,35,0.5748157000634819
90.0,2,0,0.4358191000064835
0.0,0,0,0.46915279992390424
90.0,0,10,0.41354829992633313
90.0,2,15,0.523481999989599
0.0,2,40,0.8563191000139341
90.0,2,0,0.5400203999597579
90.0,0,10,0.4374906000448391
0.0,2,5,0.6163459999952465
90.0,2,0,0.6419373999815434
90.0,2,35,0.559411900001578
90.0,2,25,0.41561500006355345
0.0,2,20,0.623050499940291
0.0,0,30,0.5578379000071436
90.0,2,10,0.5549831000389531
0.0,0,5,0.5801068000728264
0.0,2,10,0.548481100006029
90.0,0,25,0.467121500056237
0.0,2,5,0.5915896000806242
0.0,0,15,0.51151059998665
0.0,2,25,0.43617330002598464
90.0,2,15,0.5310515000019222
90.0,2,20,0.5256040000822395
0.0,2,10,0.5578498000977561
90.0,0,35,0.43692540004849434
90.0,0,25,0.4260066000279039
90.0,2,30,0.5004447000101209
90.0,0,25,0.45437220006715506
90.0,0,25,0.6309265999589115
0.0,0,20,0.5318004000000656
90.0,0,40,0.5107457999838516
0.0,2,40,0.5923565999837592
0.0,2,30,0.5462944000028074
0.0,2,15,0.4559083000058308
0.0,0,30,0.5676399000221863
0.0,2,35,0.6209351000143215
0.0,0,0,0.5602517999941483
0.0,2,20,0.57314100000076
90.0,2,5,0.5139886999968439
90.0,0,40,0.6346925999969244
90.0,2,25,0.5922144000651315
0.0,0,35,0.6023452000226825
90.0,0,40,0.5857475999509916
0.0,0,25,0.5456916999537498
90.0,0,20,0.5009961000178009
0.0,2,0,0.505074999993667
90.0,2,20,0.4832047000527382
0.0,0,15,0.538459499948658
0.0,2,25,0.5102464000228792
0.0,2,40,0.4511990000028163
0.0,2,30,0.4655162999406457
0.0,2,25,0.4638933999231085
0.0,0,35,0.5778713999316096
90.0,2,30,0.4831605999497697
0.0,0,15,0.5218600999796763
0.0,0,10,0.5076946000335738
0.0,0,25,0.5096284999744967
0.0,2,15,0.48129689996130764
90.0,2,35,0.5102316000266001
0.0,0,40,0.5918508999748155
90.0,0,30,0.4352153999498114
90.0,0,40,0.4185113999992609
0.0,2,20,0.5612998000578955
90.0,0,30,0.4888775000581518
0.0,2,10,0.4079162999987602
0.0,0,5,0.5747815000358969
0.0,2,20,0.5265251999953762
90.0,0,25,0.42093979998026043
0.0,0,20,0.5643742999527603
0.0,0,10,0.46343040000647306
0.0,0,10,0.44558580010198057
90.0,0,5,0.5366446000989527
90.0,2,15,0.5034832999808714
90.0,2,40,0.6615122999064624
90.0,0,40,0.41124599997419864
0.0,2,10,0.5548427000176162
0.0,2,40,0.7945365000050515
90.0,0,15,0.5251045000040904
90.0,0,10,0.5549415999557823
90.0,0,35,0.46106300002429634
90.0,2,30,0.4686160000273958
0.0,0,5,0.47950849996414036
90.0,2,0,0.44480010005645454
90.0,2,15,0.5008395999902859
90.0,2,35,0.5284511999925599
0.0,0,0,0.5531956000486389
90.0,0,20,0.5133921999949962
90.0,2,35,0.5976084999274462
90.0,2,0,0.41247660003136843
0.0,2,20,0.5618690999690443
0.0,2,40,0.6183070000261068
0.0,0,15,0.5888997000874951
0.0,0,20,0.5792694999836385
0.0,0,10,0.49876760004553944
90.0,2,15,0.47817290003877133
90.0,0,25,0.48864469991531223
90.0,2,40,0.5246499999193475
0.0,2,25,0.6616009999997914
90.0,2,35,0.5932768000056967
90.0,2,40,0.5037615000037476
90.0,2,5,0.7044314000522718
90.0,0,30,0.5125013999640942
90.0,0,40,0.5527394999517128
0.0,2,0,0.3867926999228075
0.0,0,40,0.6702956999652088
90.0,2,35,0.48914439999498427
90.0,0,30,0.6092966999858618
90.0,2,10,0.47512039996217936
0.0,0,10,0.48315019998699427
0.0,2,25,0.4985095999436453
0.0,2,15,0.435661599971354
0.0,0,30,0.4244236000813544
90.0,2,5,0.4666723000118509
90.0,0,20,0.38021249999292195
90.0,2,0,0.35165670001879334
0.0,2,20,0.5333141000010073
0.0,2,40,0.47359209996648133
0.0,0,0,0.5347120000515133
0.0,0,20,0.576421600067988
0.0,0,15,0.4989705999614671
0.0,2,25,0.4983732000691816
0.0,2,30,0.6059993000235409
90.0,2,5,0.5733128999127075
90.0,2,20,0.5089077999582514
90.0,0,20,0.4204771000659093
90.0,0,30,0.3917005999246612
90.0,0,5,0.5335222000721842
90.0,0,0,0.3976919000269845
0.0,2,10,0.553419700008817
90.0,0,15,0.38051579997409135
90.0,2,30,0.4625497000524774
0.0,0,15,0.6308095999993384
90.0,2,35,0.6072997000301257
