Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
90,2,15,0.504114553
0,2,30,0.582264071
90,2,25,0.497604418
0,2,10,0.521447416
90,2,20,0.496717229
0,2,0,0.515802819
0,2,25,0.524064264
90,2,5,0.446498024
90,2,0,0.369690774
90,2,30,0.489783222
90,2,10,0.613914764
0,2,30,0.444749808
90,2,5,0.394734357
90,2,40,0.471307386
0,2,35,0.530579636
0,2,20,0.509032535
90,2,0,0.353718956
0,2,0,0.522732462
90,2,20,0.4537006
0,2,35,0.674787625
0,2,40,0.55183939
0,2,35,0.455713246
90,2,40,0.571021583
0,2,15,0.442503197
90,2,0,0.37801202
0,2,10,0.456693227
0,2,10,0.507378763
0,2,20,0.576403971
90,2,20,0.54604648
0,2,15,0.509273174
90,2,40,0.474176565
90,2,20,0.428568734
90,2,25,0.396172013
90,2,15,0.354395245
90,2,20,0.372404071
0,2,30,0.448960177
0,2,40,0.385405557
0,2,5,0.510938944
90,2,10,0.463743931
90,2,30,0.530986556
0,2,25,0.560604492
0,2,35,0.494397308
90,2,25,0.57467835
0,2,30,0.543138788
0,2,5,0.394507477
90,2,40,0.521740822
90,2,15,0.458448951
0,2,5,0.47504772
90,2,15,0.499612108
90,2,20,0.393696831
90,2,15,0.360546385
90,2,0,0.440832183
90,2,10,0.356181069
90,2,5,0.370990112
90,2,40,0.504769669
90,2,25,0.468235786
0,2,25,0.469290495
0,2,40,0.583794423
90,2,35,0.54606548
90,2,35,0.459864445
0,2,35,0.575253766
90,2,20,0.485220571
0,2,35,0.614259835
90,2,0,0.43750361
90,2,0,0.365199494
0,2,25,0.517305004
0,2,15,0.571085925
90,2,5,0.39597365
90,2,40,0.60117499
90,2,5,0.365525895
0,2,30,0.479362828
90,2,5,0.420913291
0,2,10,0.429111015
0,2,35,0.495510996
90,2,20,0.47966921
90,2,25,0.427389613
90,2,10,0.348492593
0,2,0,0.444090133
90,2,30,0.494027268
90,2,15,0.717228578
90,2,30,0.423454236
90,2,30,0.386038346
0,2,10,0.473006191
0,2,40,0.48243692
0,2,0,0.41829746
90,2,5,0.384251237
90,2,35,0.546436092
0,2,15,0.481286008
0,2,10,0.518003528
90,2,25,0.480646508
0,0,25,0.536427266
90,0,10,0.433158784
90,0,15,0.419742424
90,0,20,0.429682595
0,0,35,0.51213012
90,0,10,0.408158168
90,0,40,0.561362079
90,0,10,0.389426449
90,0,25,0.378585341
90,0,0,0.40319229
0,0,30,0.494941434
0,0,30,0.575104607
0,0,40,0.56991091
90,0,10,0.399673099
0,0,20,0.424615672
0,0,0,0.359383182
90,0,5,0.401931963
0,0,0,0.299279561
90,0,25,0.451610408
90,0,35,0.427964694
0,0,0,0.369261754
0,0,25,0.393080725
0,0,30,0.366931201
0,0,15,0.354887281
90,0,40,0.45218491
90,0,30,0.457112365
90,0,30,0.461471441
0,0,25,0.457403303
0,0,35,0.426791416
0,0,15,0.388801639
0,0,10,0.333899249
0,0,15,0.353389741
0,0,20,0.338026026
90,0,20,0.570469629
0,0,40,0.516639501
90,0,40,0.530930935
0,0,0,0.356807609
90,0,10,0.504103663
90,0,15,0.375801943
0,0,25,0.47234027
0,0,35,0.545092409
0,0,20,0.368976471
0,0,20,0.30958765
0,0,5,0.417321741
0,0,0,0.355685819
0,0,15,0.507860101
90,0,20,0.466302446
90,0,5,0.398343027
0,0,20,0.44262894
0,0,10,0.475663919
0,0,5,0.3179889
90,0,25,0.372903545
90,0,0,0.499043157
90,0,20,0.455572166
90,0,35,0.53757861
0,0,15,0.679828381
0,0,30,0.437863605
0,0,10,0.439354233
0,0,25,0.458000525
90,0,30,0.485079396
90,0,40,0.501436973
90,0,15,0.693451857
0,0,0,0.440100953
0,0,40,0.561656416
90,0,5,0.445936616
90,0,40,0.490082173
0,0,5,0.416561657
90,0,25,0.485175919
0,0,40,0.560310625
0,0,5,0.340667558
0,0,5,0.33985069
0,0,35,0.443713532
0,0,35,0.380804795
90,0,0,0.426546121
90,0,15,0.377658698
90,0,5,0.41818133
90,0,30,0.454765491
0,0,30,0.621662681
90,0,35,0.45193153
0,0,5,0.361907021
0,0,30,0.420508947
0,0,10,0.332036942
90,0,0,0.392850443
0,0,25,0.479009852
0,0,35,0.541905872
0,0,35,0.463036484
0,0,40,0.605871618
90,0,10,0.435612842
0,0,20,0.519234317
0,0,15,0.419812553
