Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,20,0.4952555179988849
45.0,2,0,0.3895080099973711
45.0,2,5,0.5752048790018307
45.0,2,10,0.36164168499817606
0.0,2,40,0.6475091879983665
90.0,2,25,0.4052279559982708
0.0,2,30,0.4798155550015508
0.0,2,5,0.4794928759947652
45.0,2,30,0.5911069939975278
0.0,2,20,0.5754996849937015
90.0,2,10,0.4875186659992323
0.0,2,35,0.48534336400189204
0.0,2,5,0.48224799200397683
0.0,2,10,0.3737207660014974
45.0,2,20,0.532941972000117
90.0,2,25,0.47865279800316785
45.0,2,5,0.49182200100040063
0.0,2,15,0.4421569889964303
90.0,2,30,0.42622253500303486
90.0,2,25,0.4777589330042247
90.0,2,10,0.3895899140043184
45.0,2,20,0.5535867040016456
0.0,2,10,0.4753883550001774
45.0,2,25,0.4818527820025338
45.0,2,25,0.4868954439953086
45.0,2,35,0.6100232529934146
90.0,2,40,0.6795917530034785
90.0,2,15,0.4983916049968684
45.0,2,30,0.5201924639986828
90.0,2,15,0.5314216070037219
0.0,2,15,0.49435612699744524
0.0,2,30,0.5384705780015793
0.0,2,30,0.5578290759949596
0.0,2,40,0.5991162450009142
0.0,2,35,0.5766046779972385
45.0,2,40,0.6095432279980741
0.0,2,0,0.5042479769981583
90.0,2,30,0.6249308900005417
0.0,2,40,0.7524072230007732
90.0,2,20,0.46694953700352926
45.0,2,5,0.4224860649992479
90.0,2,10,0.6099904950024211
0.0,2,0,0.4995592989944271
90.0,2,40,0.6180935320007848
90.0,2,0,0.4967424229980679
45.0,2,0,0.47665023599984124
45.0,2,30,0.6210198799963109
90.0,2,10,0.46554277000541333
0.0,2,40,0.48005559200100834
0.0,2,5,0.3740821199971833
45.0,2,15,0.5610690620014793
45.0,2,0,0.3932309309966513
90.0,2,0,0.45328408099885564
0.0,2,25,0.4998336870048661
45.0,2,35,0.5811709420013358
90.0,2,15,0.626545013001305
90.0,2,35,0.47796628400101326
45.0,2,15,0.5316395140034729
90.0,2,35,0.4711029059981229
