Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
45.0,2,20,0.6150392630006536
0.0,2,40,0.6412010109997937
90.0,2,0,0.5011359189957147
90.0,2,40,0.5797910260007484
90.0,2,35,0.5562977590016089
45.0,2,5,0.41088782400038326
45.0,2,10,0.4286701919991174
90.0,2,30,0.4847849709985894
90.0,2,15,0.4232986280039768
0.0,2,30,0.631777989998227
45.0,2,25,0.6246030339971185
45.0,2,35,0.5487864919996355
0.0,2,30,0.7704571230060537
0.0,2,0,0.4936681730032433
0.0,2,40,0.5122347619981156
0.0,2,40,0.5338212499991641
0.0,2,30,0.5367226489979657
0.0,2,10,0.44168173499929253
90.0,2,40,0.7889973290002672
45.0,2,15,0.49305534200539114
0.0,2,25,0.722600686000078
90.0,2,20,0.4840472680007224
90.0,2,5,0.4347648049952113
0.0,2,10,0.5054010860039853
45.0,2,35,0.6203785129982862
45.0,2,10,0.46028045099956216
0.0,2,5,0.4938449920009589
90.0,2,20,0.4897151369950734
90.0,2,40,0.7199705180028104
90.0,2,15,0.47974701799830655
45.0,2,30,0.5403870469963294
45.0,2,25,0.5169981949948124
45.0,2,30,0.5266407070012065
45.0,2,5,0.4127797580003971
45.0,2,0,0.4422725199983688
45.0,2,20,0.4377759250055533
45.0,2,10,0.4222958079990349
45.0,2,0,0.373977091992856
90.0,2,0,0.48201040699495934
0.0,2,0,0.43779573700157925
0.0,2,15,0.49240762700355845
90.0,2,15,0.4664008020045003
45.0,2,10,0.5297102980039199
90.0,2,20,0.49862903699977323
0.0,2,40,0.6635973989978083
0.0,2,25,0.42229730200051563
0.0,2,5,0.39608945199870504
45.0,2,15,0.5715532149988576
0.0,2,35,0.6013207669966505
45.0,2,5,0.6013722409988986
90.0,2,35,0.5062983030002215
45.0,2,40,0.6317695960024139
45.0,2,20,0.514914482999302
45.0,2,40,0.41346110199810937
0.0,2,20,0.4167020829991088
45.0,2,5,0.5082016759988619
0.0,2,15,0.4639989510033047
0.0,2,30,0.5264178110010107
90.0,2,35,0.5982545290025882
0.0,2,35,0.5698544830011087
90.0,2,35,0.6069247010018444
90.0,2,0,0.4421702409963473
45.0,2,15,0.5601548150007147
90.0,2,25,0.7173267019970808
90.0,2,5,0.4337808339987532
