Angle of Rotation,Direction,Eccentricity,Reaction Time (s)
0.0,0,20,0.22702669999853242
0.0,0,40,0.24930239999957848
0.0,0,15,0.2204799000028288
0.0,0,15,0.21083999999973457
0.0,0,40,0.20620459999190643
0.0,0,35,0.21436630000243895
0.0,0,40,0.2660405000060564
0.0,0,5,0.23547560001316015
0.0,0,35,0.2117112999985693
0.0,0,10,0.23051279998617247
0.0,0,0,0.12166449999494944
0.0,0,0,0.26953199999115895
0.0,0,10,0.2772429999895394
0.0,0,40,0.2836346000112826
0.0,0,5,0.2697355999989668
0.0,0,10,0.1501598000031663
0.0,0,35,0.26687419999507256
0.0,0,20,0.2502570999931777
0.0,0,30,0.24188099999446422
0.0,0,0,0.26383150000765454
0.0,0,40,0.24961480000638403
0.0,0,35,0.26482849998865277
0.0,0,35,0.2798462000064319
0.0,0,5,0.28816720000759233
0.0,0,15,0.297693700005766
0.0,0,20,0.24000670001260005
0.0,0,25,0.2624189999914961
0.0,0,25,0.26790299999993294
0.0,0,30,0.22301960000186227
0.0,0,15,0.2472972999967169
0.0,0,30,0.2546814999950584
0.0,0,15,0.2717572999972617
0.0,0,15,0.25365310000779573
0.0,0,40,0.15238870000757743
0.0,0,5,0.2556853999994928
0.0,0,10,0.25286200000846293
0.0,0,40,0.27469369999016635
0.0,0,5,0.25167520000832155
0.0,0,30,0.24281470000278205
0.0,0,0,0.2622493999951985
0.0,0,40,0.28210340000805445
0.0,0,35,0.28259930000058375
0.0,0,20,0.24806710000848398
0.0,0,25,0.2641465999913635
0.0,0,5,0.22802940000838134
0.0,0,10,0.21147470000141766
0.0,0,0,0.3131112999981269
0.0,0,30,0.2832349999953294
0.0,0,25,0.24939789999916684
0.0,0,20,0.2637339999928372
0.0,0,20,0.2782378999982029
0.0,0,10,0.25502789999882225
0.0,0,5,0.26263350000954233
0.0,0,5,0.267193200008478
0.0,0,15,0.24308050000399817
0.0,0,0,0.3065493000030983
0.0,0,20,0.258176999996067
0.0,0,30,0.2294158000004245
0.0,0,5,0.23649929999373853
0.0,0,30,0.24098550000053365
0.0,0,25,0.2714750000013737
0.0,0,10,0.2415303000016138
0.0,0,0,0.2621542999986559
0.0,0,25,0.2471732999983942
0.0,0,25,0.24861629999941215
0.0,0,25,0.2520980999979656
0.0,0,40,0.2296312999969814
0.0,0,15,0.23165919999883045
0.0,0,20,0.242741299996851
0.0,0,20,0.24958679999690503
0.0,0,0,0.24554799999168608
0.0,0,10,0.2784959999989951
0.0,0,10,0.2772370000020601
0.0,0,40,0.24342199999955483
0.0,0,15,0.18462620000354946
0.0,0,10,0.27472539999871515
0.0,0,35,0.2705695999902673
0.0,0,35,0.26953550000325777
0.0,0,25,0.27424040000187233
